timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 21:05:05.607, 1, 2, 0, 2325, 84.17, 1067
2026/08/08 21:05:05.708, 0, 2, 0, 2407, 89.15, 29387
2026/08/08 21:05:05.708, 1, 1, 0, 2325, 84.18, 1067
2026/08/08 21:05:05.808, 0, 2, 0, 2407, 89.19, 29387
2026/08/08 21:05:05.808, 1, 1, 0, 2325, 84.16, 1067
2026/08/08 21:05:05.908, 0, 2, 0, 2407, 88.33, 29387
2026/08/08 21:05:05.908, 1, 0, 0, 2325, 84.15, 1067
2026/08/08 21:05:06.008, 0, 2, 0, 2407, 88.24, 29387
2026/08/08 21:05:06.021, 1, 0, 0, 2325, 84.13, 1067
2026/08/08 21:05:06.121, 0, 0, 0, 2407, 88.31, 29389
2026/08/08 21:05:06.121, 1, 0, 0, 2325, 84.14, 1069
2026/08/08 21:05:06.222, 0, 0, 0, 2407, 88.24, 31693
2026/08/08 21:05:06.222, 1, 0, 0, 2325, 84.12, 1069
2026/08/08 21:05:06.322, 0, 33, 2, 2407, 89.24, 31759
2026/08/08 21:05:06.322, 1, 0, 0, 2325, 84.16, 1071
2026/08/08 21:05:06.422, 0, 33, 2, 2407, 89.25, 31759
2026/08/08 21:05:06.422, 1, 0, 0, 2325, 84.19, 1071
2026/08/08 21:05:06.522, 0, 0, 0, 2407, 89.28, 31761
2026/08/08 21:05:06.522, 1, 2, 0, 2325, 84.16, 1071
2026/08/08 21:05:06.622, 0, 0, 0, 2407, 88.38, 31761
2026/08/08 21:05:06.622, 1, 2, 0, 2325, 84.14, 1073
2026/08/08 21:05:06.722, 0, 2, 0, 2407, 88.34, 31761
2026/08/08 21:05:06.726, 1, 2, 0, 2325, 84.14, 1073
2026/08/08 21:05:06.826, 0, 2, 0, 2407, 88.36, 31761
2026/08/08 21:05:06.826, 1, 2, 0, 2325, 84.12, 1073
2026/08/08 21:05:06.926, 0, 2, 0, 2407, 88.33, 34097
2026/08/08 21:05:06.926, 1, 2, 0, 2325, 84.17, 1073
2026/08/08 21:05:07.026, 0, 2, 0, 2407, 89.29, 34099
2026/08/08 21:05:07.026, 1, 2, 0, 2325, 84.18, 1075
2026/08/08 21:05:07.126, 0, 11, 1, 2407, 89.29, 34099
