t	layer	current_mean	f16_mean	current_max	f16_max	band	argmax_passed	argmax_checked	argmax
2	32	1.990446466423e-3	1.450468572440e-4	1.191363345250e-2	7.409098321601e-4	PASS	2	2	PASS
2	33	2.323798224692e-3	1.662831164262e-4	1.205847680749e-2	8.626581589989e-4	PASS	2	2	PASS
2	34	1.273154326519e-3	7.335581379049e-5	7.058444252011e-3	4.797302079157e-4	PASS	2	2	PASS
2	35	1.898665633285e-3	1.374340211584e-4	1.087928014204e-2	7.031927208063e-4	PASS	2	2	PASS
2	36	1.465088064351e-3	9.542099806097e-5	1.049138626480e-2	7.525289386044e-4	PASS	2	2	PASS
2	37	2.211452772055e-3	1.608303090319e-4	1.103456868619e-2	8.540371414085e-4	PASS	2	2	PASS
2	38	1.937312100390e-3	1.411161391479e-4	9.861775181662e-3	7.294423967923e-4	PASS	2	2	PASS
2	39	1.967718757193e-3	1.441962589403e-4	1.101654124848e-2	8.214075780624e-4	PASS	2	2	PASS
2	40	2.113455909054e-3	1.478975573684e-4	1.010379727637e-2	7.203108813887e-4	PASS	2	2	PASS
2	41	1.866574610209e-3	9.795979602287e-5	1.078576767351e-2	7.885515909856e-4	PASS	2	2	PASS
2	42	1.116933739498e-3	5.316100930219e-5	8.118678755216e-3	7.281624593004e-4	PASS	2	2	PASS
2	43	5.211544467509e-4	3.260084904349e-5	3.661047272164e-3	3.019012449927e-4	PASS	2	2	PASS
2	44	1.562391103123e-4	1.368362370766e-5	9.230270683539e-4	5.970896347909e-4	PASS	2	2	PASS
4	3	1.315080731079e-3	4.544718732569e-5	9.995345117715e-3	4.824864594383e-4	PASS	4	4	PASS
4	4	9.696009348084e-4	5.749138354022e-5	7.365049595213e-3	4.400531223319e-4	PASS	4	4	PASS
4	5	1.210452865249e-3	6.526138545991e-5	1.125879498526e-2	5.596436586793e-4	PASS	4	4	PASS
4	6	1.360545125940e-3	8.760316330018e-5	1.248521146969e-2	9.868254081444e-4	PASS	4	4	PASS
4	7	1.680035197312e-3	1.063943334035e-4	1.135420035320e-2	5.932621204396e-4	PASS	4	4	PASS
4	8	1.014141425296e-3	5.381903744967e-5	9.591959643229e-3	4.686867633373e-4	PASS	4	4	PASS
4	9	6.493904097845e-4	3.242127452334e-5	7.593206901746e-3	3.690885013182e-4	PASS	4	4	PASS
4	10	2.892484630173e-4	1.757053810747e-5	3.665221562891e-3	3.604709289803e-4	PASS	4	4	PASS
4	11	1.702478768569e-3	1.144180744380e-4	9.690860706042e-3	6.472097008582e-4	PASS	4	4	PASS
4	12	1.844354276638e-3	9.727149298856e-5	1.206228029790e-2	7.166149265338e-4	PASS	4	4	PASS
4	13	1.463387082934e-3	7.783559468636e-5	8.844472692871e-3	4.871410521849e-4	PASS	4	4	PASS
4	14	1.364661010679e-3	8.676012827486e-5	9.607442184671e-3	6.107761403154e-4	PASS	4	4	PASS
4	15	1.784267764969e-3	1.163770137697e-4	9.884159614386e-3	6.828427812218e-4	PASS	4	4	PASS
4	16	5.472272077583e-4	3.073664749508e-5	5.899127979065e-3	3.426615421120e-4	PASS	4	4	PASS
4	17	4.896138760034e-4	2.450499633773e-5	6.255421642873e-3	4.216726679225e-4	PASS	4	4	PASS
4	18	1.247825373575e-4	1.941423033564e-5	1.792932644203e-3	4.969067331213e-4	PASS	4	4	PASS
4	19	1.583214521392e-3	9.621241526700e-5	7.292916959155e-3	5.340867857495e-4	PASS	4	4	PASS
4	20	9.048931134194e-4	5.290322992813e-5	7.470310070901e-3	6.429610422100e-4	PASS	3	4	FAIL
