timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:45:28.295, 1, 0 %, 2804 MiB, 58.78 W, 2610 MHz
2026/09/22 23:45:28.545, 0, 0 %, 6292 MiB, 62.45 W, 2610 MHz
2026/09/22 23:45:28.545, 1, 0 %, 2804 MiB, 58.78 W, 2610 MHz
2026/09/22 23:45:28.796, 0, 0 %, 6292 MiB, 62.53 W, 2617 MHz
2026/09/22 23:45:28.796, 1, 0 %, 2804 MiB, 58.48 W, 2610 MHz
2026/09/22 23:45:29.046, 0, 0 %, 6324 MiB, 62.53 W, 2617 MHz
2026/09/22 23:45:29.046, 1, 0 %, 2804 MiB, 58.48 W, 2610 MHz
2026/09/22 23:45:29.296, 0, 1 %, 6324 MiB, 62.81 W, 2617 MHz
2026/09/22 23:45:29.296, 1, 0 %, 2804 MiB, 58.57 W, 2610 MHz
2026/09/22 23:45:29.546, 0, 1 %, 9812 MiB, 62.81 W, 2617 MHz
2026/09/22 23:45:29.546, 1, 0 %, 2804 MiB, 58.57 W, 2610 MHz
2026/09/22 23:45:29.796, 0, 10 %, 9812 MiB, 64.24 W, 2617 MHz
2026/09/22 23:45:29.796, 1, 0 %, 2804 MiB, 58.93 W, 2610 MHz
2026/09/22 23:45:30.046, 0, 10 %, 9812 MiB, 64.24 W, 2617 MHz
2026/09/22 23:45:30.047, 1, 0 %, 2804 MiB, 58.93 W, 2610 MHz
2026/09/22 23:45:30.297, 0, 0 %, 9812 MiB, 65.13 W, 2617 MHz
2026/09/22 23:45:30.297, 1, 0 %, 2804 MiB, 59.00 W, 2610 MHz
2026/09/22 23:45:30.547, 0, 0 %, 9844 MiB, 65.13 W, 2617 MHz
2026/09/22 23:45:30.547, 1, 0 %, 2804 MiB, 59.00 W, 2610 MHz
2026/09/22 23:45:30.797, 0, 0 %, 9844 MiB, 64.38 W, 2610 MHz
2026/09/22 23:45:30.797, 1, 0 %, 2804 MiB, 59.12 W, 2610 MHz
2026/09/22 23:45:31.047, 0, 0 %, 9844 MiB, 64.38 W, 2610 MHz
2026/09/22 23:45:31.047, 1, 0 %, 2804 MiB, 59.12 W, 2610 MHz
2026/09/22 23:45:31.297, 0, 0 %, 9876 MiB, 63.10 W, 2610 MHz
2026/09/22 23:45:31.298, 1, 0 %, 2804 MiB, 59.30 W, 2610 MHz
2026/09/22 23:45:31.548, 0, 0 %, 9876 MiB, 63.10 W, 2610 MHz
2026/09/22 23:45:31.548, 1, 0 %, 2804 MiB, 59.30 W, 2610 MHz
2026/09/22 23:45:31.798, 0, 0 %, 9876 MiB, 63.44 W, 2617 MHz
2026/09/22 23:45:31.798, 1, 0 %, 2804 MiB, 59.19 W, 2610 MHz
2026/09/22 23:45:32.048, 0, 0 %, 9908 MiB, 63.44 W, 2617 MHz
2026/09/22 23:45:32.048, 1, 0 %, 2804 MiB, 59.19 W, 2610 MHz
2026/09/22 23:45:32.298, 0, 1 %, 9908 MiB, 63.50 W, 2617 MHz
2026/09/22 23:45:32.298, 1, 0 %, 2804 MiB, 59.13 W, 2610 MHz
2026/09/22 23:45:32.548, 0, 1 %, 13396 MiB, 63.50 W, 2617 MHz
2026/09/22 23:45:32.548, 1, 0 %, 2804 MiB, 59.13 W, 2610 MHz
2026/09/22 23:45:32.799, 0, 14 %, 13428 MiB, 64.61 W, 2625 MHz
2026/09/22 23:45:32.799, 1, 0 %, 2804 MiB, 59.25 W, 2610 MHz
2026/09/22 23:45:33.049, 0, 14 %, 13460 MiB, 64.61 W, 2625 MHz
2026/09/22 23:45:33.049, 1, 0 %, 2804 MiB, 59.25 W, 2610 MHz
2026/09/22 23:45:33.299, 0, 0 %, 13460 MiB, 65.42 W, 2625 MHz
2026/09/22 23:45:33.299, 1, 0 %, 2804 MiB, 59.03 W, 2610 MHz
2026/09/22 23:45:33.549, 0, 0 %, 13460 MiB, 65.42 W, 2625 MHz
2026/09/22 23:45:33.549, 1, 0 %, 2804 MiB, 59.03 W, 2610 MHz
2026/09/22 23:45:33.799, 0, 0 %, 13492 MiB, 64.24 W, 2610 MHz
2026/09/22 23:45:33.799, 1, 0 %, 2804 MiB, 58.81 W, 2610 MHz
2026/09/22 23:45:34.050, 0, 0 %, 13492 MiB, 64.24 W, 2610 MHz
2026/09/22 23:45:34.050, 1, 0 %, 2804 MiB, 58.81 W, 2610 MHz
2026/09/22 23:45:34.300, 0, 0 %, 13492 MiB, 63.39 W, 2617 MHz
2026/09/22 23:45:34.300, 1, 0 %, 2804 MiB, 58.93 W, 2610 MHz
2026/09/22 23:45:34.550, 0, 0 %, 13524 MiB, 63.39 W, 2617 MHz
2026/09/22 23:45:34.550, 1, 0 %, 2804 MiB, 58.93 W, 2610 MHz
2026/09/22 23:45:34.800, 0, 1 %, 13524 MiB, 63.08 W, 2617 MHz
2026/09/22 23:45:34.800, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:35.050, 0, 1 %, 13524 MiB, 63.08 W, 2617 MHz
2026/09/22 23:45:35.050, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:35.300, 0, 0 %, 13556 MiB, 62.95 W, 2610 MHz
2026/09/22 23:45:35.301, 1, 0 %, 2804 MiB, 59.03 W, 2610 MHz
2026/09/22 23:45:35.551, 0, 0 %, 13556 MiB, 62.95 W, 2610 MHz
2026/09/22 23:45:35.551, 1, 0 %, 2804 MiB, 59.03 W, 2610 MHz
2026/09/22 23:45:35.801, 0, 0 %, 17044 MiB, 63.06 W, 2617 MHz
2026/09/22 23:45:35.801, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:36.051, 0, 0 %, 17044 MiB, 63.06 W, 2617 MHz
2026/09/22 23:45:36.051, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:36.301, 0, 4 %, 17044 MiB, 65.42 W, 2617 MHz
2026/09/22 23:45:36.301, 1, 0 %, 2804 MiB, 59.30 W, 2610 MHz
2026/09/22 23:45:36.551, 0, 4 %, 17044 MiB, 65.42 W, 2617 MHz
2026/09/22 23:45:36.552, 1, 0 %, 2804 MiB, 59.30 W, 2610 MHz
2026/09/22 23:45:36.802, 0, 0 %, 17076 MiB, 65.22 W, 2610 MHz
2026/09/22 23:45:36.802, 1, 0 %, 2804 MiB, 59.13 W, 2610 MHz
2026/09/22 23:45:37.052, 0, 0 %, 17076 MiB, 65.22 W, 2610 MHz
2026/09/22 23:45:37.052, 1, 0 %, 2804 MiB, 59.13 W, 2610 MHz
2026/09/22 23:45:37.302, 0, 0 %, 17076 MiB, 62.87 W, 2617 MHz
2026/09/22 23:45:37.302, 1, 0 %, 2804 MiB, 58.85 W, 2610 MHz
2026/09/22 23:45:37.552, 0, 0 %, 17108 MiB, 62.87 W, 2617 MHz
2026/09/22 23:45:37.552, 1, 0 %, 2804 MiB, 58.85 W, 2610 MHz
2026/09/22 23:45:37.802, 0, 1 %, 17108 MiB, 62.90 W, 2617 MHz
2026/09/22 23:45:37.802, 1, 0 %, 2804 MiB, 58.94 W, 2610 MHz
2026/09/22 23:45:38.053, 0, 1 %, 17108 MiB, 62.90 W, 2617 MHz
2026/09/22 23:45:38.053, 1, 0 %, 2804 MiB, 58.94 W, 2610 MHz
2026/09/22 23:45:38.303, 0, 0 %, 17140 MiB, 62.74 W, 2610 MHz
2026/09/22 23:45:38.303, 1, 0 %, 2804 MiB, 58.97 W, 2610 MHz
2026/09/22 23:45:38.553, 0, 0 %, 17172 MiB, 62.74 W, 2610 MHz
2026/09/22 23:45:38.553, 1, 0 %, 2804 MiB, 58.97 W, 2610 MHz
2026/09/22 23:45:38.803, 0, 0 %, 20628 MiB, 62.71 W, 2617 MHz
2026/09/22 23:45:38.803, 1, 0 %, 2804 MiB, 58.97 W, 2610 MHz
2026/09/22 23:45:39.053, 0, 0 %, 20660 MiB, 62.71 W, 2617 MHz
2026/09/22 23:45:39.054, 1, 0 %, 2804 MiB, 58.97 W, 2610 MHz
2026/09/22 23:45:39.304, 0, 10 %, 20692 MiB, 64.82 W, 2610 MHz
2026/09/22 23:45:39.304, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:39.554, 0, 10 %, 20692 MiB, 64.82 W, 2610 MHz
2026/09/22 23:45:39.554, 1, 0 %, 2804 MiB, 59.06 W, 2610 MHz
2026/09/22 23:45:39.804, 0, 0 %, 20692 MiB, 64.85 W, 2617 MHz
2026/09/22 23:45:39.804, 1, 0 %, 2804 MiB, 59.02 W, 2610 MHz
2026/09/22 23:45:40.054, 0, 0 %, 20724 MiB, 64.85 W, 2617 MHz
2026/09/22 23:45:40.054, 1, 0 %, 2804 MiB, 59.02 W, 2610 MHz
2026/09/22 23:45:40.304, 0, 0 %, 20724 MiB, 62.85 W, 2617 MHz
2026/09/22 23:45:40.305, 1, 0 %, 2804 MiB, 58.85 W, 2610 MHz
2026/09/22 23:45:40.555, 0, 0 %, 20724 MiB, 62.85 W, 2617 MHz
2026/09/22 23:45:40.555, 1, 0 %, 2804 MiB, 58.85 W, 2610 MHz
2026/09/22 23:45:40.805, 0, 0 %, 20756 MiB, 62.86 W, 2610 MHz
