timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 03:24:09.866, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 19253, 77998, 91, 251.99, 42
2026/09/21 03:24:10.116, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 19253, 77998, 91, 252.44, 42
2026/09/21 03:24:10.366, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 19253, 77998, 91, 252.13, 42
2026/09/21 03:24:10.617, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20343, 76908, 91, 252.41, 42
2026/09/21 03:24:10.867, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 96, 289.38, 46
2026/09/21 03:24:11.117, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 95, 316.79, 46
2026/09/21 03:24:11.367, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 95, 359.34, 46
2026/09/21 03:24:11.617, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 96, 390.40, 46
2026/09/21 03:24:11.867, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 96, 397.16, 47
2026/09/21 03:24:12.117, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 95, 397.52, 47
2026/09/21 03:24:12.367, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 95, 397.65, 47
2026/09/21 03:24:12.617, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 96, 397.02, 47
2026/09/21 03:24:12.867, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 1, 319.59, 41
2026/09/21 03:24:13.121, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 1, 259.22, 40
2026/09/21 03:24:13.375, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20407, 76844, 1, 168.74, 40
2026/09/21 03:24:13.625, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 1, 109.41, 40
2026/09/21 03:24:13.878, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 23, 97228, 0, 98.87, 40
2026/09/21 03:24:14.128, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 947, 96304, 2, 99.39, 39
2026/09/21 03:24:14.387, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 1877, 95374, 9, 99.66, 39
2026/09/21 03:24:14.637, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 3223, 94028, 9, 96.32, 39
2026/09/21 03:24:14.898, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 4601, 92650, 9, 96.20, 39
2026/09/21 03:24:15.156, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 5499, 91752, 9, 95.41, 39
2026/09/21 03:24:15.406, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 6877, 90374, 9, 95.51, 39
2026/09/21 03:24:15.662, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 8225, 89026, 9, 95.50, 39
2026/09/21 03:24:15.912, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 9123, 88128, 9, 95.43, 39
2026/09/21 03:24:16.162, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 10501, 86750, 9, 95.44, 39
2026/09/21 03:24:16.421, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 11847, 85404, 9, 95.23, 39
2026/09/21 03:24:16.671, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 13225, 84026, 9, 95.07, 39
2026/09/21 03:24:16.921, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14411, 82840, 9, 95.18, 39
2026/09/21 03:24:17.171, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 15503, 81748, 9, 95.05, 39
2026/09/21 03:24:17.427, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 16849, 80402, 9, 95.08, 39
2026/09/21 03:24:17.677, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 18227, 79024, 9, 95.17, 39
2026/09/21 03:24:17.927, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 19669, 77582, 9, 95.09, 39
2026/09/21 03:24:18.177, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20279, 76972, 80, 123.66, 41
2026/09/21 03:24:18.427, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20471, 76780, 90, 159.88, 42
2026/09/21 03:24:18.678, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20537, 76714, 90, 210.94, 43
2026/09/21 03:24:18.928, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20601, 76650, 91, 250.18, 43
2026/09/21 03:24:19.178, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20729, 76522, 91, 276.57, 43
2026/09/21 03:24:19.428, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 92, 280.77, 43
2026/09/21 03:24:19.678, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 91, 283.55, 44
2026/09/21 03:24:19.928, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 1, 247.88, 40
2026/09/21 03:24:20.178, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 1, 189.94, 39
2026/09/21 03:24:20.432, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 20793, 76458, 1, 153.63, 39
