boot,arm,kind,prompt_tokens,completion_tokens,cached_tokens,ttft_s,wall_s,decode_tps,output_sha256
serving-r1-off,off,decode-0,71,256,0,0.09801469114609063,1.4449017820879817,189.32544659083194,66c121f0d9c404c8a10dc3e0bb5ae04004a439b6f0247109163070d711d92ab1
serving-r1-off,off,decode-1,82,256,0,0.1592749860137701,1.2766129178926349,228.2210177642529,d620e536664739fe121232b98926c54ad9b0899448ff9ec63d6668ee73e62a9d
serving-r1-off,off,decode-2,73,256,0,0.09758703107945621,2.337282428983599,113.85476803614606,de7cad6c21c62d227cbea5bf68b37d2f36af29d81ba9abdab91e3c67b78e564f
serving-r1-off,off,decode-3,75,256,0,0.09815578698180616,1.462932342896238,186.84377226068636,3d24fd7c10913a6bee4fd599ea745e095ddde56e57fd9663228b6353461d4bbf
serving-r1-off,off,decode-4,75,256,0,0.09814491705037653,1.8439700349699706,146.0627398372351,51664b30866e5c9b6e0c1c6558d4ce40f1138e813a58204339bbcfc01ed5d6dc
serving-r1-off,off,chain-0,8192,128,0,2.5318547799251974,3.196422435110435,191.10168695255084,51c23efde92b240a4b31c039cca42a421d3e54996e58c97c057f5a44372afc1b
serving-r1-off,off,chain-1,8217,128,8160,0.1859785388223827,0.8990192669443786,178.11044305209904,f07cbf128f68f124ad31cba1dfeed8a58913d231284f258f72f653a4737da07c
serving-r1-off,off,chain-2,8242,128,8192,0.18517383513972163,1.1655125801917166,129.54705772978932,1704014c90699668c166fbbf784d230881968f1e19dfc8d872b13d14edc038eb
serving-r1-off,off,chain-3,8267,43,8224,0.1325047069694847,0.4996943280566484,114.38231798504461,f21350ad98845cea1112a11bfb2d0a61e4e8d3ec6cc5c672381010a1897ec6e9
serving-r1-off,off,chain-4,8332,128,8224,0.18903658003546298,1.0026354740839452,156.09657403545106,19c10902489cf6be6febd1ce37880e52432632508c3734ebf45661257b7bba7c
serving-r1-off,off,chain-5,8357,128,8288,0.1869351000059396,1.1098057799972594,137.61408044862205,5d60d7f14fb97455504a2e91aadf17ea32317893cbfdd67e10f4f0bd0a481c56
serving-r1-off,off,chain-6,8382,128,8320,0.18685335596092045,1.0345752618741244,149.8132808815291,ef31cd168d9e1b2eeadc7bc05d183ac5a4695578ce33a4634c8da793511bc564
serving-r1-off,off,chain-7,8407,128,8352,0.186667192960158,1.1997918579727411,125.35476075732757,61fd7481d069669d9fa0f7a17a8a89d9dd202fbe9a84613a67946e5848cc952a
serving-r1-on,on,decode-0,71,256,0,0.09806762984953821,1.6477886678185314,164.54574323530738,99f9344a19c4c5a66cb0bf63341bd7859d5f62fac575051ab186928f51ad320a
serving-r1-on,on,decode-1,82,256,0,0.1591411631088704,1.231649962021038,237.7602871497589,48c0b5cff98c3f7b97f2222c1a938b265996c2aaaefb4580ca8413024c83d860
serving-r1-on,on,decode-2,73,256,0,0.09777345415204763,2.058786460198462,130.0348336363683,99a916bd88b334c1d2e7b942afe7a45ba904a9f78899b4ea81fdf2a2880cb1e6
serving-r1-on,on,decode-3,75,256,0,0.09811181388795376,1.3936328548006713,196.83200191048073,679f2deff365ac04c3415aa2e4bb41089d78810146cc51f0084bfbd2e0cb3a7f
serving-r1-on,on,decode-4,75,256,0,0.09804253303445876,1.8208384169265628,148.01521316843954,5020162888b6e65fb5b8f191188ef99c052726631aeea4d6e2b3648ebf38ebc8
serving-r1-on,on,chain-0,8192,128,0,2.5152457328513265,3.3384888188447803,154.26792178490263,f742dbd6076716d86e4830c3ee4701bb2979689f062efc5bb1cc98ed47aa9adb
serving-r1-on,on,chain-1,8217,128,8160,0.19309251895174384,1.033054461935535,151.19732633226064,ece64ec9035588e8a6dedf09db143f9184a59b70d13713e0ae8133484e050651
serving-r1-on,on,chain-2,8242,128,8192,0.18537588813342154,1.0533581969793886,146.31634620393805,9111a06b56b10a0523012fe6af7f8df364565b9437982a467f8f6d6a85e0451b
serving-r1-on,on,chain-3,8267,128,8224,0.11445735511370003,1.0157574210315943,140.90756763749013,622e531a65733585540a113022ed51a12296e20b0aaba66518363dcccbe0a48b
serving-r1-on,on,chain-4,8292,37,8224,0.18734728102572262,0.43127920501865447,147.58215903320277,1927669e0148752e6bdd17f210561b98f545072698785465eb9d36f57e68c54e
serving-r1-on,on,chain-5,8351,128,8256,0.18937117303721607,1.1266729480121285,135.49531579986527,526552ecae328fbb4df09b058337f2e7b32b44f7c85afc7df58fdd072c3a092d
serving-r1-on,on,chain-6,8376,128,8320,0.1861867238767445,0.9527497058734298,165.67457988800868,7fcbe9381c270f197f72c6bd30f61b8de9d11f31beeb467b9c2369853f092096
serving-r1-on,on,chain-7,8401,128,8352,0.18604045710526407,1.001000469084829,155.83586695439544,ef5d9bbdb33b45f9b071d753bd6c824f1a7f7b5337154cb6c2e2ee3035361b37
serving-r2-off,off,decode-0,71,256,0,0.09812475880607963,1.658653091872111,163.40619686089997,71214ffcbc0114c3989db8e4608309f6f98751ecbb2fb9e2835fca27fb14ef37
serving-r2-off,off,decode-1,82,256,0,0.15898405597545207,1.2899789588991553,225.4652070852014,918fd1873ecb50e197ef01c161bd91d8802554ed433cca3e0df21927b23cf6a9
serving-r2-off,off,decode-2,73,256,0,0.09773190505802631,2.2611562381498516,117.86869367211499,aacc1f7a1c591fecd90a0da38b2140fe86272f9ca6400b4fc40e36d26483dda4
serving-r2-off,off,decode-3,75,256,0,0.09790695598348975,1.466923982836306,186.26503176969996,c7340b3aa91fa7d254bd9876e3cae21b5b904a6419e2d40556cca43d5350baf5
serving-r2-off,off,decode-4,75,256,0,0.09841096098534763,1.8939826169516891,142.01605330128916,a47dfa70bb5546167b1babca7cde179d0f743ba457ab5268ad6b47714d13b815
serving-r2-off,off,chain-0,8192,128,0,2.5363218130078167,3.2802433548495173,170.71692760178783,d9f75d2bf1619e68069ce50b3bde30ec0619313adb8d0f735de7e04c006bacea
serving-r2-off,off,chain-1,8217,128,8160,0.18672699597664177,0.9234008151106536,172.3965162075304,2687a988dd87d30b4f528d696594d735fc3b6bb625f685592d0814717f228172
serving-r2-off,off,chain-2,8242,128,8192,0.18548370292410254,1.0712438358459622,143.37967501547482,83704129715dcd857cfddd660975d8a7ed4059671653a127737e3a87524b3beb
serving-r2-off,off,chain-3,8267,128,8224,0.11381001910194755,0.9615266469772905,149.8142136462556,a4184daf5583cde439bc4cd02fa15b1e680adf95a8c3192f79cc8057ae959ae4
serving-r2-off,off,chain-4,8292,128,8224,0.1866145241074264,0.968196967151016,162.4908557380646,85d4e651c74da744a5ac3250853e821a6e8e2ba4f007297f17959c0252c98be5
serving-r2-off,off,chain-5,8317,128,8256,0.18720713490620255,0.9658168589230627,163.11124313321565,7b2819be3068e93677cbbc2b47794aabf112e226ff8da0d03dc69d2500099f7d
serving-r2-off,off,chain-6,8342,65,8288,0.2061389631126076,0.7480629640631378,118.09774043545688,debaedd2e12c45a129542b6472359c2e4f863fc4dd36afa26b3a110c7ba378c0
serving-r2-off,off,chain-7,8429,128,8320,0.1906746318563819,1.1469908419530839,132.80126244765614,f55d204bc15a5f6dfd1f4f86aad6f77d180b26aee96fe70d60c8340873034a59
serving-r2-on,on,decode-0,71,256,0,0.09796833316795528,1.440948138013482,189.87627295656227,46a90ebb36de8f16eca0d1b3150ada1cdfcf69fba4d433365538a69f9287f6cf
serving-r2-on,on,decode-1,82,256,0,0.15950392000377178,1.1528141479939222,256.717380748171,81062c5a382a70f6c173d85f79d8d0483b2a2cde7fe60a17571eddac38f3aa33
serving-r2-on,on,decode-2,73,256,0,0.09781360998749733,1.9026478040032089,141.28721676789118,c12225a599168194730a56e21666ca765265f26f3f47f568cf573a8202ae0fc0
serving-r2-on,on,decode-3,75,256,0,0.09799990197643638,1.3171906729694456,209.15512655358032,781b9fb4c74bb3d154ed65c3de091225e83522692940d0424716b1967bdb7ca8
serving-r2-on,on,decode-4,75,256,0,0.09790312894620001,1.9623888928908855,136.7669332376652,3957ec5e3b03d7084f9fb35a0a2e2a8016603f5d5d90930e15c7cee81a1d7d58
serving-r2-on,on,chain-0,8192,128,0,2.5160046219825745,3.214605308137834,181.7919771864854,d4986deecdd4f8f30bbd265d1ccace994da4b20c690d3790e28912966ff4d8d3
serving-r2-on,on,chain-1,8217,128,8160,0.1860015420243144,0.8980710019823164,178.3533870522835,589aa42a818eb209a9183f26ec918ad5ba65406ecc7608d0da55af04b0f1742d
serving-r2-on,on,chain-2,8242,63,8192,0.1855272150132805,0.6210354780778289,142.36239644162788,af6ee815e75ff6f6be562a398dfaccf9e19194d911c61b30a7083913fcda4111
serving-r2-on,on,chain-3,8267,128,8224,0.13246633508242667,1.3471227001864463,104.55632032943251,0fd69a9138787ecd4e5ed3055ef77ae6cdfe9f541f1f860f3cc20f84a3438e89
serving-r2-on,on,chain-4,8418,128,8224,0.20896884216926992,1.0626005891244859,148.77609748347703,34075db3a1816553723e907a502332084564a4b7fd72ea91bc1b2b3dbe043799
serving-r2-on,on,chain-5,8443,128,8384,0.19402220007032156,1.2373745830263942,121.72301714611311,552b794d298fc2ef5c05755da2857570b650c726b7ed210c68b9ae7dfea82099
serving-r2-on,on,chain-6,8468,128,8416,0.18641158915124834,1.3725440150592476,107.07067543725559,74416007a9cc6002930dea27faedece62c169ed99d1ed495bdbeb3946ce9a2d9
serving-r2-on,on,chain-7,8493,128,8448,0.11415411089546978,0.975051345070824,147.520511111471,c1cea906145d834f7b57bd1b1b29688c6573b3f785f17ee7311600ad7262f2d2
serving-r3-off,off,decode-0,71,256,0,0.09818613505922258,1.6010219280142337,169.6792165820033,fe9b93d87fc6d6362274c52fb37bffe2370a3861b40875920aeae540cc9adaa0
serving-r3-off,off,decode-1,82,256,0,0.1595992101356387,1.2605561180971563,231.61669467349685,798a597049be69e9ddc72da5bfea56fb9f64c5886c6d6c0e251c9fd2bf964560
serving-r3-off,off,decode-2,73,256,0,0.09757736185565591,2.19049279903993,121.83960969921792,1cdc08dc342061767b40fe10abad9b63f82767112205d22aa8455c9e0e80ae7a
serving-r3-off,off,decode-3,75,256,0,0.09800596395507455,1.3902090650517493,197.33739981244824,6e34e96260fe7f8ac6905e59bd8771ad87f3aeae7572afe1ffdd34e3ea5927ec
serving-r3-off,off,decode-4,75,256,0,0.09823303390294313,1.9311326518654823,139.12382189454507,1e025c929a6584ce85224675ffbd4b50cbbfe326fc8a286fc9874b33a1efb658
serving-r3-off,off,chain-0,8192,128,0,2.53454173495993,3.2421728710178286,179.47203497502525,cc5381c09c03b556d9b8c032bb9a15456160a8282959fefa26d7390f16a13086
serving-r3-off,off,chain-1,8217,128,8160,0.18601822503842413,0.9615672840736806,163.75495337197822,43f1ea9345b07fd0342b4d184e4f76e670385d74e3af4e7b37c8f097b8259a8f
serving-r3-off,off,chain-2,8242,128,8192,0.18516002991236746,0.9843897779937834,158.9029941701604,6f4ea057e1cf2602d07d7b9b793281a7dbf845ea1338f5bfe3aa6bde70a51b18
serving-r3-off,off,chain-3,8267,45,8224,0.13262337213382125,0.536786052165553,108.86705322853031,72269473a4377ed165223b1cb408beb2de5c6d2ce44b7f3576823f6761929527
serving-r3-off,off,chain-4,8334,128,8224,0.1893202979117632,1.0157512510195374,153.6728501303339,2e5de68e3f133eb3037a805c87102220969b011317913ac7d8cdc0d9ba4dec6c
serving-r3-off,off,chain-5,8359,128,8288,0.18689856096170843,1.0992522889282554,139.2003957533636,621af2d84be366685b55593efd9656e40695f55010bbc27ae53e97ff6d8c52c1
serving-r3-off,off,chain-6,8384,128,8320,0.18626937014050782,1.072826482122764,143.25078247473562,91005e60a90c6d2b25952fe0f6ea6ed514cc6fcb061e581ed0f980811632d4ee
serving-r3-off,off,chain-7,8409,52,8352,0.20587927103042603,0.6895759289618582,105.4379830079985,3b4530271a5fc8b6b12052a3af756f5fe9103751e13a576863ca72ed740c7b93
serving-r3-on,on,decode-0,71,256,0,0.09813265409320593,1.66181491012685,163.07660908477652,31789ec179d4e32c1d67f73377380e89fb6028a3cbea5b3b4ff2e00633a649b7
serving-r3-on,on,decode-1,82,256,0,0.15905613312497735,1.227929691085592,238.56891032699318,3c93153a0b85d9ef28f19b4072d48d7f37cabd8d7e8c0fcaaeb99d7412f3b510
serving-r3-on,on,decode-2,73,256,0,0.09802925796248019,2.235804777825251,119.28287026898366,ac0044230aff32ce23022fdcce582a2c1bf8600fca7e2a18528501a079c85ef7
serving-r3-on,on,decode-3,75,256,0,0.09789338009431958,1.4824787580873817,184.17065791177072,1c7bb1f42c409871dcbf998734685aa6e028165e709b93c54a74575f07c4e919
serving-r3-on,on,decode-4,75,256,0,0.09824193106032908,1.94904848607257,137.77777008052226,498f9da28098451d8433e2dc078d028711cb2647326686bf950c5061b51d2f5b
serving-r3-on,on,chain-0,8192,128,0,2.5136365911457688,3.2423345181159675,174.28346547937122,da12ca78b170b4e5011344b3b5ec101be64a16b6a0632d1538e930e9a620953f
serving-r3-on,on,chain-1,8217,128,8160,0.1857873471453786,0.9663977201562375,162.69320059142146,debb18481501e144f2153c2ce7e1c6795bf7b8174b7dd282b509e0200338c9b3
serving-r3-on,on,chain-2,8242,128,8192,0.18551301816478372,1.0332932171877474,149.8029797657022,3e475aa126d8a744f455fe8cc7e3688c4a01c0d0ece74c4cf1aef13c49d86a98
serving-r3-on,on,chain-3,8267,128,8224,0.12040586792863905,0.8774997328873724,167.74670338521676,e24b63cd36af6fba6e306318e239e31dcb22aa830b8d77307b3400c40051691b
serving-r3-on,on,chain-4,8292,51,8224,0.20525946794077754,0.5763225639238954,134.7479728953559,d376883643cb02096223c689a12c244b3e5f336db15137d03f357b050182124e
serving-r3-on,on,chain-5,8365,128,8256,0.19012297689914703,1.085627491120249,141.8194972589981,6678a7a6cd5fbd4e20e0ee83a0924ceb6144542daa01c1197a13d9a32b3dc8d9
serving-r3-on,on,chain-6,8390,46,8320,0.206849668873474,0.5941404129844159,116.19177758379236,20cd42056691972f59614e76feabf1a15d25af0f5621534cbc6337842b2b81fd
serving-r3-on,on,chain-7,8458,128,8352,0.19023537985049188,1.1187371539417654,136.7794909431327,7caa32d73cac9e5a62b26f2db749f30549fbfa93c588a61c2e15407b5842bb0b
