04:26:22.497	C	cpu6 471369 701 57837 143142846 7136 0 2472 0 0 0
04:26:22.497	C	cpu7 383644 267 44275 143275270 4403 0 1479 0 0 0
04:26:22.497	C	cpu8 423693 492 73610 143221794 8685 0 1217 0 0 0
04:26:22.497	C	cpu9 469887 818 79817 143178724 8701 0 1354 0 0 0
04:26:22.497	C	cpu10 327860 273 50731 143376128 5082 0 618 0 0 0
04:26:22.497	C	cpu11 305287 183 43747 143414881 3324 0 374 0 0 0
04:26:22.497	C	cpu12 782338 2764 131025 142787211 14770 0 2292 0 0 0
04:26:22.497	C	cpu13 485572 1674 84064 143159511 9344 0 1420 0 0 0
04:26:22.497	C	cpu14 397598 143 67340 142943575 4296 0 25227 0 0 0
04:26:22.497	C	cpu15 319145 125 53515 143386254 3478 0 982 0 0 0
04:26:22.497	C	cpu16 412822 2101 40290 143232689 26215 0 1105 0 0 0
04:26:22.497	C	cpu17 11136249 4396 2107387 130437632 25704 0 1503 0 0 0
04:26:22.497	C	cpu18 348143 459 33331 143329372 17983 0 725 0 0 0
04:26:22.497	C	cpu19 404216 3841 42693 143205026 43524 0 804 0 0 0
04:26:22.497	C	cpu20 8049592 3574 463046 135176187 26025 0 1185 0 0 0
04:26:22.497	C	cpu21 390134 1956 35582 143277425 19892 0 611 0 0 0
04:26:22.497	C	cpu22 319880 70 27184 143391505 8425 0 289 0 0 0
04:26:22.497	C	cpu23 284015 32 22641 143448557 3556 0 173 0 0 0
04:26:22.497	C	cpu24 308787 130 40563 143410753 8086 0 488 0 0 0
04:26:22.497	C	cpu25 301587 130 41160 143415809 9813 0 328 0 0 0
04:26:22.497	C	cpu26 286794 75 38795 143439619 6904 0 207 0 0 0
04:26:22.497	C	cpu27 271791 99 35152 143462111 4631 0 151 0 0 0
04:26:22.497	C	cpu28 309384 324 38467 143399926 21131 0 189 0 0 0
04:26:22.497	C	cpu29 288505 175 34381 143432658 15369 0 132 0 0 0
04:26:22.497	C	cpu30 248180 64 27435 143492606 6541 0 85 0 0 0
04:26:22.497	C	cpu31 156802 55 119732 143494667 4424 0 114 0 0 0
04:26:22.497	N	6817856526	4954936897
04:26:22.497	O	76620	run-gen-p71	1	491180776 33242 21	218441	0	14	34
04:26:22.497	S	TIMER	1:8,4:1,5:1,12:1,14:1,17:13,20:1,30:1,31:3
04:26:22.497	S	NET_RX	0:1,14:5,17:1
04:26:22.497	S	BLOCK	31:4
04:26:22.497	S	SCHED	0:22,1:2,4:1,5:1,12:1,14:1,17:4,20:1,30:1,31:7
04:26:22.497	S	RCU	1:5,4:1,5:1,10:1,12:1,14:1,17:8,30:1,31:9
04:26:22.497	D	0	3:249263/37
04:26:22.497	D	1	3:189859/3
04:26:22.497	D	2	3:302999/17
04:26:22.497	D	3	3:275547/20
04:26:22.497	D	4	2:465/1,3:267576/21
04:26:22.497	D	5	2:521/3,3:298456/24
04:26:22.497	D	6	3:303007/17
04:26:22.497	D	7	3:303014/16
04:26:22.497	D	8	3:250071/17
04:26:22.497	D	9	3:249986/18
04:26:22.497	D	10	2:80/1,3:302685/17
04:26:22.497	D	11	3:250055/17
04:26:22.497	D	12	3:302901/18
04:26:22.497	D	13	3:303009/16
04:26:22.497	D	14	1:9/1,3:275476/21
04:26:22.497	D	15	2:56/1,3:302905/18
04:26:22.497	D	16	3:303014/16
04:26:22.497	D	17	1:1936/3,3:111213/14
04:26:22.497	D	18	3:300200/16
04:26:22.497	D	19	3:303012/16
04:26:22.497	D	20	2:670/2,3:249169/24
04:26:22.497	D	21	3:303017/16
04:26:22.497	D	22	3:303013/16
04:26:22.497	D	23	3:303013/16
04:26:22.497	D	24	3:303005/16
04:26:22.497	D	25	3:303003/16
04:26:22.497	D	26	2:67/1,3:289465/17
04:26:22.497	D	27	3:303006/16
04:26:22.497	D	28	1:49/2,3:265148/18
04:26:22.497	D	29	3:303009/16
04:26:22.497	D	30	1:33/1,3:250044/17
04:26:22.497	D	31	2:11592/23,3:235615/27
04:26:22.497	V	nr_free_pages:-138522,nr_zone_active_anon:134292,nr_zone_write_pending:37,numa_hit:136696,numa_local:136696,nr_active_anon:134292,nr_slab_unreclaimable:-493,nr_anon_pages:134256,nr_mapped:684767,nr_file_pages:33,nr_dirty:37,nr_shmem:32,nr_dirtied:37,nr_kernel_misc_reclaimable:-238592,nr_foll_pin_acquired:32,nr_kernel_stack:16,nr_page_table_pages:1641,nr_sec_page_table_pages:317,nr_iommu_pages:317,nr_dirty_threshold:-27697,nr_dirty_background_threshold:-13832,pgalloc_normal:140520,pgfree:3142,pgfault:163591,pgreuse:3
04:26:22.497	H	hwmon0:r8169_0_800:00/temp1_input=43500,hwmon1:nvme/temp1_input=33850,hwmon1:nvme/temp2_input=33850,hwmon1:nvme/temp3_input=38850,hwmon2:nvme/temp1_input=37850,hwmon3:k10temp/temp1_input=49125,hwmon3:k10temp/temp3_input=46125,hwmon3:k10temp/temp4_input=32625,hwmon4:spd5118/temp1_input=30500,hwmon5:spd5118/temp1_input=31000,hwmon6:spd5118/temp1_input=32750,hwmon7:spd5118/temp1_input=32000,hwmon9:amdgpu/power1_input=16000,hwmon9:amdgpu/temp1_input=39000
04:26:22.747	C	cpu0 875334 7990 114025 142474145 33802 0 260745 0 0 0
04:26:22.747	C	cpu1 43300695 23154 4776365 95420260 35387 0 11727 0 0 0
04:26:22.747	C	cpu2 951065 6968 87287 142653164 17588 0 11400 0 0 0
04:26:22.747	C	cpu3 2041624 7100 165898 141370517 36067 0 9285 0 0 0
04:26:22.747	C	cpu4 34997841 17382 1714076 106822671 40049 0 5911 0 0 0
04:26:22.747	C	cpu5 1195508 6449 99727 142385205 18115 0 4742 0 0 0
04:26:22.747	C	cpu6 471369 701 57837 143142871 7136 0 2472 0 0 0
04:26:22.747	C	cpu7 383644 267 44275 143275295 4403 0 1479 0 0 0
04:26:22.747	C	cpu8 423693 492 73610 143221819 8685 0 1217 0 0 0
04:26:22.747	C	cpu9 469887 818 79817 143178749 8701 0 1354 0 0 0
04:26:22.747	C	cpu10 327860 273 50731 143376153 5082 0 618 0 0 0
04:26:22.747	C	cpu11 305287 183 43747 143414906 3324 0 374 0 0 0
04:26:22.747	C	cpu12 782338 2764 131025 142787236 14770 0 2292 0 0 0
04:26:22.747	C	cpu13 485572 1674 84065 143159536 9344 0 1420 0 0 0
04:26:22.747	C	cpu14 397598 143 67340 142943600 4296 0 25227 0 0 0
04:26:22.747	C	cpu15 319145 125 53515 143386279 3478 0 982 0 0 0
04:26:22.747	C	cpu16 412822 2101 40290 143232714 26215 0 1105 0 0 0
04:26:22.747	C	cpu17 11136249 4396 2107387 130437657 25704 0 1503 0 0 0
04:26:22.747	C	cpu18 348143 459 33331 143329397 17983 0 725 0 0 0
04:26:22.747	C	cpu19 404216 3841 42693 143205051 43524 0 804 0 0 0
04:26:22.747	C	cpu20 8049592 3574 463046 135176211 26025 0 1185 0 0 0
04:26:22.747	C	cpu21 390134 1956 35582 143277450 19892 0 611 0 0 0
04:26:22.747	C	cpu22 319880 70 27184 143391530 8425 0 289 0 0 0
04:26:22.747	C	cpu23 284015 32 22641 143448582 3556 0 173 0 0 0
04:26:22.747	C	cpu24 308787 130 40563 143410778 8086 0 488 0 0 0
04:26:22.747	C	cpu25 301587 130 41160 143415834 9813 0 328 0 0 0
04:26:22.747	C	cpu26 286794 75 38795 143439644 6904 0 207 0 0 0
04:26:22.747	C	cpu27 271791 99 35152 143462136 4631 0 151 0 0 0
04:26:22.747	C	cpu28 309384 324 38467 143399951 21131 0 189 0 0 0
04:26:22.747	C	cpu29 288505 175 34381 143432683 15369 0 132 0 0 0
04:26:22.747	C	cpu30 248180 64 27435 143492631 6541 0 85 0 0 0
04:26:22.747	C	cpu31 156802 55 119732 143494691 4425 0 114 0 0 0
04:26:22.747	N	6817858452	4954937266
04:26:22.747	O	76620	run-gen-p71	1	741158688 46216 24	250450	0	28	45
04:26:22.747	S	TIMER	0:1,1:20,2:1,8:1,9:1,13:1,14:1,15:1,18:3,19:1,20:11,28:1
04:26:22.747	S	NET_RX	0:3,14:9
04:26:22.747	S	BLOCK	31:4
04:26:22.747	S	SCHED	0:36,1:5,2:6,3:1,5:1,8:5,9:4,13:5,20:24,28:2,30:5,31:5
04:26:22.747	S	RCU	0:6,1:37,2:4,5:1,8:9,9:7,13:7,14:1,15:11,19:1,20:22,26:5,28:6,30:8,31:5
04:26:22.747	D	0	1:28/1,2:4297/5,3:243168/90
04:26:22.747	D	2	0:89/3,1:28/1,2:8170/13,3:235614/45
04:26:22.747	D	3	2:654/2,3:243110/36
04:26:22.747	D	4	3:244002/37
04:26:22.747	D	5	2:1043/2,3:242791/39
04:26:22.747	D	6	3:244117/32
04:26:22.747	D	7	3:244126/30
04:26:22.747	D	8	0:2/1,2:8435/12,3:240540/40
04:26:22.747	D	9	0:2/1,1:28/1,2:6503/9,3:242288/43
04:26:22.747	D	10	3:244118/30
04:26:22.747	D	11	3:249703/31
04:26:22.747	D	12	3:244116/30
04:26:22.747	D	13	1:37/1,2:9375/15,3:239392/42
04:26:22.747	D	14	1:44/3,2:196/1,3:243783/36
04:26:22.747	D	15	1:27/1,2:7474/12,3:241301/44
04:26:22.747	D	16	3:244122/30
04:26:22.747	D	17	3:244149/30
04:26:22.747	D	18	0:45/3,3:246470/47
04:26:22.747	D	19	3:243921/34
04:26:22.747	D	20	0:391/11,1:1511/8,2:29512/40,3:211430/70
04:26:22.747	D	21	3:243917/37
