format	memra-checkpoint-oracle-v1
engine	memra-native-serving-numeric
numeric_class	serving-weight-and-cache-formats
tokens	1,2,3,4
vocab	154880
logit	486	408b20d2
logit	487	bd9c8d62
logit	488	40e0cf38
logit	489	3ffbcb4e
logit	490	3d69f6a0
logit	491	bd7bc590
logit	492	40fe0d14
logit	493	3f96c054
logit	494	40287b36
logit	495	4055a9ee
logit	496	40f090ab
logit	497	407882d1
logit	498	40ac28f8
logit	499	bfdb7b9c
logit	500	4066f897
logit	501	40783bcf
logit	502	40c42d21
logit	503	404a5f2a
logit	504	40d6471b
logit	505	401a6c97
logit	506	4082602c
logit	507	406b853a
logit	508	40c9f46c
logit	509	3ebfff47
logit	510	40cf9f73
logit	511	40300105
logit	512	bd3b8e70
logit	513	3fe131a0
logit	514	bf73a577
logit	515	407bd668
logit	516	40b34486
logit	517	3fda907b
logit	518	40bb587d
logit	519	3e4ca418
logit	520	bff1eb23
logit	521	402d01c8
logit	522	40312530
logit	523	3e8d89a4
logit	524	3f3dc065
logit	525	40ce5d8b
logit	526	3fb77571
logit	527	412172ba
logit	528	3f1bcda8
logit	529	4050fd27
logit	530	3f2248f0
logit	531	40074fc8
logit	532	4014dc1e
logit	533	bf8a2d86
logit	534	3fa93ba0
logit	535	403dba47
logit	536	4008b7a4
logit	537	40b8c711
logit	538	3f3d2ca3
logit	539	40356989
logit	540	bfed632c
logit	541	40436a6e
logit	542	4090285e
logit	543	3fe62fca
logit	544	3f72a10e
logit	545	bfa5f6f3
logit	546	40496cd9
logit	547	4082a26c
logit	548	3fe1c269
logit	549	40c16ed5
logit	550	bd27bc20
logit	551	bd254bd0
logit	552	3f3e8758
logit	553	40d6924a
logit	554	bf3cc8d6
logit	555	402ee9c2
logit	556	bfdcf9ec
logit	557	3fc10d0d
logit	558	3faf9434
logit	559	40341960
logit	560	3f22f67c
logit	561	bf80e8de
logit	562	40804d17
logit	563	40aae631
logit	564	402ca027
logit	565	41197ef9
logit	566	40a11128
logit	567	400e62dc
logit	568	405a986d
logit	569	40f66d40
logit	570	3f4e1add
logit	571	400e22b8
logit	572	40ade1c1
logit	573	401114e0
logit	574	409879fa
logit	575	4086f47e
logit	576	40f7997c
logit	577	bd9e5698
logit	578	3fe6e90b
logit	579	40091ab6
logit	580	4094c8b4
logit	581	bf13dce7
logit	582	408709db
logit	583	bfb2c866
logit	584	3fd5a972
