procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 35730964 1527052 376772140    0    0     0    40 6671 3473  3  1 95  0  0  0
 2  0      0 35732136 1527052 376772140    0    0     0    16 5415 5299  4  0 96  0  0  0
 2  0      0 35773624 1527052 376772144    0    0     0     0 5692 5979  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 35708464 1527052 376772144    0    0     0     0 5211 3308  3  1 96  0  0  0
 2  0      0 35695500 1527052 376772144    0    0     0     0 5225 3279  3  1 96  0  0  0
 2  0      0 35705444 1527060 376772116    0    0     0 11392 5685 3627  3  1 96  0  0  0
 2  0      0 35706720 1527060 376772112    0    0     0    92 5163 3303  3  1 96  0  0  0
 2  0      0 35712348 1527060 376772120    0    0     0     0 5305 3372  3  1 96  0  0  0
 2  0      0 35716576 1527060 376772120    0    0     0     0 5061 3239  3  1 96  0  0  0
 2  0      0 35722872 1527060 376772124    0    0     0     0 5211 3405  3  1 96  0  0  0
 2  0      0 35732396 1527064 376772124    0    0     0    32 5193 3264  3  1 96  0  0  0
 2  0      0 35732164 1527064 376772124    0    0     0     0 5389 3343  3  1 96  0  0  0
 2  0      0 35740020 1527064 376772124    0    0     0     0 5266 3274  3  1 96  0  0  0
 2  0      0 35761640 1527064 376772128    0    0     0     0 5647 5567  4  0 96  0  0  0
 2  0      0 35771644 1527064 376772132    0    0     0     0 5586 5765  4  0 96  0  0  0
 2  0      0 35739280 1527068 376772136    0    0     0    20 5722 3388  3  1 96  0  0  0
 2  0      0 35775192 1527068 376772136    0    0     0     0 5179 3228  3  1 96  0  0  0
 2  0      0 35795248 1527068 376772136    0    0     0     0 5479 3392  3  1 96  0  0  0
 2  0      0 35799720 1527068 376772136    0    0     0     8 5013 3224  3  1 96  0  0  0
 2  0      0 35775332 1527068 376772140    0    0     0     0 5474 3389  3  1 96  0  0  0
 4  0      0 35787496 1527068 376772156    0    0     0    28 6640 5507  4  0 95  0  0  0
 2  0      0 35814900 1527068 376772284    0    0     0     4 7223 5255  3  1 96  0  0  0
 2  0      0 35790916 1527072 376772284    0    0     0    60 5155 3600  3  1 96  0  0  0
 2  0      0 35776424 1527072 376772288    0    0     0    20 5547 3497  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 35743068 1527072 376772292    0    0     0     0 5235 3316  3  1 96  0  0  0
 2  0      0 35766976 1527072 376772292    0    0     0    76 5307 3435  3  1 96  0  0  0
 2  0      0 35766984 1527072 376772292    0    0     0     0 5203 3391  3  1 96  0  0  0
 3  0      0 35781064 1527072 376772304    0    0     0    16 7044 4251  3  1 96  0  0  0
 2  0      0 35806372 1527072 376772300    0    0     0     8 7527 4419  3  1 95  0  0  0
 2  0      0 35809636 1527072 376772304    0    0     0     0 5183 3344  3  1 96  0  0  0
 2  0      0 35791020 1527072 376772308    0    0     0    40 5335 3359  3  1 96  0  0  0
 2  0      0 35780008 1527072 376772312    0    0     0     0 5000 3324  3  1 96  0  0  0
 2  0      0 35792504 1527072 376772316    0    0     0    16 5703 3349  3  2 95  0  0  0
 2  0      0 35793036 1527072 376772320    0    0     0     8 5034 3592  3  1 96  0  0  0
 2  0      0 35798572 1527072 376772324    0    0     0     0 5235 3343  3  1 96  0  0  0
 2  0      0 35794952 1527076 376772324    0    0     0    52 5347 3323  3  1 96  0  0  0
 2  0      0 35744552 1527076 376772324    0    0     0    96 5383 3581  4  1 96  0  0  0
 2  0      0 35713572 1527076 376772324    0    0     0    16 5489 6570  4  0 96  0  0  0
 2  0      0 35679428 1527076 376772324    0    0     0     0 5667 6352  4  0 96  0  0  0
 2  0      0 35655236 1527076 376772340    0    0     0     0 5459 3834  3  1 96  0  0  0
 3  0      0 35657728 1527084 376772340    0    0     0    32 5496 3415  3  1 96  0  0  0
 3  0      0 35624116 1527084 376772340    0    0     0   108 5059 3451  3  1 96  0  0  0
 2  0      0 35660636 1527084 376772344    0    0     0     0 5105 3314  3  1 96  0  0  0
 2  0      0 35634088 1527084 376772344    0    0     0     0 4893 3280  3  1 96  0  0  0
 2  0      0 35654768 1527084 376772348    0    0     0     0 5481 3347  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 35617648 1527092 376772348    0    0     0    20 5396 3454  3  1 96  0  0  0
 2  0      0 35631096 1527092 376772332    0    0     0     0 7969 4267  3  2 95  0  0  0
 2  0      0 36904820 1527092 376764304    0    0     0     0 8520 4193  3  1 96  0  0  0
 1  0      0 36905240 1527092 376764164    0    0     0     0 3421 3079  2  0 98  0  0  0
 1  0      0 36958648 1527092 376764116    0    0     0     0 4349 3623  2  0 98  0  0  0
 1  0      0 36958288 1527096 376764116    0    0     0    56 2882 2696  2  0 98  0  0  0
 1  0      0 36958560 1527096 376764116    0    0     0 13604 2176 2328  2  0 98  0  0  0
 2  0      0 36961552 1527096 376764120    0    0     0   148 2042 2070  2  0 98  0  0  0
 1  0      0 36963576 1527096 376764120    0    0     0     0 2105 2205  2  0 98  0  0  0
 1  0      0 36963576 1527096 376764120    0    0     0    20 2060 2063  2  0 98  0  0  0
 1  0      0 36967164 1527096 376764120    0    0     0     0 2028 2035  2  0 98  0  0  0
 1  0      0 36967164 1527096 376764124    0    0     0    68 2035 2051  2  0 98  0  0  0
 1  0      0 36970304 1527096 376764124    0    0     0     8 2129 2576  2  0 98  0  0  0
 1  0      0 36977876 1527096 376764124    0    0     0     0 2182 2733  2  0 98  0  0  0
 1  0      0 36993220 1527096 376764128    0    0     0     8 4313 3402  2  0 98  0  0  0
 1  0      0 36997944 1527096 376764120    0    0     0     0 2130 2815  2  0 98  0  0  0
 1  0      0 36997944 1527104 376764112    0    0     0    48 2119 2530  2  0 98  0  0  0
 1  0      0 36997440 1527104 376764124    0    0     0     0 2075 2427  2  0 98  0  0  0
 1  0      0 36997440 1527104 376764124    0    0     0    20 2077 2611  2  0 98  0  0  0
 1  0      0 37000840 1527104 376764124    0    0     0     4 2073 2539  2  0 98  0  0  0
 1  0      0 37004392 1527104 376764124    0    0     0     0 4099 2818  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 37006796 1527104 376764132    0    0     0    40 3752 3229  2  0 98  0  0  0
 1  0      0 37008088 1527104 376764128    0    0     0    20 2798 2821  2  0 98  0  0  0
 1  0      0 37010668 1527104 376764132    0    0     0     8 2045 2069  2  0 98  0  0  0
 1  0      0 37011272 1527104 376764132    0    0     0     0 2094 2151  2  0 98  0  0  0
 1  0      0 37011272 1527104 376764132    0    0     0     0 2062 2087  2  0 98  0  0  0
 1  0      0 37011272 1527104 376764132    0    0     0    28 2057 2072  2  0 98  0  0  0
 1  0      0 37015864 1527104 376764132    0    0     0     0 2039 2053  2  0 98  0  0  0
 1  0      0 37014380 1527104 376764132    0    0     0     0 2157 2165  2  0 98  0  0  0
 1  0      0 37012836 1527104 376764136    0    0     0     0 4255 3133  2  0 98  0  0  0
 1  0      0 37012836 1527104 376764136    0    0     0     0 2041 2029  2  0 98  0  0  0
 1  0      0 37013196 1527104 376764136    0    0     0   156 2044 2059  2  0 98  0  0  0
 1  0      0 37013196 1527104 376764136    0    0     0   100 2082 2148  2  0 98  0  0  0
 1  0      0 37012720 1527104 376764136    0    0     0    32 2101 2089  2  0 98  0  0  0
 1  0      0 37020684 1527104 376764172    0    0    32     0 5915 4393  2  1 97  0  0  0
 1  0      0 37020360 1527104 376764232    0    0     0    12 2119 2116  2  0 98  0  0  0
 1  0      0 37020488 1527108 376764236    0    0     0    60 2218 2157  2  0 98  0  0  0
 1  0      0 37023008 1527108 376764236    0    0     0     0 2265 2124  2  0 98  0  0  0
 1  0      0 37022968 1527108 376764236    0    0     0     0 2041 2043  2  0 98  0  0  0
 1  0      0 37022968 1527108 376764236    0    0     0     0 2031 2039  2  0 98  0  0  0
 1  0      0 37022968 1527108 376764236    0    0     0    20 2090 2144  2  0 98  0  0  0
 1  0      0 37022968 1527112 376764232    0    0     0    24 2025 2030  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 37024168 1527112 376764236    0    0     0     0 2051 2054  2  0 98  0  0  0
 1  0      0 37024168 1527112 376764236    0    0     0     0 2128 2031  2  0 98  0  0  0
 1  0      0 37024168 1527112 376764236    0    0     0     0 2153 2361  2  0 98  0  0  0
 1  0      0 37024168 1527112 376764240    0    0     0 12348 2222 2649  2  0 98  0  0  0
 1  0      0 37024168 1527112 376764240    0    0     0    32 2051 2038  2  0 98  0  0  0
 1  0      0 37024168 1527112 376764240    0    0     0     0 2042 2039  2  0 98  0  0  0
 1  0      0 37024224 1527112 376764240    0    0     0     0 2099 2148  2  0 98  0  0  0
 1  0      0 37024224 1527112 376764240    0    0     0     0 2062 2032  2  0 98  0  0  0
 1  0      0 37028648 1527116 376764240    0    0     0    12 2039 2036  2  0 98  0  0  0
 1  0      0 37028648 1527120 376764240    0    0     0    32 2049 2049  2  0 98  0  0  0
 1  0      0 37028648 1527120 376764240    0    0     0     0 2070 2117  2  0 98  0  0  0
 1  0      0 37039888 1527120 376764244    0    0     0     0 2740 2048  2  0 98  0  0  0
 1  0      0 37039888 1527120 376764244    0    0     0     0 2033 2027  2  0 98  0  0  0
 1  0      0 37039888 1527120 376764244    0    0     0     0 2049 2058  2  0 98  0  0  0
 1  0      0 37039888 1527124 376764244    0    0     0    12 2111 2176  2  0 98  0  0  0
 1  0      0 37039888 1527124 376764244    0    0     0     0 2028 2023  2  0 98  0  0  0
 1  0      0 37039888 1527124 376764244    0    0     0     0 2077 2058  2  0 98  0  0  0
 1  0      0 37039888 1527124 376764244    0    0     0     0 2038 2034  2  0 98  0  0  0
 1  0      0 37043756 1527124 376764244    0    0     0     0 2077 2123  2  0 98  0  0  0
 1  0      0 37043756 1527128 376764244    0    0     0    12 2042 2039  2  0 98  0  0  0
 1  0      0 37043756 1527128 376764252    0    0     0     0 2021 2031  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 37043756 1527128 376764252    0    0     0    40 2026 2041  2  0 98  0  0  0
 1  0      0 37043756 1527128 376764252    0    0     0     0 2093 2121  2  0 98  0  0  0
 1  0      0 37047140 1527128 376764252    0    0     0    72 2041 2065  2  0 98  0  0  0
 1  0      0 37047140 1527132 376764248    0    0     0    24 2039 2033  2  0 98  0  0  0
 2  0      0 37046744 1527132 376764256    0    0     0    96 2893 2691  2  0 98  0  0  0
 1  0      0 37026796 1527132 376764264    0    0     0     4 5061 4003  2  1 97  0  0  0
 1  0      0 37026796 1527132 376764268    0    0     0     0 2123 2528  2  0 98  0  0  0
 1  0      0 37030508 1527132 376764268    0    0     0    20 2054 2657  2  0 98  0  0  0
 1  0      0 37033756 1527140 376764260    0    0     0    24 2141 2660  2  0 98  0  0  0
 1  0      0 37033756 1527140 376764268    0    0     0     0 2308 2215  2  0 98  0  0  0
 1  0      0 37033756 1527140 376764268    0    0     0     0 2033 2044  2  0 98  0  0  0
 1  0      0 37041972 1527140 376764264    0    0     0     0 4010 2760  2  0 98  0  0  0
 1  0      0 37041536 1527140 376764272    0    0     0     8 2725 2637  2  0 98  0  0  0
 1  0      0 37041536 1527148 376764272    0    0     0    24 2169 2821  2  0 98  0  0  0
 1  0      0 37041536 1527148 376764272    0    0     0     0 2041 2180  2  0 98  0  0  0
 1  0      0 37042876 1527148 376764276    0    0     0     0 2057 2081  2  0 98  0  0  0
 1  0      0 37042876 1527148 376764276    0    0     0     0 2201 2270  2  0 98  0  0  0
 1  0      0 37051252 1527148 376764252    0    0     0     0 4509 3173  2  0 98  0  0  0
 1  0      0 37053692 1527152 376764252    0    0     0    32 2113 2480  2  0 98  0  0  0
 1  0      0 37053468 1527152 376764252    0    0     0     0 2129 2751  2  0 98  0  0  0
 1  0      0 37053468 1527152 376764252    0    0     0     0 2110 2412  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 37055504 1527152 376764252    0    0     0     0 2378 3175  2  0 98  0  0  0
 1  0      0 37049384 1527152 376764252    0    0     0     0 2797 2482  2  0 98  0  0  0
 1  0      0 37049384 1527156 376764248    0    0     0    12 2186 2613  2  0 98  0  0  0
 1  0      0 37049384 1527156 376764256    0    0     0     0 2224 3022  2  0 98  0  0  0
 1  0      0 37049384 1527156 376764256    0    0     0     0 2183 2649  2  0 98  0  0  0
 1  0      0 37049160 1527156 376764256    0    0     0     0 2150 2751  2  0 98  0  0  0
 1  0      0 37049160 1527156 376764256    0    0     0     0 2045 2530  2  0 98  0  0  0
 0  0      0 38246344 1527164 376756132    0    0     0    28 6668 4187  1  0 99  0  0  0
 0  0      0 39443432 1527164 376747940    0    0     0     0 4577 3030  0  0 99  0  0  0
