timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:41:11.205, 98 %, 10400 MiB, 422.34 W, 2850 MHz, 53
2026/09/13 18:41:11.455, 98 %, 10400 MiB, 422.34 W, 2850 MHz, 53
2026/09/13 18:41:11.705, 0 %, 2 MiB, 381.34 W, 2887 MHz, 46
2026/09/13 18:41:11.957, 0 %, 544 MiB, 381.34 W, 2887 MHz, 46
2026/09/13 18:41:12.207, 0 %, 544 MiB, 228.14 W, 2917 MHz, 44
2026/09/13 18:41:12.457, 0 %, 1952 MiB, 228.14 W, 2917 MHz, 44
2026/09/13 18:41:12.707, 26 %, 4480 MiB, 93.03 W, 2917 MHz, 43
2026/09/13 18:41:12.957, 26 %, 6880 MiB, 93.03 W, 2917 MHz, 43
2026/09/13 18:41:13.208, 52 %, 10304 MiB, 96.35 W, 2910 MHz, 43
2026/09/13 18:41:13.458, 52 %, 10400 MiB, 96.35 W, 2910 MHz, 43
2026/09/13 18:41:13.708, 99 %, 10400 MiB, 160.39 W, 2902 MHz, 50
2026/09/13 18:41:13.958, 99 %, 10400 MiB, 160.39 W, 2902 MHz, 50
2026/09/13 18:41:14.208, 99 %, 10400 MiB, 318.35 W, 2910 MHz, 51
2026/09/13 18:41:14.458, 99 %, 10400 MiB, 318.35 W, 2910 MHz, 51
2026/09/13 18:41:14.708, 98 %, 10400 MiB, 424.51 W, 2865 MHz, 54
2026/09/13 18:41:14.958, 98 %, 10400 MiB, 424.51 W, 2865 MHz, 54
2026/09/13 18:41:15.209, 0 %, 21 MiB, 336.69 W, 2902 MHz, 45
2026/09/13 18:41:15.459, 0 %, 544 MiB, 336.69 W, 2902 MHz, 45
2026/09/13 18:41:15.709, 0 %, 544 MiB, 154.94 W, 2917 MHz, 44
2026/09/13 18:41:15.959, 0 %, 3296 MiB, 154.94 W, 2917 MHz, 44
2026/09/13 18:41:16.210, 27 %, 5760 MiB, 93.43 W, 2917 MHz, 44
2026/09/13 18:41:16.460, 27 %, 10304 MiB, 93.43 W, 2917 MHz, 44
2026/09/13 18:41:16.710, 12 %, 10400 MiB, 100.99 W, 2910 MHz, 44
2026/09/13 18:41:16.960, 12 %, 10400 MiB, 100.99 W, 2910 MHz, 44
2026/09/13 18:41:17.210, 99 %, 10400 MiB, 210.93 W, 2880 MHz, 51
2026/09/13 18:41:17.460, 99 %, 10400 MiB, 210.93 W, 2880 MHz, 51
2026/09/13 18:41:17.710, 99 %, 10400 MiB, 359.91 W, 2910 MHz, 52
2026/09/13 18:41:17.960, 99 %, 10400 MiB, 359.91 W, 2910 MHz, 52
2026/09/13 18:41:18.211, 98 %, 10400 MiB, 430.75 W, 2887 MHz, 54
2026/09/13 18:41:18.461, 98 %, 2 MiB, 430.75 W, 2887 MHz, 54
2026/09/13 18:41:18.711, 0 %, 544 MiB, 300.47 W, 2910 MHz, 45
2026/09/13 18:41:18.961, 0 %, 544 MiB, 300.47 W, 2910 MHz, 45
2026/09/13 18:41:19.211, 0 %, 2464 MiB, 107.35 W, 2917 MHz, 44
2026/09/13 18:41:19.461, 0 %, 4768 MiB, 107.35 W, 2917 MHz, 44
2026/09/13 18:41:19.712, 25 %, 7168 MiB, 91.58 W, 2917 MHz, 44
2026/09/13 18:41:19.962, 25 %, 10304 MiB, 91.58 W, 2917 MHz, 44
2026/09/13 18:41:20.212, 0 %, 10400 MiB, 98.29 W, 2910 MHz, 44
2026/09/13 18:41:20.462, 0 %, 10400 MiB, 98.29 W, 2910 MHz, 44
2026/09/13 18:41:20.712, 99 %, 10400 MiB, 235.56 W, 2910 MHz, 52
2026/09/13 18:41:20.962, 99 %, 10400 MiB, 235.56 W, 2910 MHz, 52
2026/09/13 18:41:21.212, 97 %, 10400 MiB, 379.96 W, 2910 MHz, 55
2026/09/13 18:41:21.463, 97 %, 10400 MiB, 379.96 W, 2910 MHz, 55
2026/09/13 18:41:21.713, 0 %, 10400 MiB, 402.28 W, 2887 MHz, 49
2026/09/13 18:41:21.963, 0 %, 510 MiB, 402.28 W, 2887 MHz, 49
2026/09/13 18:41:22.213, 1 %, 544 MiB, 257.11 W, 2917 MHz, 45
2026/09/13 18:41:22.463, 1 %, 1344 MiB, 257.11 W, 2917 MHz, 45
2026/09/13 18:41:22.713, 40 %, 3872 MiB, 96.29 W, 2910 MHz, 45
2026/09/13 18:41:22.964, 40 %, 6304 MiB, 96.29 W, 2910 MHz, 45
2026/09/13 18:41:23.214, 25 %, 10304 MiB, 91.88 W, 2910 MHz, 44
2026/09/13 18:41:23.464, 25 %, 10400 MiB, 91.88 W, 2910 MHz, 44
2026/09/13 18:41:23.714, 98 %, 10400 MiB, 143.31 W, 2917 MHz, 50
2026/09/13 18:41:23.964, 98 %, 10400 MiB, 143.31 W, 2917 MHz, 50
2026/09/13 18:41:24.214, 99 %, 10400 MiB, 287.30 W, 2910 MHz, 52
2026/09/13 18:41:24.464, 99 %, 10400 MiB, 287.30 W, 2910 MHz, 52
2026/09/13 18:41:24.715, 98 %, 10400 MiB, 426.17 W, 2872 MHz, 55
2026/09/13 18:41:24.965, 98 %, 10400 MiB, 426.17 W, 2872 MHz, 55
2026/09/13 18:41:25.215, 0 %, 2 MiB, 357.67 W, 2895 MHz, 47
2026/09/13 18:41:25.465, 0 %, 544 MiB, 357.67 W, 2895 MHz, 47
2026/09/13 18:41:25.715, 0 %, 544 MiB, 180.45 W, 2917 MHz, 45
2026/09/13 18:41:25.965, 0 %, 2720 MiB, 180.45 W, 2917 MHz, 45
2026/09/13 18:41:26.216, 27 %, 5216 MiB, 94.84 W, 2917 MHz, 45
2026/09/13 18:41:26.466, 27 %, 9344 MiB, 94.84 W, 2917 MHz, 45
2026/09/13 18:41:26.716, 63 %, 10304 MiB, 100.76 W, 2917 MHz, 46
2026/09/13 18:41:26.966, 63 %, 10432 MiB, 100.76 W, 2917 MHz, 46
2026/09/13 18:41:27.216, 99 %, 10432 MiB, 191.75 W, 2865 MHz, 52
2026/09/13 18:41:27.466, 99 %, 10432 MiB, 191.75 W, 2865 MHz, 52
2026/09/13 18:41:27.716, 99 %, 10432 MiB, 340.38 W, 2910 MHz, 53
2026/09/13 18:41:27.967, 99 %, 10432 MiB, 340.38 W, 2910 MHz, 53
2026/09/13 18:41:28.217, 98 %, 10432 MiB, 426.86 W, 2857 MHz, 55
2026/09/13 18:41:28.467, 98 %, 2 MiB, 426.86 W, 2857 MHz, 55
2026/09/13 18:41:28.717, 18 %, 544 MiB, 309.11 W, 2910 MHz, 46
2026/09/13 18:41:28.967, 18 %, 544 MiB, 309.11 W, 2910 MHz, 46
2026/09/13 18:41:29.217, 0 %, 2016 MiB, 150.29 W, 2917 MHz, 45
2026/09/13 18:41:29.468, 0 %, 4544 MiB, 150.29 W, 2917 MHz, 45
2026/09/13 18:41:29.718, 25 %, 6944 MiB, 92.85 W, 2910 MHz, 45
2026/09/13 18:41:29.968, 25 %, 10304 MiB, 92.85 W, 2910 MHz, 45
2026/09/13 18:41:30.218, 0 %, 10432 MiB, 100.43 W, 2910 MHz, 45
2026/09/13 18:41:30.468, 0 %, 10432 MiB, 100.43 W, 2910 MHz, 45
2026/09/13 18:41:30.718, 99 %, 10432 MiB, 234.25 W, 2887 MHz, 52
2026/09/13 18:41:30.969, 99 %, 10432 MiB, 234.25 W, 2887 MHz, 52
2026/09/13 18:41:31.219, 98 %, 10432 MiB, 407.77 W, 2910 MHz, 56
2026/09/13 18:41:31.469, 98 %, 10432 MiB, 407.77 W, 2910 MHz, 56
2026/09/13 18:41:31.719, 0 %, 10431 MiB, 399.65 W, 2887 MHz, 50
2026/09/13 18:41:31.969, 0 %, 508 MiB, 399.65 W, 2887 MHz, 50
2026/09/13 18:41:32.222, 1 %, 544 MiB, 258.19 W, 2917 MHz, 46
2026/09/13 18:41:32.472, 1 %, 1376 MiB, 258.19 W, 2917 MHz, 46
2026/09/13 18:41:32.722, 43 %, 3872 MiB, 94.83 W, 2910 MHz, 45
2026/09/13 18:41:32.972, 43 %, 6272 MiB, 94.83 W, 2910 MHz, 45
2026/09/13 18:41:33.222, 25 %, 10304 MiB, 92.34 W, 2917 MHz, 45
2026/09/13 18:41:33.473, 25 %, 10400 MiB, 92.34 W, 2917 MHz, 45
2026/09/13 18:41:33.723, 98 %, 10400 MiB, 145.18 W, 2917 MHz, 51
2026/09/13 18:41:33.973, 98 %, 10400 MiB, 145.18 W, 2917 MHz, 51
2026/09/13 18:41:34.223, 99 %, 10400 MiB, 283.24 W, 2910 MHz, 53
2026/09/13 18:41:34.473, 99 %, 10400 MiB, 283.24 W, 2910 MHz, 53
2026/09/13 18:41:34.723, 98 %, 10400 MiB, 425.15 W, 2872 MHz, 55
2026/09/13 18:41:34.973, 98 %, 10400 MiB, 425.15 W, 2872 MHz, 55
2026/09/13 18:41:35.224, 0 %, 2 MiB, 365.77 W, 2895 MHz, 48
2026/09/13 18:41:35.474, 0 %, 544 MiB, 365.77 W, 2895 MHz, 48
2026/09/13 18:41:35.724, 0 %, 544 MiB, 191.45 W, 2917 MHz, 46
2026/09/13 18:41:35.974, 0 %, 2592 MiB, 191.45 W, 2917 MHz, 46
2026/09/13 18:41:36.224, 26 %, 5056 MiB, 94.67 W, 2917 MHz, 46
2026/09/13 18:41:36.474, 26 %, 8480 MiB, 94.67 W, 2917 MHz, 46
2026/09/13 18:41:36.725, 72 %, 10304 MiB, 101.42 W, 2910 MHz, 48
2026/09/13 18:41:36.975, 72 %, 10400 MiB, 101.42 W, 2910 MHz, 48
2026/09/13 18:41:37.225, 99 %, 10400 MiB, 181.81 W, 2880 MHz, 52
2026/09/13 18:41:37.475, 99 %, 10400 MiB, 181.81 W, 2880 MHz, 52
2026/09/13 18:41:37.725, 99 %, 10400 MiB, 317.34 W, 2910 MHz, 53
2026/09/13 18:41:37.975, 99 %, 10400 MiB, 317.34 W, 2910 MHz, 53
2026/09/13 18:41:38.225, 98 %, 10400 MiB, 427.50 W, 2857 MHz, 56
2026/09/13 18:41:38.475, 98 %, 10400 MiB, 427.50 W, 2857 MHz, 56
2026/09/13 18:41:38.726, 18 %, 542 MiB, 325.69 W, 2902 MHz, 47
2026/09/13 18:41:38.976, 18 %, 544 MiB, 325.69 W, 2902 MHz, 47
2026/09/13 18:41:39.226, 0 %, 1536 MiB, 176.16 W, 2910 MHz, 46
2026/09/13 18:41:39.476, 0 %, 4064 MiB, 176.16 W, 2910 MHz, 46
2026/09/13 18:41:39.726, 26 %, 6496 MiB, 94.82 W, 2917 MHz, 46
2026/09/13 18:41:39.977, 26 %, 10304 MiB, 94.82 W, 2917 MHz, 46
2026/09/13 18:41:40.227, 4 %, 10400 MiB, 100.79 W, 2917 MHz, 46
2026/09/13 18:41:40.477, 4 %, 10400 MiB, 100.79 W, 2917 MHz, 46
2026/09/13 18:41:40.727, 99 %, 10400 MiB, 216.61 W, 2880 MHz, 53
2026/09/13 18:41:40.977, 99 %, 10400 MiB, 216.61 W, 2880 MHz, 53
2026/09/13 18:41:41.227, 98 %, 10400 MiB, 385.92 W, 2902 MHz, 58
2026/09/13 18:41:41.477, 98 %, 10400 MiB, 385.92 W, 2902 MHz, 58
2026/09/13 18:41:41.728, 69 %, 10400 MiB, 430.59 W, 2887 MHz, 56
2026/09/13 18:41:41.978, 69 %, 21 MiB, 430.59 W, 2887 MHz, 56
2026/09/13 18:41:42.228, 1 %, 544 MiB, 286.39 W, 2917 MHz, 47
2026/09/13 18:41:42.478, 1 %, 544 MiB, 286.39 W, 2917 MHz, 47
2026/09/13 18:41:42.728, 29 %, 3296 MiB, 94.91 W, 2917 MHz, 46
2026/09/13 18:41:42.978, 29 %, 5728 MiB, 94.91 W, 2917 MHz, 46
2026/09/13 18:41:43.229, 25 %, 10304 MiB, 92.06 W, 2910 MHz, 46
2026/09/13 18:41:43.479, 25 %, 10400 MiB, 92.06 W, 2910 MHz, 46
2026/09/13 18:41:43.729, 58 %, 10400 MiB, 122.95 W, 2902 MHz, 51
2026/09/13 18:41:43.979, 58 %, 10400 MiB, 122.95 W, 2902 MHz, 51
2026/09/13 18:41:44.229, 99 %, 10400 MiB, 265.30 W, 2910 MHz, 54
2026/09/13 18:41:44.479, 99 %, 10400 MiB, 265.30 W, 2910 MHz, 54
2026/09/13 18:41:44.729, 98 %, 10400 MiB, 415.55 W, 2872 MHz, 57
2026/09/13 18:41:44.980, 98 %, 10400 MiB, 415.55 W, 2872 MHz, 57
2026/09/13 18:41:45.230, 0 %, 2 MiB, 376.47 W, 2895 MHz, 49
2026/09/13 18:41:45.480, 0 %, 544 MiB, 376.47 W, 2895 MHz, 49
2026/09/13 18:41:45.730, 0 %, 544 MiB, 206.12 W, 2917 MHz, 47
2026/09/13 18:41:45.980, 0 %, 2176 MiB, 206.12 W, 2917 MHz, 47
2026/09/13 18:41:46.230, 27 %, 4672 MiB, 95.22 W, 2917 MHz, 46
2026/09/13 18:41:46.481, 27 %, 7104 MiB, 95.22 W, 2917 MHz, 46
2026/09/13 18:41:46.731, 51 %, 10304 MiB, 98.63 W, 2917 MHz, 46
2026/09/13 18:41:46.981, 51 %, 10400 MiB, 98.63 W, 2917 MHz, 46
2026/09/13 18:41:47.231, 99 %, 10400 MiB, 166.37 W, 2805 MHz, 53
2026/09/13 18:41:47.481, 99 %, 10400 MiB, 166.37 W, 2805 MHz, 53
2026/09/13 18:41:47.731, 99 %, 10400 MiB, 320.30 W, 2902 MHz, 54
2026/09/13 18:41:47.981, 99 %, 10400 MiB, 320.30 W, 2902 MHz, 54
2026/09/13 18:41:48.232, 98 %, 10400 MiB, 432.24 W, 2865 MHz, 57
2026/09/13 18:41:48.482, 98 %, 10400 MiB, 432.24 W, 2865 MHz, 57
2026/09/13 18:41:48.732, 0 %, 2 MiB, 367.50 W, 2895 MHz, 49
2026/09/13 18:41:48.989, 0 %, 544 MiB, 367.50 W, 2895 MHz, 49
2026/09/13 18:41:49.239, 0 %, 544 MiB, 187.45 W, 2917 MHz, 47
2026/09/13 18:41:49.489, 0 %, 3072 MiB, 187.45 W, 2917 MHz, 47
2026/09/13 18:41:49.740, 27 %, 5568 MiB, 95.72 W, 2917 MHz, 47
2026/09/13 18:41:49.990, 27 %, 10304 MiB, 95.72 W, 2917 MHz, 47
2026/09/13 18:41:50.240, 51 %, 10304 MiB, 101.50 W, 2917 MHz, 48
2026/09/13 18:41:50.490, 51 %, 10400 MiB, 101.50 W, 2917 MHz, 48
2026/09/13 18:41:50.740, 99 %, 10400 MiB, 191.49 W, 2707 MHz, 53
2026/09/13 18:41:50.990, 99 %, 10400 MiB, 191.49 W, 2707 MHz, 53
2026/09/13 18:41:51.241, 99 %, 10400 MiB, 325.01 W, 2902 MHz, 54
2026/09/13 18:41:51.491, 99 %, 10400 MiB, 325.01 W, 2902 MHz, 54
2026/09/13 18:41:51.741, 98 %, 10400 MiB, 433.46 W, 2887 MHz, 57
2026/09/13 18:41:51.991, 98 %, 10400 MiB, 433.46 W, 2887 MHz, 57
2026/09/13 18:41:52.241, 0 %, 510 MiB, 336.45 W, 2902 MHz, 49
2026/09/13 18:41:52.491, 0 %, 544 MiB, 336.45 W, 2902 MHz, 49
2026/09/13 18:41:52.741, 0 %, 1440 MiB, 156.53 W, 2917 MHz, 47
2026/09/13 18:41:52.992, 0 %, 3968 MiB, 156.53 W, 2917 MHz, 47
2026/09/13 18:41:53.242, 26 %, 6368 MiB, 95.44 W, 2917 MHz, 47
2026/09/13 18:41:53.492, 26 %, 10304 MiB, 95.44 W, 2917 MHz, 47
2026/09/13 18:41:53.742, 4 %, 10304 MiB, 101.40 W, 2917 MHz, 47
2026/09/13 18:41:53.992, 4 %, 10304 MiB, 101.40 W, 2917 MHz, 47
2026/09/13 18:41:54.243, 99 %, 10304 MiB, 219.20 W, 2850 MHz, 54
2026/09/13 18:41:54.493, 99 %, 10304 MiB, 219.20 W, 2850 MHz, 54
2026/09/13 18:41:54.743, 98 %, 10304 MiB, 375.45 W, 2902 MHz, 57
2026/09/13 18:41:54.993, 98 %, 10304 MiB, 375.45 W, 2902 MHz, 57
2026/09/13 18:41:55.243, 98 %, 10304 MiB, 437.57 W, 2887 MHz, 57
2026/09/13 18:41:55.493, 98 %, 2 MiB, 437.57 W, 2887 MHz, 57
2026/09/13 18:41:55.743, 6 %, 544 MiB, 314.68 W, 2910 MHz, 48
2026/09/13 18:41:55.994, 6 %, 544 MiB, 314.68 W, 2910 MHz, 48
2026/09/13 18:41:56.244, 0 %, 2720 MiB, 150.03 W, 2917 MHz, 47
2026/09/13 18:41:56.494, 0 %, 5216 MiB, 150.03 W, 2917 MHz, 47
2026/09/13 18:41:56.744, 25 %, 9344 MiB, 93.75 W, 2917 MHz, 47
2026/09/13 18:41:56.994, 25 %, 10304 MiB, 93.75 W, 2917 MHz, 47
2026/09/13 18:41:57.244, 0 %, 10304 MiB, 100.55 W, 2917 MHz, 47
2026/09/13 18:41:57.494, 0 %, 10304 MiB, 100.55 W, 2917 MHz, 47
2026/09/13 18:41:57.745, 99 %, 10304 MiB, 244.06 W, 2902 MHz, 55
2026/09/13 18:41:57.995, 99 %, 10304 MiB, 244.06 W, 2902 MHz, 55
2026/09/13 18:41:58.245, 98 %, 10304 MiB, 390.22 W, 2902 MHz, 57
2026/09/13 18:41:58.495, 98 %, 10304 MiB, 390.22 W, 2902 MHz, 57
2026/09/13 18:41:58.745, 30 %, 10304 MiB, 421.95 W, 2887 MHz, 54
2026/09/13 18:41:58.995, 30 %, 21 MiB, 421.95 W, 2887 MHz, 54
2026/09/13 18:41:59.246, 1 %, 544 MiB, 273.14 W, 2917 MHz, 49
2026/09/13 18:41:59.496, 1 %, 1344 MiB, 273.14 W, 2917 MHz, 49
2026/09/13 18:41:59.746, 31 %, 3520 MiB, 95.30 W, 2917 MHz, 47
2026/09/13 18:41:59.996, 31 %, 5952 MiB, 95.30 W, 2917 MHz, 47
2026/09/13 18:42:00.246, 25 %, 10304 MiB, 92.59 W, 2917 MHz, 47
2026/09/13 18:42:00.496, 25 %, 10304 MiB, 92.59 W, 2917 MHz, 47
2026/09/13 18:42:00.747, 62 %, 10304 MiB, 113.02 W, 2887 MHz, 50
2026/09/13 18:42:00.997, 62 %, 10304 MiB, 113.02 W, 2887 MHz, 50
2026/09/13 18:42:01.247, 99 %, 10304 MiB, 256.57 W, 2902 MHz, 55
2026/09/13 18:42:01.497, 99 %, 10304 MiB, 256.57 W, 2902 MHz, 55
2026/09/13 18:42:01.747, 97 %, 10304 MiB, 414.77 W, 2895 MHz, 57
2026/09/13 18:42:01.997, 97 %, 10304 MiB, 414.77 W, 2895 MHz, 57
2026/09/13 18:42:02.247, 11 %, 10301 MiB, 405.00 W, 2887 MHz, 53
2026/09/13 18:42:02.497, 11 %, 108 MiB, 405.00 W, 2887 MHz, 53
2026/09/13 18:42:02.748, 1 %, 544 MiB, 262.93 W, 2917 MHz, 49
2026/09/13 18:42:02.998, 1 %, 1376 MiB, 262.93 W, 2917 MHz, 49
2026/09/13 18:42:03.248, 39 %, 3936 MiB, 101.75 W, 2917 MHz, 48
2026/09/13 18:42:03.498, 39 %, 6400 MiB, 101.75 W, 2917 MHz, 48
2026/09/13 18:42:03.749, 25 %, 10304 MiB, 92.67 W, 2917 MHz, 47
2026/09/13 18:42:03.999, 25 %, 10304 MiB, 92.67 W, 2917 MHz, 47
2026/09/13 18:42:04.249, 98 %, 10304 MiB, 127.95 W, 2917 MHz, 52
2026/09/13 18:42:04.499, 98 %, 10304 MiB, 127.95 W, 2917 MHz, 52
2026/09/13 18:42:04.749, 99 %, 10304 MiB, 289.64 W, 2902 MHz, 55
2026/09/13 18:42:04.999, 99 %, 10304 MiB, 289.64 W, 2902 MHz, 55
2026/09/13 18:42:05.249, 97 %, 10304 MiB, 416.83 W, 2895 MHz, 57
2026/09/13 18:42:05.499, 97 %, 10304 MiB, 416.83 W, 2895 MHz, 57
2026/09/13 18:42:05.750, 0 %, 2 MiB, 392.32 W, 2887 MHz, 52
2026/09/13 18:42:06.009, 0 %, 544 MiB, 392.32 W, 2887 MHz, 52
2026/09/13 18:42:06.259, 1 %, 544 MiB, 248.01 W, 2917 MHz, 49
2026/09/13 18:42:06.510, 1 %, 1792 MiB, 248.01 W, 2917 MHz, 49
2026/09/13 18:42:06.760, 41 %, 4288 MiB, 95.82 W, 2917 MHz, 48
2026/09/13 18:42:07.010, 41 %, 6720 MiB, 95.82 W, 2917 MHz, 48
2026/09/13 18:42:07.260, 25 %, 10304 MiB, 92.96 W, 2917 MHz, 48
2026/09/13 18:42:07.510, 25 %, 10304 MiB, 92.96 W, 2917 MHz, 48
2026/09/13 18:42:07.761, 99 %, 10304 MiB, 134.41 W, 2917 MHz, 52
2026/09/13 18:42:08.011, 99 %, 10304 MiB, 134.41 W, 2917 MHz, 52
2026/09/13 18:42:08.261, 99 %, 10304 MiB, 278.69 W, 2902 MHz, 55
2026/09/13 18:42:08.511, 99 %, 10304 MiB, 278.69 W, 2902 MHz, 55
2026/09/13 18:42:08.761, 97 %, 10304 MiB, 418.29 W, 2887 MHz, 58
2026/09/13 18:42:09.011, 97 %, 2 MiB, 418.29 W, 2887 MHz, 58
2026/09/13 18:42:09.273, 18 %, 544 MiB, 313.49 W, 2902 MHz, 49
2026/09/13 18:42:09.523, 18 %, 544 MiB, 313.49 W, 2902 MHz, 49
2026/09/13 18:42:09.773, 0 %, 2272 MiB, 175.78 W, 2917 MHz, 48
2026/09/13 18:42:10.023, 0 %, 4768 MiB, 175.78 W, 2917 MHz, 48
2026/09/13 18:42:10.273, 26 %, 7200 MiB, 94.89 W, 2917 MHz, 48
2026/09/13 18:42:10.523, 26 %, 10304 MiB, 94.89 W, 2917 MHz, 48
2026/09/13 18:42:10.774, 4 %, 10304 MiB, 103.45 W, 2917 MHz, 48
2026/09/13 18:42:11.024, 4 %, 10304 MiB, 103.45 W, 2917 MHz, 48
2026/09/13 18:42:11.274, 99 %, 10304 MiB, 216.98 W, 2910 MHz, 55
2026/09/13 18:42:11.524, 99 %, 10304 MiB, 216.98 W, 2910 MHz, 55
2026/09/13 18:42:11.774, 97 %, 10304 MiB, 378.67 W, 2902 MHz, 57
2026/09/13 18:42:12.024, 97 %, 10304 MiB, 378.67 W, 2902 MHz, 57
2026/09/13 18:42:12.274, 0 %, 2 MiB, 379.42 W, 2887 MHz, 52
2026/09/13 18:42:12.525, 0 %, 544 MiB, 379.42 W, 2887 MHz, 52
2026/09/13 18:42:12.775, 0 %, 544 MiB, 243.05 W, 2917 MHz, 49
2026/09/13 18:42:13.025, 0 %, 2560 MiB, 243.05 W, 2917 MHz, 49
2026/09/13 18:42:13.275, 27 %, 5088 MiB, 95.77 W, 2917 MHz, 48
2026/09/13 18:42:13.525, 27 %, 8768 MiB, 95.77 W, 2917 MHz, 48
2026/09/13 18:42:13.775, 51 %, 10304 MiB, 98.38 W, 2917 MHz, 48
2026/09/13 18:42:14.026, 51 %, 10304 MiB, 98.38 W, 2917 MHz, 48
2026/09/13 18:42:14.276, 99 %, 10304 MiB, 157.86 W, 2827 MHz, 54
2026/09/13 18:42:14.526, 99 %, 10304 MiB, 157.86 W, 2827 MHz, 54
2026/09/13 18:42:14.776, 99 %, 10304 MiB, 310.40 W, 2902 MHz, 56
2026/09/13 18:42:15.026, 99 %, 10304 MiB, 310.40 W, 2902 MHz, 56
2026/09/13 18:42:15.276, 97 %, 10304 MiB, 418.84 W, 2887 MHz, 58
2026/09/13 18:42:15.526, 97 %, 10301 MiB, 418.84 W, 2887 MHz, 58
2026/09/13 18:42:15.777, 0 %, 508 MiB, 337.46 W, 2902 MHz, 50
2026/09/13 18:42:16.036, 0 %, 544 MiB, 337.46 W, 2902 MHz, 50
2026/09/13 18:42:16.286, 0 %, 1440 MiB, 164.85 W, 2917 MHz, 49
2026/09/13 18:42:16.536, 0 %, 4000 MiB, 164.85 W, 2917 MHz, 49
2026/09/13 18:42:16.786, 28 %, 6400 MiB, 95.80 W, 2917 MHz, 48
2026/09/13 18:42:17.036, 28 %, 10304 MiB, 95.80 W, 2917 MHz, 48
2026/09/13 18:42:17.287, 19 %, 10304 MiB, 101.53 W, 2917 MHz, 49
2026/09/13 18:42:17.537, 19 %, 10304 MiB, 101.53 W, 2917 MHz, 49
