# qwen4exp_real_gate	label=m11-rewindbit	binary_sha256=bf252461ca961fddc9514115d96795c54a1c7835a1a3e7dd80eec4545fa8ccdc	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# rewind-bit-gate: plain t==1 rows vs chunk(t=6)+rewind(keep)+refeed rows, n=64
keep	row	abs_pos	chunk	bit_identical
3	14	24	4	true
3	15	25	5	true
3	16	26	5	true
3	17	27	5	true
3	18	28	6	true
3	19	29	6	true
3	20	30	6	true
3	21	31	7	true
3	22	32	7	true
3	23	33	7	true
3	24	34	8	true
3	25	35	8	true
3	26	36	8	true
3	27	37	9	true
3	28	38	9	true
3	29	39	9	true
3	30	40	10	true
3	31	41	10	true
3	32	42	10	true
3	33	43	11	true
3	34	44	11	true
3	35	45	11	true
3	36	46	12	true
3	37	47	12	true
3	38	48	12	true
3	39	49	13	true
3	40	50	13	true
3	41	51	13	true
3	42	52	14	true
3	43	53	14	true
3	44	54	14	true
3	45	55	15	true
3	46	56	15	true
3	47	57	15	true
3	48	58	16	true
3	49	59	16	true
3	50	60	16	true
3	51	61	17	true
3	52	62	17	true
3	53	63	17	true
3	54	64	18	true
3	55	65	18	true
3	56	66	18	true
3	57	67	19	true
3	58	68	19	true
3	59	69	19	true
3	60	70	20	true
3	61	71	20	true
3	62	72	20	true
3	63	73	21	true
# keep=3	rows=64	mismatched=0	first_bad_row=-1
4	0	10	0	true
4	1	11	0	true
4	2	12	0	true
4	3	13	0	true
4	4	14	1	true
4	5	15	1	true
4	6	16	1	true
4	7	17	1	true
4	8	18	2	true
4	9	19	2	true
4	10	20	2	true
4	11	21	2	true
4	12	22	3	true
4	13	23	3	true
4	14	24	3	true
4	15	25	3	true
4	16	26	4	true
4	17	27	4	true
4	18	28	4	true
4	19	29	4	true
4	20	30	5	true
4	21	31	5	true
4	22	32	5	true
4	23	33	5	true
4	24	34	6	true
4	25	35	6	true
4	26	36	6	true
4	27	37	6	true
4	28	38	7	true
4	29	39	7	true
4	30	40	7	true
4	31	41	7	true
4	32	42	8	true
4	33	43	8	true
4	34	44	8	true
4	35	45	8	true
4	36	46	9	true
4	37	47	9	true
4	38	48	9	true
4	39	49	9	true
4	40	50	10	true
4	41	51	10	true
4	42	52	10	true
4	43	53	10	true
4	44	54	11	true
4	45	55	11	true
4	46	56	11	true
4	47	57	11	true
4	48	58	12	true
4	49	59	12	true
4	50	60	12	true
4	51	61	12	true
4	52	62	13	true
4	53	63	13	true
4	54	64	13	true
4	55	65	13	true
4	56	66	14	true
4	57	67	14	true
4	58	68	14	true
4	59	69	14	true
4	60	70	15	true
4	61	71	15	true
4	62	72	15	true
4	63	73	15	true
# keep=4	rows=64	mismatched=0	first_bad_row=-1
5	0	10	0	true
5	1	11	0	true
5	2	12	0	true
5	3	13	0	true
5	4	14	0	true
5	5	15	1	true
5	6	16	1	true
5	7	17	1	true
5	8	18	1	true
5	9	19	1	true
5	10	20	2	true
5	11	21	2	true
5	12	22	2	true
5	13	23	2	true
5	14	24	2	true
5	15	25	3	true
5	16	26	3	true
5	17	27	3	true
5	18	28	3	true
5	19	29	3	true
5	20	30	4	true
5	21	31	4	true
5	22	32	4	true
5	23	33	4	true
5	24	34	4	true
5	25	35	5	true
5	26	36	5	true
5	27	37	5	true
5	28	38	5	true
5	29	39	5	true
5	30	40	6	true
5	31	41	6	true
5	32	42	6	true
5	33	43	6	true
5	34	44	6	true
5	35	45	7	true
5	36	46	7	true
5	37	47	7	true
5	38	48	7	true
5	39	49	7	true
5	40	50	8	true
5	41	51	8	true
5	42	52	8	true
5	43	53	8	true
5	44	54	8	true
5	45	55	9	true
5	46	56	9	true
5	47	57	9	true
5	48	58	9	true
5	49	59	9	true
5	50	60	10	true
5	51	61	10	true
5	52	62	10	true
5	53	63	10	true
5	54	64	10	true
5	55	65	11	true
5	56	66	11	true
5	57	67	11	true
5	58	68	11	true
5	59	69	11	true
5	60	70	12	true
5	61	71	12	true
5	62	72	12	true
5	63	73	12	true
# keep=5	rows=64	mismatched=0	first_bad_row=-1
# verdict	policy=bit-identity-across-rewind	pass=true
