epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790371860784,71,94.57,1440,11470,13223133184,11089352660,11609833472,520480812,7,897892352,0,0,0,0,0,0,0
1790371861034,71,94.63,1395,11470,13223133184,11089352660,11609833472,520480812,7,897892352,0,0,0,0,0,0,0
1790371861284,70,93.93,1410,11499,13223133184,11089352660,11609833472,520480812,7,897892352,0,0,0,0,0,0,0
1790371861534,70,93.78,1132,11598,13084000256,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371861784,70,93.72,1237,11470,13084000256,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371862034,70,93.52,1102,11470,13084000256,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371862284,70,93.73,1155,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371862534,70,93.80,1140,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371862784,70,93.44,1140,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371863034,70,93.83,1080,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371863284,70,93.89,1155,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371863534,70,93.85,1132,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371863784,70,93.60,1125,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371864034,70,93.87,1087,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371864284,70,93.76,1140,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371864534,70,93.90,1125,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371864784,70,93.80,1117,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371865034,70,93.91,1102,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371865284,70,93.86,1147,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
1790371865534,70,93.88,1132,11470,13122469888,11509984200,11710496768,200512568,8,1042235392,0,0,0,0,0,0,0
