timestamp, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/20 08:39:56.134, 55, 9.91 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:01.142, 55, 9.38 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:06.142, 55, 9.33 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:11.143, 55, 9.88 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:16.144, 54, 9.30 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:21.145, 54, 9.37 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:40:26.145, 62, 63.55 W, 23552 MiB, 66 %, 2610 MHz, 14001 MHz
2026/07/20 08:40:31.145, 60, 73.85 W, 23552 MiB, 37 %, 2265 MHz, 14001 MHz
2026/07/20 08:40:36.146, 59, 64.29 W, 23552 MiB, 28 %, 2190 MHz, 14001 MHz
2026/07/20 08:40:41.146, 61, 64.17 W, 23552 MiB, 16 %, 2287 MHz, 14001 MHz
2026/07/20 08:40:46.147, 63, 83.65 W, 23552 MiB, 18 %, 2250 MHz, 14001 MHz
2026/07/20 08:40:51.148, 61, 33.47 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:40:56.149, 59, 35.31 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:41:01.150, 59, 35.19 W, 23552 MiB, 6 %, 1755 MHz, 14001 MHz
2026/07/20 08:41:06.150, 58, 33.48 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:41:11.151, 58, 33.73 W, 23552 MiB, 2 %, 1785 MHz, 14001 MHz
2026/07/20 08:41:16.152, 57, 34.23 W, 23552 MiB, 6 %, 1785 MHz, 14001 MHz
2026/07/20 08:41:21.152, 57, 34.31 W, 23552 MiB, 6 %, 1785 MHz, 14001 MHz
2026/07/20 08:41:26.153, 57, 34.44 W, 23552 MiB, 7 %, 1792 MHz, 14001 MHz
2026/07/20 08:41:31.154, 57, 33.22 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:41:36.154, 57, 34.21 W, 23552 MiB, 4 %, 1732 MHz, 14001 MHz
2026/07/20 08:41:41.155, 57, 35.27 W, 23552 MiB, 4 %, 1755 MHz, 14001 MHz
2026/07/20 08:41:46.156, 57, 35.46 W, 23552 MiB, 3 %, 1755 MHz, 14001 MHz
2026/07/20 08:41:51.157, 57, 35.40 W, 23552 MiB, 1 %, 1785 MHz, 14001 MHz
2026/07/20 08:41:56.157, 57, 34.86 W, 23552 MiB, 3 %, 1747 MHz, 14001 MHz
2026/07/20 08:42:01.158, 57, 34.07 W, 23552 MiB, 1 %, 1770 MHz, 14001 MHz
2026/07/20 08:42:06.159, 58, 34.21 W, 23552 MiB, 15 %, 1732 MHz, 14001 MHz
2026/07/20 08:42:11.159, 57, 33.46 W, 23552 MiB, 5 %, 1732 MHz, 14001 MHz
2026/07/20 08:42:16.160, 57, 34.44 W, 23552 MiB, 1 %, 1815 MHz, 14001 MHz
2026/07/20 08:42:21.160, 57, 32.19 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 08:42:26.161, 57, 32.90 W, 23552 MiB, 5 %, 1710 MHz, 14001 MHz
2026/07/20 08:42:31.161, 57, 31.83 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 08:42:36.162, 57, 32.19 W, 23552 MiB, 4 %, 1702 MHz, 14001 MHz
2026/07/20 08:42:41.162, 57, 34.44 W, 23552 MiB, 1 %, 1815 MHz, 14001 MHz
2026/07/20 08:42:46.163, 57, 32.22 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 08:42:51.164, 57, 31.33 W, 23552 MiB, 5 %, 1710 MHz, 14001 MHz
2026/07/20 08:42:56.165, 57, 32.29 W, 23552 MiB, 3 %, 1740 MHz, 14001 MHz
2026/07/20 08:43:01.165, 57, 31.56 W, 23552 MiB, 4 %, 1710 MHz, 14001 MHz
2026/07/20 08:43:06.166, 57, 31.56 W, 23552 MiB, 3 %, 1717 MHz, 14001 MHz
2026/07/20 08:43:11.166, 57, 32.47 W, 23552 MiB, 1 %, 1680 MHz, 14001 MHz
2026/07/20 08:43:16.167, 56, 30.56 W, 23552 MiB, 1 %, 1695 MHz, 14001 MHz
2026/07/20 08:43:21.167, 56, 30.98 W, 23552 MiB, 1 %, 1672 MHz, 14001 MHz
2026/07/20 08:43:26.168, 57, 32.88 W, 23552 MiB, 13 %, 1747 MHz, 14001 MHz
2026/07/20 08:43:31.169, 59, 33.40 W, 23552 MiB, 2 %, 1740 MHz, 14001 MHz
2026/07/20 08:43:36.170, 59, 35.19 W, 23552 MiB, 2 %, 1785 MHz, 14001 MHz
2026/07/20 08:43:41.170, 58, 34.22 W, 23552 MiB, 2 %, 1740 MHz, 14001 MHz
2026/07/20 08:43:46.171, 58, 33.24 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:43:51.171, 58, 33.66 W, 23552 MiB, 7 %, 1755 MHz, 14001 MHz
2026/07/20 08:43:56.172, 57, 33.96 W, 23552 MiB, 3 %, 1762 MHz, 14001 MHz
2026/07/20 08:44:01.172, 57, 33.95 W, 23552 MiB, 2 %, 1740 MHz, 14001 MHz
2026/07/20 08:44:06.173, 57, 34.17 W, 23552 MiB, 2 %, 1747 MHz, 14001 MHz
2026/07/20 08:44:11.174, 57, 35.06 W, 23552 MiB, 4 %, 1755 MHz, 14001 MHz
2026/07/20 08:44:16.174, 57, 34.76 W, 23552 MiB, 3 %, 1755 MHz, 14001 MHz
2026/07/20 08:44:21.175, 57, 34.20 W, 23552 MiB, 2 %, 1755 MHz, 14001 MHz
2026/07/20 08:44:26.175, 58, 35.65 W, 23552 MiB, 6 %, 1807 MHz, 14001 MHz
2026/07/20 08:44:31.176, 57, 35.11 W, 23552 MiB, 5 %, 1755 MHz, 14001 MHz
2026/07/20 08:44:36.177, 57, 33.54 W, 23552 MiB, 3 %, 1710 MHz, 14001 MHz
2026/07/20 08:44:41.177, 57, 34.70 W, 23552 MiB, 3 %, 1755 MHz, 14001 MHz
2026/07/20 08:44:46.178, 57, 34.55 W, 23552 MiB, 1 %, 1725 MHz, 14001 MHz
2026/07/20 08:44:51.178, 57, 34.32 W, 23552 MiB, 8 %, 1732 MHz, 14001 MHz
2026/07/20 08:44:56.179, 57, 32.33 W, 23552 MiB, 3 %, 1725 MHz, 14001 MHz
2026/07/20 08:45:01.179, 57, 34.10 W, 23552 MiB, 10 %, 1740 MHz, 14001 MHz
2026/07/20 08:45:06.180, 58, 33.75 W, 23552 MiB, 5 %, 1732 MHz, 14001 MHz
2026/07/20 08:45:11.181, 57, 32.30 W, 23552 MiB, 1 %, 1710 MHz, 14001 MHz
2026/07/20 08:45:16.181, 57, 32.40 W, 23552 MiB, 3 %, 1710 MHz, 14001 MHz
2026/07/20 08:45:21.182, 57, 32.93 W, 23552 MiB, 3 %, 1702 MHz, 14001 MHz
2026/07/20 08:45:26.182, 57, 33.47 W, 23552 MiB, 9 %, 1725 MHz, 14001 MHz
2026/07/20 08:45:31.183, 57, 31.98 W, 23552 MiB, 2 %, 1710 MHz, 14001 MHz
2026/07/20 08:45:36.183, 57, 34.04 W, 23552 MiB, 4 %, 1785 MHz, 14001 MHz
2026/07/20 08:45:41.184, 57, 31.68 W, 23552 MiB, 2 %, 1717 MHz, 14001 MHz
2026/07/20 08:45:46.185, 57, 32.17 W, 23552 MiB, 4 %, 1695 MHz, 14001 MHz
2026/07/20 08:45:51.185, 57, 32.66 W, 23552 MiB, 2 %, 1687 MHz, 14001 MHz
2026/07/20 08:45:56.186, 57, 30.94 W, 23552 MiB, 3 %, 1702 MHz, 14001 MHz
2026/07/20 08:46:01.186, 57, 31.32 W, 23552 MiB, 3 %, 1687 MHz, 14001 MHz
2026/07/20 08:46:06.187, 57, 33.01 W, 23552 MiB, 6 %, 1792 MHz, 14001 MHz
2026/07/20 08:46:11.188, 59, 33.73 W, 312 MiB, 0 %, 1590 MHz, 14001 MHz
