timestamp, index, memory.used [MiB], temperature.gpu, power.draw [W]
2026/08/02 23:20:08.515, 4, 33315 MiB, 41, 152.99 W
2026/08/02 23:20:08.516, 5, 33315 MiB, 38, 143.29 W
2026/08/02 23:20:08.516, 6, 33315 MiB, 40, 137.26 W
2026/08/02 23:20:08.516, 7, 33315 MiB, 39, 149.24 W
2026/08/02 23:20:09.516, 4, 33315 MiB, 40, 129.10 W
2026/08/02 23:20:09.516, 5, 33315 MiB, 38, 135.44 W
2026/08/02 23:20:09.516, 6, 33315 MiB, 39, 129.62 W
2026/08/02 23:20:09.516, 7, 33315 MiB, 37, 131.03 W
2026/08/02 23:20:10.516, 4, 33315 MiB, 40, 129.05 W
2026/08/02 23:20:10.516, 5, 33315 MiB, 38, 125.89 W
2026/08/02 23:20:10.516, 6, 33315 MiB, 39, 120.77 W
2026/08/02 23:20:10.516, 7, 33315 MiB, 37, 126.89 W
2026/08/02 23:20:11.516, 4, 33315 MiB, 40, 129.05 W
2026/08/02 23:20:11.516, 5, 33315 MiB, 38, 125.92 W
2026/08/02 23:20:11.516, 6, 33315 MiB, 39, 120.74 W
2026/08/02 23:20:11.516, 7, 33315 MiB, 37, 126.85 W
2026/08/02 23:20:12.516, 4, 33315 MiB, 40, 129.06 W
2026/08/02 23:20:12.516, 5, 33315 MiB, 38, 125.90 W
2026/08/02 23:20:12.516, 6, 33315 MiB, 39, 120.75 W
2026/08/02 23:20:12.517, 7, 33315 MiB, 37, 126.91 W
2026/08/02 23:20:13.517, 4, 33315 MiB, 40, 129.03 W
2026/08/02 23:20:13.517, 5, 33315 MiB, 38, 125.92 W
2026/08/02 23:20:13.517, 6, 33315 MiB, 39, 120.71 W
2026/08/02 23:20:13.517, 7, 33315 MiB, 37, 126.90 W
2026/08/02 23:20:14.517, 4, 33315 MiB, 40, 129.05 W
2026/08/02 23:20:14.517, 5, 33315 MiB, 38, 125.88 W
2026/08/02 23:20:14.517, 6, 33315 MiB, 39, 120.71 W
2026/08/02 23:20:14.517, 7, 33315 MiB, 37, 126.87 W
2026/08/02 23:20:15.517, 4, 33315 MiB, 40, 129.01 W
2026/08/02 23:20:15.517, 5, 33315 MiB, 38, 125.91 W
2026/08/02 23:20:15.517, 6, 33315 MiB, 39, 120.72 W
2026/08/02 23:20:15.518, 7, 33315 MiB, 37, 126.82 W
2026/08/02 23:20:16.518, 4, 34597 MiB, 40, 131.14 W
2026/08/02 23:20:16.518, 5, 33315 MiB, 38, 125.86 W
2026/08/02 23:20:16.518, 6, 33315 MiB, 39, 120.68 W
2026/08/02 23:20:16.518, 7, 33315 MiB, 37, 126.83 W
2026/08/02 23:20:17.518, 4, 35879 MiB, 43, 278.95 W
2026/08/02 23:20:17.518, 5, 33315 MiB, 38, 125.86 W
2026/08/02 23:20:17.518, 6, 33315 MiB, 39, 120.65 W
2026/08/02 23:20:17.518, 7, 33315 MiB, 37, 126.83 W
2026/08/02 23:20:18.518, 4, 35879 MiB, 41, 173.75 W
2026/08/02 23:20:18.518, 5, 35845 MiB, 41, 220.30 W
2026/08/02 23:20:18.518, 6, 33315 MiB, 39, 120.59 W
2026/08/02 23:20:18.518, 7, 33315 MiB, 37, 126.76 W
2026/08/02 23:20:19.518, 4, 35879 MiB, 40, 129.83 W
2026/08/02 23:20:19.519, 5, 35879 MiB, 39, 219.06 W
2026/08/02 23:20:19.519, 6, 34563 MiB, 39, 120.69 W
2026/08/02 23:20:19.519, 7, 33315 MiB, 37, 126.80 W
2026/08/02 23:20:20.519, 4, 35879 MiB, 40, 129.76 W
2026/08/02 23:20:20.519, 5, 35879 MiB, 38, 126.38 W
2026/08/02 23:20:20.519, 6, 34597 MiB, 40, 137.40 W
2026/08/02 23:20:20.519, 7, 33315 MiB, 37, 126.82 W
2026/08/02 23:20:21.519, 4, 35879 MiB, 40, 129.71 W
2026/08/02 23:20:21.519, 5, 35879 MiB, 38, 126.18 W
2026/08/02 23:20:21.519, 6, 35879 MiB, 42, 265.05 W
2026/08/02 23:20:21.519, 7, 33315 MiB, 37, 126.85 W
2026/08/02 23:20:22.520, 4, 35879 MiB, 40, 129.67 W
2026/08/02 23:20:22.520, 5, 35879 MiB, 38, 126.06 W
2026/08/02 23:20:22.520, 6, 35879 MiB, 39, 147.40 W
2026/08/02 23:20:22.520, 7, 35845 MiB, 40, 221.02 W
2026/08/02 23:20:23.520, 4, 36711 MiB, 43, 182.76 W
2026/08/02 23:20:23.520, 5, 36519 MiB, 39, 144.78 W
2026/08/02 23:20:23.520, 6, 35879 MiB, 39, 120.99 W
2026/08/02 23:20:23.520, 7, 35879 MiB, 38, 222.33 W
2026/08/02 23:20:24.520, 4, 36711 MiB, 44, 348.07 W
2026/08/02 23:20:24.520, 5, 36519 MiB, 42, 338.36 W
2026/08/02 23:20:24.520, 6, 35879 MiB, 39, 120.83 W
2026/08/02 23:20:24.520, 7, 35879 MiB, 38, 126.79 W
2026/08/02 23:20:25.520, 4, 36903 MiB, 45, 348.79 W
2026/08/02 23:20:25.520, 5, 36903 MiB, 42, 337.84 W
2026/08/02 23:20:25.520, 6, 35879 MiB, 39, 120.77 W
2026/08/02 23:20:25.520, 7, 35879 MiB, 38, 127.01 W
2026/08/02 23:20:26.521, 4, 36903 MiB, 45, 350.13 W
2026/08/02 23:20:26.521, 5, 36903 MiB, 43, 343.56 W
2026/08/02 23:20:26.521, 6, 35879 MiB, 39, 120.81 W
2026/08/02 23:20:26.521, 7, 35879 MiB, 38, 127.01 W
2026/08/02 23:20:27.521, 4, 36903 MiB, 45, 348.30 W
2026/08/02 23:20:27.521, 5, 36903 MiB, 43, 342.14 W
2026/08/02 23:20:27.521, 6, 35879 MiB, 39, 120.78 W
2026/08/02 23:20:27.521, 7, 35879 MiB, 38, 126.93 W
2026/08/02 23:20:28.521, 4, 36903 MiB, 46, 347.11 W
2026/08/02 23:20:28.521, 5, 36903 MiB, 43, 343.03 W
2026/08/02 23:20:28.521, 6, 35879 MiB, 39, 120.74 W
2026/08/02 23:20:28.521, 7, 35879 MiB, 37, 126.95 W
2026/08/02 23:20:29.521, 4, 36903 MiB, 46, 345.86 W
2026/08/02 23:20:29.521, 5, 36903 MiB, 44, 343.14 W
2026/08/02 23:20:29.521, 6, 35879 MiB, 39, 120.64 W
2026/08/02 23:20:29.521, 7, 35879 MiB, 37, 126.91 W
2026/08/02 23:20:30.521, 4, 36903 MiB, 46, 347.06 W
2026/08/02 23:20:30.522, 5, 36903 MiB, 44, 341.51 W
2026/08/02 23:20:30.522, 6, 35879 MiB, 39, 120.69 W
2026/08/02 23:20:30.522, 7, 35879 MiB, 37, 126.81 W
2026/08/02 23:20:31.522, 4, 36903 MiB, 46, 348.79 W
2026/08/02 23:20:31.522, 5, 36903 MiB, 44, 346.59 W
2026/08/02 23:20:31.522, 6, 35879 MiB, 39, 120.70 W
2026/08/02 23:20:31.522, 7, 35879 MiB, 37, 126.88 W
2026/08/02 23:20:32.522, 4, 36903 MiB, 46, 346.71 W
2026/08/02 23:20:32.522, 5, 36903 MiB, 44, 345.54 W
2026/08/02 23:20:32.522, 6, 35879 MiB, 39, 120.63 W
2026/08/02 23:20:32.522, 7, 35879 MiB, 37, 126.97 W
2026/08/02 23:20:33.522, 4, 36903 MiB, 47, 349.91 W
2026/08/02 23:20:33.522, 5, 36903 MiB, 45, 344.30 W
2026/08/02 23:20:33.522, 6, 35879 MiB, 39, 120.68 W
2026/08/02 23:20:33.522, 7, 35879 MiB, 37, 126.88 W
2026/08/02 23:20:34.522, 4, 39975 MiB, 48, 320.51 W
2026/08/02 23:20:34.522, 5, 39975 MiB, 46, 308.05 W
2026/08/02 23:20:34.523, 6, 39463 MiB, 43, 248.95 W
2026/08/02 23:20:34.523, 7, 39463 MiB, 42, 256.77 W
2026/08/02 23:20:35.523, 4, 39975 MiB, 49, 347.58 W
2026/08/02 23:20:35.523, 5, 39975 MiB, 46, 341.78 W
2026/08/02 23:20:35.523, 6, 39463 MiB, 44, 338.44 W
2026/08/02 23:20:35.523, 7, 39463 MiB, 43, 344.66 W
2026/08/02 23:20:36.523, 4, 39975 MiB, 49, 351.03 W
2026/08/02 23:20:36.523, 5, 39975 MiB, 47, 349.57 W
2026/08/02 23:20:36.523, 6, 39463 MiB, 45, 347.64 W
2026/08/02 23:20:36.523, 7, 39463 MiB, 44, 349.57 W
2026/08/02 23:20:37.523, 4, 39975 MiB, 49, 348.24 W
2026/08/02 23:20:37.523, 5, 39975 MiB, 46, 343.68 W
2026/08/02 23:20:37.523, 6, 39847 MiB, 45, 338.66 W
2026/08/02 23:20:37.523, 7, 39847 MiB, 44, 347.27 W
2026/08/02 23:20:38.523, 4, 39975 MiB, 49, 355.29 W
2026/08/02 23:20:38.524, 5, 39975 MiB, 47, 339.17 W
2026/08/02 23:20:38.524, 6, 39847 MiB, 46, 340.84 W
2026/08/02 23:20:38.524, 7, 39847 MiB, 44, 344.12 W
2026/08/02 23:20:39.524, 4, 39975 MiB, 50, 352.83 W
2026/08/02 23:20:39.524, 5, 39975 MiB, 47, 340.04 W
2026/08/02 23:20:39.524, 6, 39847 MiB, 46, 345.64 W
2026/08/02 23:20:39.524, 7, 39847 MiB, 45, 353.58 W
2026/08/02 23:20:40.524, 4, 39975 MiB, 50, 343.57 W
2026/08/02 23:20:40.524, 5, 39975 MiB, 47, 343.18 W
2026/08/02 23:20:40.524, 6, 39847 MiB, 46, 342.09 W
2026/08/02 23:20:40.524, 7, 39847 MiB, 45, 349.12 W
2026/08/02 23:20:41.524, 4, 39975 MiB, 50, 355.48 W
2026/08/02 23:20:41.524, 5, 39975 MiB, 47, 345.97 W
2026/08/02 23:20:41.524, 6, 39911 MiB, 47, 341.41 W
2026/08/02 23:20:41.524, 7, 39911 MiB, 45, 347.27 W
2026/08/02 23:20:42.524, 4, 39975 MiB, 50, 349.97 W
2026/08/02 23:20:42.524, 5, 39975 MiB, 47, 339.58 W
2026/08/02 23:20:42.524, 6, 39911 MiB, 47, 344.15 W
2026/08/02 23:20:42.525, 7, 39911 MiB, 45, 352.45 W
2026/08/02 23:20:43.525, 4, 39975 MiB, 50, 355.89 W
2026/08/02 23:20:43.525, 5, 39975 MiB, 48, 349.97 W
2026/08/02 23:20:43.525, 6, 39911 MiB, 47, 340.28 W
2026/08/02 23:20:43.525, 7, 39911 MiB, 46, 352.84 W
2026/08/02 23:20:44.525, 4, 39975 MiB, 50, 352.22 W
2026/08/02 23:20:44.525, 5, 39975 MiB, 48, 342.55 W
2026/08/02 23:20:44.525, 6, 39911 MiB, 47, 347.42 W
2026/08/02 23:20:44.525, 7, 39911 MiB, 46, 344.37 W
2026/08/02 23:20:45.525, 4, 39975 MiB, 51, 352.97 W
2026/08/02 23:20:45.525, 5, 39975 MiB, 48, 344.99 W
2026/08/02 23:20:45.525, 6, 39911 MiB, 47, 343.21 W
2026/08/02 23:20:45.526, 7, 39911 MiB, 46, 349.65 W
2026/08/02 23:20:46.526, 4, 39975 MiB, 51, 353.36 W
2026/08/02 23:20:46.526, 5, 39975 MiB, 48, 346.46 W
2026/08/02 23:20:46.526, 6, 39911 MiB, 48, 347.61 W
2026/08/02 23:20:46.526, 7, 39911 MiB, 46, 350.65 W
2026/08/02 23:20:47.526, 4, 39975 MiB, 51, 353.98 W
2026/08/02 23:20:47.526, 5, 39975 MiB, 48, 343.00 W
2026/08/02 23:20:47.526, 6, 39911 MiB, 48, 343.20 W
2026/08/02 23:20:47.526, 7, 39911 MiB, 46, 355.06 W
2026/08/02 23:20:48.526, 4, 39975 MiB, 52, 386.29 W
2026/08/02 23:20:48.526, 5, 39975 MiB, 49, 376.02 W
2026/08/02 23:20:48.526, 6, 39911 MiB, 48, 348.95 W
2026/08/02 23:20:48.527, 7, 39911 MiB, 48, 386.39 W
2026/08/02 23:20:49.527, 4, 39975 MiB, 51, 394.71 W
2026/08/02 23:20:49.527, 5, 39975 MiB, 48, 386.24 W
2026/08/02 23:20:49.527, 6, 39911 MiB, 48, 350.35 W
2026/08/02 23:20:49.527, 7, 39911 MiB, 46, 376.25 W
2026/08/02 23:20:50.527, 4, 39975 MiB, 50, 369.42 W
2026/08/02 23:20:50.527, 5, 39975 MiB, 44, 236.51 W
2026/08/02 23:20:50.527, 6, 39911 MiB, 44, 258.30 W
2026/08/02 23:20:50.527, 7, 39911 MiB, 45, 346.80 W
2026/08/02 23:20:51.527, 4, 39975 MiB, 51, 358.01 W
2026/08/02 23:20:51.527, 5, 39975 MiB, 47, 291.39 W
2026/08/02 23:20:51.527, 6, 39911 MiB, 43, 124.99 W
2026/08/02 23:20:51.527, 7, 39911 MiB, 42, 192.43 W
2026/08/02 23:20:52.528, 4, 39975 MiB, 51, 357.25 W
2026/08/02 23:20:52.528, 5, 39975 MiB, 47, 344.71 W
2026/08/02 23:20:52.528, 6, 39911 MiB, 43, 124.87 W
2026/08/02 23:20:52.528, 7, 39911 MiB, 41, 130.13 W
2026/08/02 23:20:53.528, 4, 39975 MiB, 51, 357.39 W
2026/08/02 23:20:53.528, 5, 39975 MiB, 47, 349.46 W
2026/08/02 23:20:53.528, 6, 39911 MiB, 43, 125.23 W
2026/08/02 23:20:53.528, 7, 39911 MiB, 41, 129.88 W
2026/08/02 23:20:54.528, 4, 39975 MiB, 51, 355.76 W
2026/08/02 23:20:54.528, 5, 39975 MiB, 47, 352.28 W
2026/08/02 23:20:54.528, 6, 39911 MiB, 42, 125.11 W
2026/08/02 23:20:54.528, 7, 39911 MiB, 41, 129.74 W
2026/08/02 23:20:55.528, 4, 39975 MiB, 48, 232.77 W
2026/08/02 23:20:55.528, 5, 39975 MiB, 47, 344.37 W
2026/08/02 23:20:55.528, 6, 39911 MiB, 42, 125.09 W
2026/08/02 23:20:55.528, 7, 39911 MiB, 41, 129.53 W
2026/08/02 23:20:56.529, 4, 0 MiB, 47, 138.62 W
2026/08/02 23:20:56.533, 5, 39975 MiB, 44, 216.46 W
2026/08/02 23:20:56.540, 6, 39911 MiB, 42, 125.05 W
2026/08/02 23:20:56.547, 7, 39911 MiB, 40, 129.53 W
2026/08/02 23:20:57.555, 4, 0 MiB, 47, 140.14 W
2026/08/02 23:20:57.555, 5, 0 MiB, 43, 137.42 W
2026/08/02 23:20:57.555, 6, 0 MiB, 42, 131.73 W
2026/08/02 23:20:57.555, 7, 0 MiB, 40, 135.04 W
2026/08/02 23:20:58.555, 4, 0 MiB, 46, 138.51 W
2026/08/02 23:20:58.555, 5, 0 MiB, 43, 134.09 W
2026/08/02 23:20:58.555, 6, 0 MiB, 42, 129.13 W
2026/08/02 23:20:58.555, 7, 0 MiB, 40, 135.27 W
2026/08/02 23:20:59.555, 4, 0 MiB, 46, 138.37 W
2026/08/02 23:20:59.556, 5, 0 MiB, 43, 133.89 W
2026/08/02 23:20:59.556, 6, 0 MiB, 42, 129.08 W
2026/08/02 23:20:59.556, 7, 0 MiB, 40, 133.80 W
2026/08/02 23:21:00.556, 4, 0 MiB, 46, 138.21 W
2026/08/02 23:21:00.556, 5, 0 MiB, 42, 133.68 W
2026/08/02 23:21:00.556, 6, 0 MiB, 42, 129.07 W
2026/08/02 23:21:00.556, 7, 0 MiB, 40, 133.78 W
2026/08/02 23:21:01.556, 4, 0 MiB, 46, 138.10 W
2026/08/02 23:21:01.556, 5, 0 MiB, 42, 133.57 W
2026/08/02 23:21:01.556, 6, 0 MiB, 42, 127.65 W
2026/08/02 23:21:01.556, 7, 0 MiB, 40, 133.26 W
2026/08/02 23:21:02.556, 4, 0 MiB, 46, 137.93 W
2026/08/02 23:21:02.556, 5, 0 MiB, 42, 133.43 W
2026/08/02 23:21:02.556, 6, 0 MiB, 42, 127.31 W
2026/08/02 23:21:02.556, 7, 0 MiB, 40, 133.14 W
2026/08/02 23:21:03.557, 4, 0 MiB, 46, 137.81 W
2026/08/02 23:21:03.557, 5, 0 MiB, 42, 133.30 W
2026/08/02 23:21:03.557, 6, 0 MiB, 42, 127.23 W
2026/08/02 23:21:03.557, 7, 0 MiB, 40, 133.08 W
2026/08/02 23:21:04.557, 4, 0 MiB, 45, 137.70 W
2026/08/02 23:21:04.557, 5, 0 MiB, 42, 133.20 W
2026/08/02 23:21:04.557, 6, 0 MiB, 42, 127.21 W
2026/08/02 23:21:04.557, 7, 0 MiB, 40, 132.98 W
2026/08/02 23:21:05.557, 4, 0 MiB, 45, 137.61 W
2026/08/02 23:21:05.557, 5, 0 MiB, 42, 133.08 W
2026/08/02 23:21:05.557, 6, 0 MiB, 42, 127.15 W
2026/08/02 23:21:05.557, 7, 0 MiB, 40, 132.89 W
2026/08/02 23:21:06.558, 4, 0 MiB, 45, 137.49 W
2026/08/02 23:21:06.558, 5, 0 MiB, 41, 132.99 W
2026/08/02 23:21:06.558, 6, 0 MiB, 42, 127.13 W
2026/08/02 23:21:06.558, 7, 0 MiB, 40, 132.93 W
2026/08/02 23:21:07.558, 4, 0 MiB, 45, 137.44 W
2026/08/02 23:21:07.559, 5, 0 MiB, 41, 132.89 W
2026/08/02 23:21:07.561, 6, 0 MiB, 42, 127.09 W
2026/08/02 23:21:07.562, 7, 0 MiB, 40, 132.84 W
2026/08/02 23:21:08.566, 4, 1 MiB, 45, 137.43 W
2026/08/02 23:21:08.630, 5, 1 MiB, 41, 132.86 W
2026/08/02 23:21:08.631, 6, 1 MiB, 41, 127.12 W
2026/08/02 23:21:08.634, 7, 1 MiB, 39, 132.90 W
2026/08/02 23:21:09.635, 4, 42 MiB, 45, 137.41 W
2026/08/02 23:21:09.640, 5, 41 MiB, 41, 132.88 W
2026/08/02 23:21:09.648, 6, 41 MiB, 41, 127.13 W
2026/08/02 23:21:09.656, 7, 41 MiB, 39, 132.84 W
2026/08/02 23:21:10.666, 4, 2179 MiB, 45, 133.29 W
2026/08/02 23:21:10.666, 5, 1123 MiB, 41, 129.91 W
2026/08/02 23:21:10.666, 6, 1123 MiB, 41, 124.92 W
2026/08/02 23:21:10.666, 7, 1123 MiB, 39, 130.57 W
2026/08/02 23:21:11.666, 4, 11395 MiB, 45, 134.87 W
2026/08/02 23:21:11.666, 5, 9379 MiB, 41, 130.14 W
2026/08/02 23:21:11.666, 6, 9347 MiB, 41, 124.53 W
2026/08/02 23:21:11.666, 7, 11011 MiB, 39, 130.34 W
2026/08/02 23:21:12.666, 4, 33315 MiB, 45, 156.24 W
2026/08/02 23:21:12.667, 5, 33315 MiB, 42, 152.00 W
2026/08/02 23:21:12.667, 6, 33315 MiB, 42, 147.37 W
2026/08/02 23:21:12.667, 7, 33315 MiB, 40, 151.93 W
2026/08/02 23:21:13.667, 4, 33315 MiB, 44, 132.53 W
2026/08/02 23:21:13.667, 5, 33315 MiB, 41, 128.04 W
2026/08/02 23:21:13.667, 6, 33315 MiB, 41, 123.77 W
2026/08/02 23:21:13.667, 7, 33315 MiB, 39, 128.09 W
2026/08/02 23:21:14.667, 4, 33315 MiB, 44, 132.31 W
2026/08/02 23:21:14.667, 5, 33315 MiB, 41, 127.88 W
2026/08/02 23:21:14.667, 6, 33315 MiB, 41, 122.80 W
2026/08/02 23:21:14.667, 7, 33315 MiB, 39, 127.66 W
2026/08/02 23:21:15.668, 4, 33315 MiB, 44, 132.18 W
2026/08/02 23:21:15.668, 5, 33315 MiB, 40, 127.82 W
2026/08/02 23:21:15.668, 6, 33315 MiB, 41, 122.72 W
2026/08/02 23:21:15.668, 7, 33315 MiB, 39, 128.00 W
2026/08/02 23:21:16.668, 4, 33315 MiB, 44, 132.11 W
2026/08/02 23:21:16.668, 5, 33315 MiB, 40, 127.74 W
2026/08/02 23:21:16.668, 6, 33315 MiB, 41, 122.68 W
2026/08/02 23:21:16.668, 7, 33315 MiB, 39, 128.03 W
2026/08/02 23:21:17.668, 4, 33315 MiB, 44, 132.05 W
2026/08/02 23:21:17.668, 5, 33315 MiB, 40, 127.68 W
2026/08/02 23:21:17.669, 6, 33315 MiB, 41, 122.63 W
2026/08/02 23:21:17.669, 7, 33315 MiB, 39, 128.00 W
2026/08/02 23:21:18.669, 4, 33315 MiB, 44, 132.01 W
2026/08/02 23:21:18.669, 5, 33315 MiB, 40, 127.67 W
2026/08/02 23:21:18.669, 6, 33315 MiB, 41, 122.61 W
2026/08/02 23:21:18.669, 7, 33315 MiB, 39, 127.92 W
2026/08/02 23:21:19.669, 4, 33315 MiB, 44, 131.89 W
2026/08/02 23:21:19.669, 5, 33315 MiB, 40, 127.58 W
2026/08/02 23:21:19.669, 6, 33315 MiB, 41, 122.57 W
2026/08/02 23:21:19.669, 7, 33315 MiB, 39, 127.91 W
2026/08/02 23:21:20.669, 4, 34595 MiB, 44, 131.98 W
2026/08/02 23:21:20.669, 5, 33315 MiB, 40, 127.53 W
2026/08/02 23:21:20.669, 6, 33315 MiB, 41, 122.57 W
2026/08/02 23:21:20.670, 7, 33315 MiB, 39, 127.94 W
2026/08/02 23:21:21.670, 4, 35879 MiB, 47, 271.59 W
2026/08/02 23:21:21.670, 5, 33315 MiB, 40, 127.38 W
2026/08/02 23:21:21.670, 6, 33315 MiB, 41, 122.52 W
2026/08/02 23:21:21.670, 7, 33315 MiB, 39, 127.75 W
2026/08/02 23:21:22.670, 4, 35879 MiB, 44, 189.29 W
2026/08/02 23:21:22.670, 5, 35845 MiB, 42, 224.43 W
2026/08/02 23:21:22.670, 6, 33315 MiB, 41, 122.47 W
2026/08/02 23:21:22.670, 7, 33315 MiB, 39, 127.75 W
2026/08/02 23:21:23.670, 4, 35879 MiB, 44, 132.46 W
2026/08/02 23:21:23.671, 5, 35879 MiB, 41, 221.56 W
2026/08/02 23:21:23.671, 6, 34597 MiB, 42, 145.46 W
2026/08/02 23:21:23.671, 7, 33315 MiB, 39, 127.77 W
2026/08/02 23:21:24.671, 4, 35879 MiB, 44, 132.27 W
2026/08/02 23:21:24.671, 5, 35879 MiB, 40, 127.77 W
2026/08/02 23:21:24.671, 6, 35879 MiB, 44, 262.94 W
2026/08/02 23:21:24.671, 7, 33315 MiB, 39, 127.71 W
2026/08/02 23:21:25.671, 4, 35879 MiB, 44, 132.23 W
2026/08/02 23:21:25.671, 5, 35879 MiB, 40, 127.60 W
2026/08/02 23:21:25.671, 6, 35879 MiB, 41, 148.04 W
2026/08/02 23:21:25.671, 7, 35845 MiB, 40, 223.93 W
2026/08/02 23:21:26.671, 4, 36391 MiB, 47, 226.08 W
2026/08/02 23:21:26.671, 5, 35879 MiB, 40, 127.39 W
2026/08/02 23:21:26.671, 6, 35879 MiB, 41, 123.38 W
2026/08/02 23:21:26.671, 7, 35879 MiB, 39, 224.78 W
2026/08/02 23:21:27.672, 4, 36711 MiB, 47, 337.23 W
2026/08/02 23:21:27.672, 5, 36519 MiB, 44, 307.74 W
2026/08/02 23:21:27.672, 6, 35879 MiB, 41, 123.17 W
2026/08/02 23:21:27.672, 7, 35879 MiB, 39, 128.09 W
2026/08/02 23:21:28.672, 4, 36903 MiB, 48, 350.17 W
2026/08/02 23:21:28.672, 5, 36903 MiB, 44, 339.71 W
2026/08/02 23:21:28.672, 6, 35879 MiB, 41, 123.17 W
2026/08/02 23:21:28.672, 7, 35879 MiB, 39, 127.80 W
2026/08/02 23:21:29.672, 4, 36903 MiB, 48, 352.77 W
2026/08/02 23:21:29.672, 5, 36903 MiB, 45, 342.31 W
2026/08/02 23:21:29.672, 6, 35879 MiB, 41, 123.08 W
2026/08/02 23:21:29.672, 7, 35879 MiB, 39, 127.77 W
2026/08/02 23:21:30.672, 4, 36903 MiB, 48, 353.10 W
2026/08/02 23:21:30.672, 5, 36903 MiB, 45, 342.24 W
2026/08/02 23:21:30.672, 6, 35879 MiB, 41, 123.03 W
2026/08/02 23:21:30.672, 7, 35879 MiB, 39, 127.73 W
2026/08/02 23:21:31.673, 4, 36903 MiB, 49, 347.22 W
2026/08/02 23:21:31.673, 5, 36903 MiB, 45, 345.98 W
2026/08/02 23:21:31.673, 6, 35879 MiB, 41, 122.97 W
2026/08/02 23:21:31.673, 7, 35879 MiB, 39, 127.59 W
2026/08/02 23:21:32.673, 4, 36903 MiB, 49, 347.80 W
2026/08/02 23:21:32.673, 5, 36903 MiB, 45, 346.01 W
2026/08/02 23:21:32.673, 6, 35879 MiB, 41, 122.95 W
2026/08/02 23:21:32.673, 7, 35879 MiB, 39, 127.63 W
2026/08/02 23:21:33.673, 4, 36903 MiB, 49, 349.40 W
2026/08/02 23:21:33.673, 5, 36903 MiB, 46, 340.96 W
2026/08/02 23:21:33.673, 6, 35879 MiB, 40, 122.92 W
2026/08/02 23:21:33.673, 7, 35879 MiB, 38, 127.68 W
2026/08/02 23:21:34.673, 4, 36903 MiB, 49, 348.46 W
2026/08/02 23:21:34.673, 5, 36903 MiB, 46, 344.19 W
2026/08/02 23:21:34.674, 6, 35879 MiB, 40, 122.87 W
2026/08/02 23:21:34.674, 7, 35879 MiB, 38, 127.56 W
2026/08/02 23:21:35.674, 4, 36903 MiB, 49, 347.73 W
2026/08/02 23:21:35.674, 5, 36903 MiB, 46, 342.33 W
2026/08/02 23:21:35.674, 6, 35879 MiB, 40, 122.89 W
2026/08/02 23:21:35.674, 7, 35879 MiB, 38, 127.53 W
2026/08/02 23:21:36.674, 4, 36903 MiB, 50, 350.29 W
2026/08/02 23:21:36.674, 5, 36903 MiB, 46, 341.38 W
2026/08/02 23:21:36.674, 6, 35879 MiB, 40, 122.88 W
2026/08/02 23:21:36.674, 7, 35879 MiB, 38, 127.60 W
2026/08/02 23:21:37.674, 4, 39975 MiB, 50, 325.10 W
