device,category,kernel,launches,total_ns
1,other,quantize_q8_1,55014,105906415
1,other,qmatvec_e4m3_mmvq_fused6,5406,97623796
1,other,"void memra_mla_dsa_attn_warp_kernel<(int)16, (int)0>(const float *, const float *, const float *, const int *, float *, float *, float *, int, int, int, int, int, int, int, float)",1749,86439450
1,other,dsv4_rowsq_scale_kernel,14310,65285670
1,other,rms_norm_f32_v2,17808,62111042
1,select,memra_mla_kpool_select_tie_kernel,1749,61539572
1,other,hc_mixes_gemv_f32,14310,55939728
1,other,moe_router_sigmoid_topk_f32,6678,44840858
1,other,qmatvec_nvfp4_mmvq_fused2_rp_g2,6678,42149001
1,select,memra_mla_kpool_select_count_kernel,1749,40694054
1,other,qmatvec_nvfp4_mmvq_rp_ilp,8109,40162406
1,other,router_gemv_f32_w8,6678,28124244
1,other,dsv4_hc_collapse_kernel,14310,25111859
1,other,gemv_f32_rows,5247,16827447
1,other,memra_kda_conv_silu_decode3_f32,5406,16373587
1,other,memra_kda_scan_s128,5406,14167434
1,other,moe_vrows_tables_from_sel,6678,13041421
1,other,memra_mla_dsa_attn_combine_kernel,1749,12370144
1,other,memra_kda_gated_rmsnorm_f32,5406,11255923
1,other,add_scaled_rows_f32,6678,10910331
1,other,swiglu_preclamped_mul_scaled_f32,7155,10883378
1,other,memra_kda_gate_beta_f32,5406,10759768
1,select,memra_mla_kpool_select_emit_kernel,1749,9418889
1,other,l2_norm2_f32,5406,9072781
1,other,layer_norm_bias_f32,1749,6964386
1,other,memra_mla_split_latent_kernel,3498,4493913
1,select,memra_mla_kpool_select_clear_kernel,1749,3559122
1,other,memra_mla_append_latent_kernel,1749,3107891
1,other,memra_mla_index_append_ring_kernel,1749,2567187
1,other,i32_set_k,1749,2110802
1,other,memra_mla_kpool_pool_keys_kernel,429,1690344
1,other,dsv4_hc_post_kernel,488,1153349
1,other,"memra_tp_ar_1stage_kernel(const float *, const float *, float *, MemraArSignal *, MemraArSignal *, int, long, int *, long long, const unsigned long long *, int)",11,137504
