directories with a totals line: 261; with fallbacks: 67
per-expert-quant/evidence/local-5090-next3-20260722 | lines 1/47 | fallbacks 1 | max 1
spill-f-20260919/rtx5090/capped/interrupted-round-05-reboot/visits/r05-1-worker16 | lines 1/1 | fallbacks 5 | max 5
spill-f-20260919/rtx5090/capped/round-01/visits/r01-1-worker16 | lines 1/1 | fallbacks 6 | max 6
spill-f-20260919/rtx5090/capped/round-01/visits/r01-5-worker2 | lines 1/1 | fallbacks 549 | max 549
spill-f-20260919/rtx5090/capped/round-01/visits/r01-6-direct16 | lines 1/1 | fallbacks 4 | max 4
spill-f-20260919/rtx5090/capped/round-02/visits/r02-1-direct16 | lines 1/1 | fallbacks 2 | max 2
spill-f-20260919/rtx5090/capped/round-02/visits/r02-2-worker2 | lines 1/1 | fallbacks 561 | max 561
spill-f-20260919/rtx5090/capped/round-03/visits/r03-1-worker16 | lines 1/1 | fallbacks 5 | max 5
spill-f-20260919/rtx5090/capped/round-03/visits/r03-5-worker2 | lines 1/1 | fallbacks 523 | max 523
spill-f-20260919/rtx5090/capped/round-04/visits/r04-2-worker2 | lines 1/1 | fallbacks 702 | max 702
spill-f-20260919/rtx5090/capped/round-05/visits/r05-5-worker2 | lines 1/1 | fallbacks 431 | max 431
spill-f-20260919/rtx5090/capped/round-06/visits/r06-2-worker2 | lines 1/1 | fallbacks 627 | max 627
spill-f-20260919/rtx5090/capped/round-07/visits/r07-5-worker2 | lines 1/1 | fallbacks 746 | max 746
spill-f-20260919/rtx5090/capped/round-08/visits/r08-2-worker2 | lines 1/1 | fallbacks 676 | max 676
spill-f-20260919/rtx5090/capped/round-09/visits/r09-5-worker2 | lines 1/1 | fallbacks 604 | max 604
spill-f-20260919/rtx5090/capped/round-10/visits/r10-2-worker2 | lines 1/1 | fallbacks 520 | max 520
