timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:52:14.216, 26 %, 5248 MiB, 95.29 W, 2917 MHz, 52
2026/09/13 18:52:14.466, 26 %, 9504 MiB, 95.29 W, 2917 MHz, 52
2026/09/13 18:52:14.716, 4 %, 10304 MiB, 102.68 W, 2910 MHz, 52
2026/09/13 18:52:14.967, 4 %, 10304 MiB, 102.68 W, 2910 MHz, 52
2026/09/13 18:52:15.217, 99 %, 10304 MiB, 210.88 W, 2902 MHz, 60
2026/09/13 18:52:15.467, 99 %, 10304 MiB, 210.88 W, 2902 MHz, 60
2026/09/13 18:52:15.717, 88 %, 10592 MiB, 370.38 W, 2895 MHz, 62
2026/09/13 18:52:15.967, 88 %, 10592 MiB, 370.38 W, 2895 MHz, 62
2026/09/13 18:52:16.217, 96 %, 10592 MiB, 426.73 W, 2887 MHz, 59
2026/09/13 18:52:16.467, 96 %, 10592 MiB, 426.73 W, 2887 MHz, 59
2026/09/13 18:52:16.718, 0 %, 542 MiB, 297.16 W, 2910 MHz, 53
2026/09/13 18:52:16.968, 0 %, 544 MiB, 297.16 W, 2910 MHz, 53
2026/09/13 18:52:17.218, 0 %, 1600 MiB, 114.39 W, 2910 MHz, 52
2026/09/13 18:52:17.468, 0 %, 4160 MiB, 114.39 W, 2910 MHz, 52
2026/09/13 18:52:17.718, 25 %, 6560 MiB, 94.71 W, 2910 MHz, 52
2026/09/13 18:52:17.968, 25 %, 10304 MiB, 94.71 W, 2910 MHz, 52
2026/09/13 18:52:18.219, 7 %, 10304 MiB, 102.87 W, 2917 MHz, 57
2026/09/13 18:52:18.469, 7 %, 10304 MiB, 102.87 W, 2917 MHz, 57
2026/09/13 18:52:18.719, 99 %, 10304 MiB, 248.90 W, 2902 MHz, 60
2026/09/13 18:52:18.969, 99 %, 10592 MiB, 248.90 W, 2902 MHz, 60
2026/09/13 18:52:19.219, 93 %, 10592 MiB, 416.43 W, 2887 MHz, 62
2026/09/13 18:52:19.469, 93 %, 10592 MiB, 416.43 W, 2887 MHz, 62
2026/09/13 18:52:19.719, 0 %, 10592 MiB, 387.17 W, 2895 MHz, 55
2026/09/13 18:52:19.970, 0 %, 2 MiB, 387.17 W, 2895 MHz, 55
2026/09/13 18:52:20.234, 1 %, 544 MiB, 229.34 W, 2910 MHz, 53
2026/09/13 18:52:20.484, 1 %, 544 MiB, 229.34 W, 2910 MHz, 53
2026/09/13 18:52:20.734, 42 %, 3008 MiB, 97.64 W, 2910 MHz, 52
2026/09/13 18:52:20.984, 42 %, 5504 MiB, 97.64 W, 2910 MHz, 52
2026/09/13 18:52:21.235, 25 %, 10304 MiB, 94.31 W, 2917 MHz, 54
2026/09/13 18:52:21.485, 25 %, 10304 MiB, 94.31 W, 2917 MHz, 54
2026/09/13 18:52:21.735, 98 %, 10304 MiB, 139.65 W, 2902 MHz, 58
2026/09/13 18:52:21.985, 98 %, 10304 MiB, 139.65 W, 2902 MHz, 58
2026/09/13 18:52:22.235, 99 %, 10304 MiB, 305.74 W, 2902 MHz, 60
2026/09/13 18:52:22.485, 99 %, 10304 MiB, 305.74 W, 2902 MHz, 60
2026/09/13 18:52:22.736, 98 %, 10304 MiB, 430.44 W, 2887 MHz, 63
2026/09/13 18:52:22.986, 98 %, 10304 MiB, 430.44 W, 2887 MHz, 63
2026/09/13 18:52:23.236, 0 %, 2 MiB, 347.23 W, 2910 MHz, 54
2026/09/13 18:52:23.486, 0 %, 544 MiB, 347.23 W, 2910 MHz, 54
2026/09/13 18:52:23.736, 0 %, 544 MiB, 202.03 W, 2910 MHz, 53
2026/09/13 18:52:23.986, 0 %, 2336 MiB, 202.03 W, 2910 MHz, 53
2026/09/13 18:52:24.236, 27 %, 4800 MiB, 98.15 W, 2910 MHz, 52
2026/09/13 18:52:24.487, 27 %, 8000 MiB, 98.15 W, 2910 MHz, 52
2026/09/13 18:52:24.737, 29 %, 10304 MiB, 104.86 W, 2910 MHz, 52
2026/09/13 18:52:24.987, 29 %, 10304 MiB, 104.86 W, 2910 MHz, 52
2026/09/13 18:52:25.237, 99 %, 10304 MiB, 192.25 W, 2902 MHz, 59
2026/09/13 18:52:25.487, 99 %, 10304 MiB, 192.25 W, 2902 MHz, 59
2026/09/13 18:52:25.737, 99 %, 10304 MiB, 354.87 W, 2902 MHz, 62
2026/09/13 18:52:25.987, 99 %, 10304 MiB, 354.87 W, 2902 MHz, 62
2026/09/13 18:52:26.238, 98 %, 10304 MiB, 438.26 W, 2887 MHz, 58
2026/09/13 18:52:26.488, 98 %, 2 MiB, 438.26 W, 2887 MHz, 58
2026/09/13 18:52:26.762, 0 %, 544 MiB, 303.73 W, 2910 MHz, 54
2026/09/13 18:52:27.012, 0 %, 544 MiB, 303.73 W, 2910 MHz, 54
2026/09/13 18:52:27.262, 0 %, 1952 MiB, 143.18 W, 2910 MHz, 53
2026/09/13 18:52:27.512, 0 %, 4448 MiB, 143.18 W, 2910 MHz, 53
2026/09/13 18:52:27.763, 25 %, 6848 MiB, 95.30 W, 2910 MHz, 52
2026/09/13 18:52:28.013, 25 %, 10304 MiB, 95.30 W, 2910 MHz, 52
2026/09/13 18:52:28.263, 0 %, 10304 MiB, 103.85 W, 2910 MHz, 57
2026/09/13 18:52:28.513, 0 %, 10304 MiB, 103.85 W, 2910 MHz, 57
2026/09/13 18:52:28.763, 99 %, 10304 MiB, 256.07 W, 2902 MHz, 60
2026/09/13 18:52:29.013, 99 %, 10592 MiB, 256.07 W, 2902 MHz, 60
2026/09/13 18:52:29.264, 98 %, 10592 MiB, 377.91 W, 2887 MHz, 62
2026/09/13 18:52:29.514, 98 %, 10592 MiB, 377.91 W, 2887 MHz, 62
2026/09/13 18:52:29.764, 0 %, 10592 MiB, 396.73 W, 2895 MHz, 55
2026/09/13 18:52:30.014, 0 %, 21 MiB, 396.73 W, 2895 MHz, 55
2026/09/13 18:52:30.268, 1 %, 544 MiB, 240.83 W, 2910 MHz, 53
2026/09/13 18:52:30.518, 1 %, 544 MiB, 240.83 W, 2910 MHz, 53
2026/09/13 18:52:30.768, 42 %, 3360 MiB, 98.05 W, 2910 MHz, 52
2026/09/13 18:52:31.018, 42 %, 5792 MiB, 98.05 W, 2910 MHz, 52
2026/09/13 18:52:31.268, 25 %, 10304 MiB, 94.28 W, 2910 MHz, 54
2026/09/13 18:52:31.518, 25 %, 10304 MiB, 94.28 W, 2910 MHz, 54
2026/09/13 18:52:31.769, 98 %, 10304 MiB, 140.17 W, 2910 MHz, 58
2026/09/13 18:52:32.019, 98 %, 10304 MiB, 140.17 W, 2910 MHz, 58
2026/09/13 18:52:32.269, 99 %, 10304 MiB, 301.21 W, 2902 MHz, 60
2026/09/13 18:52:32.519, 99 %, 10592 MiB, 301.21 W, 2902 MHz, 60
2026/09/13 18:52:32.769, 91 %, 10592 MiB, 415.83 W, 2887 MHz, 62
2026/09/13 18:52:33.019, 91 %, 10592 MiB, 415.83 W, 2887 MHz, 62
2026/09/13 18:52:33.269, 0 %, 2 MiB, 339.84 W, 2910 MHz, 54
2026/09/13 18:52:33.520, 0 %, 544 MiB, 339.84 W, 2910 MHz, 54
2026/09/13 18:52:33.770, 0 %, 544 MiB, 199.37 W, 2910 MHz, 53
2026/09/13 18:52:34.020, 0 %, 2496 MiB, 199.37 W, 2910 MHz, 53
2026/09/13 18:52:34.270, 26 %, 4960 MiB, 97.83 W, 2910 MHz, 52
2026/09/13 18:52:34.520, 26 %, 8000 MiB, 97.83 W, 2910 MHz, 52
2026/09/13 18:52:34.770, 47 %, 10304 MiB, 103.06 W, 2910 MHz, 53
2026/09/13 18:52:35.020, 47 %, 10304 MiB, 103.06 W, 2910 MHz, 53
2026/09/13 18:52:35.271, 99 %, 10304 MiB, 179.30 W, 2902 MHz, 59
2026/09/13 18:52:35.521, 99 %, 10304 MiB, 179.30 W, 2902 MHz, 59
2026/09/13 18:52:35.771, 99 %, 10304 MiB, 339.49 W, 2902 MHz, 61
2026/09/13 18:52:36.021, 99 %, 10304 MiB, 339.49 W, 2902 MHz, 61
2026/09/13 18:52:36.271, 98 %, 10304 MiB, 430.68 W, 2872 MHz, 58
2026/09/13 18:52:36.521, 98 %, 2 MiB, 430.68 W, 2872 MHz, 58
2026/09/13 18:52:36.771, 0 %, 544 MiB, 294.34 W, 2910 MHz, 54
2026/09/13 18:52:37.022, 0 %, 544 MiB, 294.34 W, 2910 MHz, 54
2026/09/13 18:52:37.272, 0 %, 1920 MiB, 139.48 W, 2910 MHz, 53
2026/09/13 18:52:37.522, 0 %, 4416 MiB, 139.48 W, 2910 MHz, 53
2026/09/13 18:52:37.772, 25 %, 6848 MiB, 95.57 W, 2910 MHz, 52
2026/09/13 18:52:38.022, 25 %, 10304 MiB, 95.57 W, 2910 MHz, 52
2026/09/13 18:52:38.272, 0 %, 10304 MiB, 104.28 W, 2910 MHz, 56
2026/09/13 18:52:38.523, 0 %, 10304 MiB, 104.28 W, 2910 MHz, 56
2026/09/13 18:52:38.773, 99 %, 10304 MiB, 253.96 W, 2902 MHz, 60
2026/09/13 18:52:39.023, 99 %, 10304 MiB, 253.96 W, 2902 MHz, 60
2026/09/13 18:52:39.273, 97 %, 10304 MiB, 380.17 W, 2887 MHz, 62
2026/09/13 18:52:39.523, 97 %, 10304 MiB, 380.17 W, 2887 MHz, 62
2026/09/13 18:52:39.773, 0 %, 10304 MiB, 391.07 W, 2895 MHz, 55
2026/09/13 18:52:40.023, 0 %, 36 MiB, 391.07 W, 2895 MHz, 55
2026/09/13 18:52:40.273, 0 %, 544 MiB, 227.74 W, 2910 MHz, 53
2026/09/13 18:52:40.524, 0 %, 1344 MiB, 227.74 W, 2910 MHz, 53
2026/09/13 18:52:40.774, 27 %, 3712 MiB, 98.10 W, 2910 MHz, 53
2026/09/13 18:52:41.024, 27 %, 6112 MiB, 98.10 W, 2910 MHz, 53
2026/09/13 18:52:41.274, 25 %, 10304 MiB, 94.20 W, 2917 MHz, 54
2026/09/13 18:52:41.525, 25 %, 10304 MiB, 94.20 W, 2917 MHz, 54
2026/09/13 18:52:41.775, 99 %, 10304 MiB, 147.98 W, 2872 MHz, 59
2026/09/13 18:52:42.025, 99 %, 10304 MiB, 147.98 W, 2872 MHz, 59
2026/09/13 18:52:42.275, 99 %, 10592 MiB, 309.46 W, 2902 MHz, 60
2026/09/13 18:52:42.525, 99 %, 10592 MiB, 309.46 W, 2902 MHz, 60
2026/09/13 18:52:42.775, 89 %, 10592 MiB, 414.78 W, 2887 MHz, 62
2026/09/13 18:52:43.025, 89 %, 10592 MiB, 414.78 W, 2887 MHz, 62
2026/09/13 18:52:43.276, 0 %, 2 MiB, 340.27 W, 2910 MHz, 54
2026/09/13 18:52:43.526, 0 %, 544 MiB, 340.27 W, 2910 MHz, 54
2026/09/13 18:52:43.776, 0 %, 544 MiB, 198.72 W, 2910 MHz, 53
2026/09/13 18:52:44.026, 0 %, 2560 MiB, 198.72 W, 2910 MHz, 53
2026/09/13 18:52:44.276, 28 %, 5088 MiB, 97.71 W, 2917 MHz, 53
2026/09/13 18:52:44.526, 28 %, 8704 MiB, 97.71 W, 2917 MHz, 53
2026/09/13 18:52:44.776, 38 %, 10304 MiB, 103.38 W, 2910 MHz, 53
2026/09/13 18:52:45.027, 38 %, 10304 MiB, 103.38 W, 2910 MHz, 53
2026/09/13 18:52:45.277, 99 %, 10304 MiB, 183.96 W, 2902 MHz, 59
2026/09/13 18:52:45.527, 99 %, 10304 MiB, 183.96 W, 2902 MHz, 59
2026/09/13 18:52:45.777, 95 %, 10592 MiB, 343.68 W, 2902 MHz, 60
2026/09/13 18:52:46.027, 95 %, 10592 MiB, 343.68 W, 2902 MHz, 60
2026/09/13 18:52:46.277, 95 %, 10592 MiB, 419.09 W, 2887 MHz, 63
2026/09/13 18:52:46.527, 95 %, 10589 MiB, 419.09 W, 2887 MHz, 63
2026/09/13 18:52:46.778, 18 %, 108 MiB, 304.19 W, 2910 MHz, 54
2026/09/13 18:52:47.028, 18 %, 544 MiB, 304.19 W, 2910 MHz, 54
2026/09/13 18:52:47.278, 0 %, 1408 MiB, 131.85 W, 2910 MHz, 53
2026/09/13 18:52:47.528, 0 %, 3936 MiB, 131.85 W, 2910 MHz, 53
2026/09/13 18:52:47.778, 26 %, 6368 MiB, 98.15 W, 2910 MHz, 52
2026/09/13 18:52:48.028, 26 %, 10304 MiB, 98.15 W, 2910 MHz, 52
2026/09/13 18:52:48.279, 4 %, 10304 MiB, 103.92 W, 2910 MHz, 52
2026/09/13 18:52:48.529, 4 %, 10304 MiB, 103.92 W, 2910 MHz, 52
2026/09/13 18:52:48.779, 99 %, 10304 MiB, 222.04 W, 2902 MHz, 60
2026/09/13 18:52:49.029, 99 %, 10304 MiB, 222.04 W, 2902 MHz, 60
2026/09/13 18:52:49.279, 97 %, 10304 MiB, 387.27 W, 2895 MHz, 62
2026/09/13 18:52:49.529, 97 %, 10304 MiB, 387.27 W, 2895 MHz, 62
2026/09/13 18:52:49.779, 21 %, 10304 MiB, 410.93 W, 2887 MHz, 56
2026/09/13 18:52:50.030, 21 %, 4 MiB, 410.93 W, 2887 MHz, 56
2026/09/13 18:52:50.280, 1 %, 544 MiB, 269.56 W, 2910 MHz, 53
2026/09/13 18:52:50.530, 1 %, 544 MiB, 269.56 W, 2910 MHz, 53
2026/09/13 18:52:50.780, 41 %, 3296 MiB, 106.89 W, 2910 MHz, 53
2026/09/13 18:52:51.031, 41 %, 5760 MiB, 106.89 W, 2910 MHz, 53
2026/09/13 18:52:51.281, 25 %, 10304 MiB, 94.77 W, 2910 MHz, 53
2026/09/13 18:52:51.531, 25 %, 10304 MiB, 94.77 W, 2910 MHz, 53
2026/09/13 18:52:51.781, 98 %, 10304 MiB, 134.87 W, 2910 MHz, 58
2026/09/13 18:52:52.031, 98 %, 10304 MiB, 134.87 W, 2910 MHz, 58
2026/09/13 18:52:52.281, 99 %, 10304 MiB, 296.04 W, 2902 MHz, 60
2026/09/13 18:52:52.531, 99 %, 10304 MiB, 296.04 W, 2902 MHz, 60
2026/09/13 18:52:52.782, 97 %, 10304 MiB, 421.26 W, 2887 MHz, 63
2026/09/13 18:52:53.032, 97 %, 10304 MiB, 421.26 W, 2887 MHz, 63
2026/09/13 18:52:53.282, 0 %, 2 MiB, 361.00 W, 2902 MHz, 54
2026/09/13 18:52:53.532, 0 %, 544 MiB, 361.00 W, 2902 MHz, 54
2026/09/13 18:52:53.782, 0 %, 544 MiB, 213.93 W, 2910 MHz, 53
2026/09/13 18:52:54.032, 0 %, 2560 MiB, 213.93 W, 2910 MHz, 53
2026/09/13 18:52:54.283, 27 %, 5056 MiB, 97.95 W, 2917 MHz, 53
2026/09/13 18:52:54.533, 27 %, 8608 MiB, 97.95 W, 2917 MHz, 53
2026/09/13 18:52:54.783, 45 %, 10304 MiB, 103.07 W, 2917 MHz, 53
2026/09/13 18:52:55.033, 45 %, 10304 MiB, 103.07 W, 2917 MHz, 53
2026/09/13 18:52:55.283, 99 %, 10304 MiB, 188.43 W, 2902 MHz, 59
2026/09/13 18:52:55.533, 99 %, 10304 MiB, 188.43 W, 2902 MHz, 59
2026/09/13 18:52:55.783, 97 %, 10592 MiB, 340.96 W, 2902 MHz, 60
2026/09/13 18:52:56.033, 97 %, 10592 MiB, 340.96 W, 2902 MHz, 60
2026/09/13 18:52:56.284, 92 %, 10592 MiB, 420.20 W, 2887 MHz, 63
2026/09/13 18:52:56.534, 92 %, 10591 MiB, 420.20 W, 2887 MHz, 63
2026/09/13 18:52:56.784, 18 %, 40 MiB, 311.87 W, 2910 MHz, 54
2026/09/13 18:52:57.034, 18 %, 544 MiB, 311.87 W, 2910 MHz, 54
2026/09/13 18:52:57.284, 0 %, 1344 MiB, 165.39 W, 2910 MHz, 53
2026/09/13 18:52:57.534, 0 %, 3872 MiB, 165.39 W, 2910 MHz, 53
2026/09/13 18:52:57.785, 26 %, 6272 MiB, 95.58 W, 2910 MHz, 53
2026/09/13 18:52:58.035, 26 %, 10304 MiB, 95.58 W, 2910 MHz, 53
2026/09/13 18:52:58.285, 4 %, 10304 MiB, 102.82 W, 2910 MHz, 52
2026/09/13 18:52:58.535, 4 %, 10304 MiB, 102.82 W, 2910 MHz, 52
2026/09/13 18:52:58.785, 99 %, 10304 MiB, 234.06 W, 2902 MHz, 60
2026/09/13 18:52:59.035, 99 %, 10592 MiB, 234.06 W, 2902 MHz, 60
2026/09/13 18:52:59.286, 93 %, 10592 MiB, 382.62 W, 2895 MHz, 62
2026/09/13 18:52:59.536, 93 %, 10592 MiB, 382.62 W, 2895 MHz, 62
2026/09/13 18:52:59.786, 99 %, 10592 MiB, 427.47 W, 2880 MHz, 58
2026/09/13 18:53:00.036, 99 %, 2 MiB, 427.47 W, 2880 MHz, 58
2026/09/13 18:53:00.286, 0 %, 544 MiB, 290.52 W, 2910 MHz, 54
2026/09/13 18:53:00.536, 0 %, 544 MiB, 290.52 W, 2910 MHz, 54
2026/09/13 18:53:00.786, 0 %, 2272 MiB, 135.44 W, 2910 MHz, 53
2026/09/13 18:53:01.037, 0 %, 4768 MiB, 135.44 W, 2910 MHz, 53
2026/09/13 18:53:01.287, 25 %, 7168 MiB, 95.49 W, 2917 MHz, 53
2026/09/13 18:53:01.537, 25 %, 10304 MiB, 95.49 W, 2917 MHz, 53
2026/09/13 18:53:01.787, 4 %, 10304 MiB, 103.19 W, 2857 MHz, 57
2026/09/13 18:53:02.037, 4 %, 10304 MiB, 103.19 W, 2857 MHz, 57
2026/09/13 18:53:02.287, 99 %, 10304 MiB, 247.70 W, 2902 MHz, 60
2026/09/13 18:53:02.538, 99 %, 10304 MiB, 247.70 W, 2902 MHz, 60
2026/09/13 18:53:02.788, 97 %, 10304 MiB, 423.12 W, 2887 MHz, 62
2026/09/13 18:53:03.038, 97 %, 10304 MiB, 423.12 W, 2887 MHz, 62
2026/09/13 18:53:03.288, 0 %, 10304 MiB, 405.07 W, 2887 MHz, 55
2026/09/13 18:53:03.538, 0 %, 21 MiB, 405.07 W, 2887 MHz, 55
2026/09/13 18:53:03.789, 1 %, 544 MiB, 257.97 W, 2910 MHz, 53
2026/09/13 18:53:04.039, 1 %, 1344 MiB, 257.97 W, 2910 MHz, 53
2026/09/13 18:53:04.289, 43 %, 3520 MiB, 97.54 W, 2910 MHz, 53
2026/09/13 18:53:04.539, 43 %, 5824 MiB, 97.54 W, 2910 MHz, 53
2026/09/13 18:53:04.790, 25 %, 10304 MiB, 94.40 W, 2910 MHz, 53
2026/09/13 18:53:05.040, 25 %, 10304 MiB, 94.40 W, 2910 MHz, 53
2026/09/13 18:53:05.290, 98 %, 10304 MiB, 133.43 W, 2902 MHz, 59
2026/09/13 18:53:05.540, 98 %, 10304 MiB, 133.43 W, 2902 MHz, 59
2026/09/13 18:53:05.790, 99 %, 10304 MiB, 298.71 W, 2902 MHz, 60
2026/09/13 18:53:06.040, 99 %, 10304 MiB, 298.71 W, 2902 MHz, 60
2026/09/13 18:53:06.290, 97 %, 10304 MiB, 426.99 W, 2872 MHz, 63
2026/09/13 18:53:06.540, 97 %, 10304 MiB, 426.99 W, 2872 MHz, 63
2026/09/13 18:53:06.791, 0 %, 2 MiB, 379.21 W, 2895 MHz, 55
2026/09/13 18:53:07.058, 0 %, 544 MiB, 379.21 W, 2895 MHz, 55
2026/09/13 18:53:07.308, 0 %, 544 MiB, 229.29 W, 2910 MHz, 53
2026/09/13 18:53:07.558, 0 %, 1856 MiB, 229.29 W, 2910 MHz, 53
2026/09/13 18:53:07.808, 26 %, 4384 MiB, 97.85 W, 2910 MHz, 53
2026/09/13 18:53:08.058, 26 %, 6784 MiB, 97.85 W, 2910 MHz, 53
2026/09/13 18:53:08.308, 45 %, 10304 MiB, 99.05 W, 2910 MHz, 54
2026/09/13 18:53:08.559, 45 %, 10304 MiB, 99.05 W, 2910 MHz, 54
2026/09/13 18:53:08.809, 99 %, 10304 MiB, 154.79 W, 2797 MHz, 59
2026/09/13 18:53:09.059, 99 %, 10304 MiB, 154.79 W, 2797 MHz, 59
2026/09/13 18:53:09.309, 99 %, 10592 MiB, 318.19 W, 2902 MHz, 61
2026/09/13 18:53:09.559, 99 %, 10592 MiB, 318.19 W, 2902 MHz, 61
2026/09/13 18:53:09.809, 86 %, 10592 MiB, 417.61 W, 2887 MHz, 63
2026/09/13 18:53:10.059, 86 %, 10592 MiB, 417.61 W, 2887 MHz, 63
2026/09/13 18:53:10.310, 0 %, 2 MiB, 356.89 W, 2902 MHz, 55
2026/09/13 18:53:10.560, 0 %, 544 MiB, 356.89 W, 2902 MHz, 55
2026/09/13 18:53:10.810, 0 %, 544 MiB, 213.58 W, 2910 MHz, 53
2026/09/13 18:53:11.060, 0 %, 2336 MiB, 213.58 W, 2910 MHz, 53
2026/09/13 18:53:11.310, 26 %, 4832 MiB, 98.60 W, 2910 MHz, 53
2026/09/13 18:53:11.561, 26 %, 8000 MiB, 98.60 W, 2910 MHz, 53
2026/09/13 18:53:11.811, 70 %, 10304 MiB, 103.24 W, 2910 MHz, 53
2026/09/13 18:53:12.061, 70 %, 10304 MiB, 103.24 W, 2910 MHz, 53
2026/09/13 18:53:12.311, 99 %, 10304 MiB, 171.59 W, 2895 MHz, 60
2026/09/13 18:53:12.561, 99 %, 10304 MiB, 171.59 W, 2895 MHz, 60
2026/09/13 18:53:12.811, 99 %, 10592 MiB, 331.90 W, 2902 MHz, 60
2026/09/13 18:53:13.061, 99 %, 10592 MiB, 331.90 W, 2902 MHz, 60
2026/09/13 18:53:13.311, 92 %, 10592 MiB, 421.49 W, 2880 MHz, 62
2026/09/13 18:53:13.562, 92 %, 10592 MiB, 421.49 W, 2880 MHz, 62
2026/09/13 18:53:13.812, 0 %, 2 MiB, 357.79 W, 2902 MHz, 55
2026/09/13 18:53:14.062, 0 %, 544 MiB, 357.79 W, 2902 MHz, 55
2026/09/13 18:53:14.312, 0 %, 544 MiB, 212.51 W, 2910 MHz, 53
2026/09/13 18:53:14.562, 0 %, 2688 MiB, 212.51 W, 2910 MHz, 53
2026/09/13 18:53:14.812, 27 %, 5216 MiB, 97.46 W, 2910 MHz, 53
2026/09/13 18:53:15.063, 27 %, 9344 MiB, 97.46 W, 2910 MHz, 53
2026/09/13 18:53:15.313, 59 %, 10304 MiB, 103.93 W, 2910 MHz, 53
2026/09/13 18:53:15.563, 59 %, 10304 MiB, 103.93 W, 2910 MHz, 53
2026/09/13 18:53:15.813, 99 %, 10304 MiB, 190.03 W, 2895 MHz, 60
