timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:54:09.327, 1, 0 %, 2804 MiB, 60.00 W, 2610 MHz
2026/09/22 23:54:09.577, 0, 0 %, 17076 MiB, 67.36 W, 2610 MHz
2026/09/22 23:54:09.577, 1, 0 %, 2804 MiB, 60.00 W, 2610 MHz
2026/09/22 23:54:09.827, 0, 0 %, 17076 MiB, 64.84 W, 2617 MHz
2026/09/22 23:54:09.827, 1, 0 %, 2804 MiB, 59.88 W, 2610 MHz
2026/09/22 23:54:10.077, 0, 0 %, 17108 MiB, 64.84 W, 2617 MHz
2026/09/22 23:54:10.077, 1, 0 %, 2804 MiB, 59.88 W, 2610 MHz
2026/09/22 23:54:10.327, 0, 0 %, 17108 MiB, 64.83 W, 2610 MHz
2026/09/22 23:54:10.327, 1, 0 %, 2804 MiB, 60.01 W, 2610 MHz
2026/09/22 23:54:10.577, 0, 0 %, 17108 MiB, 64.83 W, 2610 MHz
2026/09/22 23:54:10.578, 1, 0 %, 2804 MiB, 60.01 W, 2610 MHz
2026/09/22 23:54:10.828, 0, 0 %, 17172 MiB, 64.88 W, 2610 MHz
2026/09/22 23:54:10.828, 1, 0 %, 2804 MiB, 60.10 W, 2610 MHz
2026/09/22 23:54:11.078, 0, 0 %, 17172 MiB, 64.88 W, 2610 MHz
2026/09/22 23:54:11.078, 1, 0 %, 2804 MiB, 60.10 W, 2610 MHz
2026/09/22 23:54:11.328, 0, 0 %, 20628 MiB, 64.97 W, 2617 MHz
2026/09/22 23:54:11.328, 1, 0 %, 2804 MiB, 60.08 W, 2610 MHz
2026/09/22 23:54:11.578, 0, 0 %, 20660 MiB, 64.97 W, 2617 MHz
2026/09/22 23:54:11.578, 1, 0 %, 2804 MiB, 60.08 W, 2610 MHz
2026/09/22 23:54:11.828, 0, 0 %, 20692 MiB, 67.61 W, 2610 MHz
2026/09/22 23:54:11.829, 1, 0 %, 2804 MiB, 59.93 W, 2610 MHz
2026/09/22 23:54:12.079, 0, 0 %, 20692 MiB, 67.61 W, 2610 MHz
2026/09/22 23:54:12.079, 1, 0 %, 2804 MiB, 59.93 W, 2610 MHz
2026/09/22 23:54:12.329, 0, 0 %, 20692 MiB, 67.86 W, 2610 MHz
2026/09/22 23:54:12.329, 1, 0 %, 2804 MiB, 59.98 W, 2610 MHz
2026/09/22 23:54:12.579, 0, 0 %, 20724 MiB, 67.86 W, 2610 MHz
2026/09/22 23:54:12.579, 1, 0 %, 2804 MiB, 59.98 W, 2610 MHz
2026/09/22 23:54:12.829, 0, 0 %, 20724 MiB, 65.54 W, 2617 MHz
2026/09/22 23:54:12.829, 1, 0 %, 2804 MiB, 60.17 W, 2610 MHz
2026/09/22 23:54:13.079, 0, 0 %, 20724 MiB, 65.54 W, 2617 MHz
2026/09/22 23:54:13.079, 1, 0 %, 2804 MiB, 60.17 W, 2610 MHz
2026/09/22 23:54:13.330, 0, 0 %, 20756 MiB, 65.31 W, 2610 MHz
2026/09/22 23:54:13.330, 1, 0 %, 2804 MiB, 60.24 W, 2610 MHz
2026/09/22 23:54:13.580, 0, 0 %, 20756 MiB, 65.31 W, 2610 MHz
2026/09/22 23:54:13.580, 1, 0 %, 2804 MiB, 60.24 W, 2610 MHz
2026/09/22 23:54:13.830, 0, 0 %, 20788 MiB, 65.24 W, 2610 MHz
2026/09/22 23:54:13.830, 1, 0 %, 2804 MiB, 60.13 W, 2610 MHz
2026/09/22 23:54:14.080, 0, 0 %, 20788 MiB, 65.24 W, 2610 MHz
2026/09/22 23:54:14.080, 1, 0 %, 2804 MiB, 60.13 W, 2610 MHz
2026/09/22 23:54:14.330, 0, 0 %, 23892 MiB, 65.18 W, 2617 MHz
2026/09/22 23:54:14.330, 1, 0 %, 2804 MiB, 59.93 W, 2610 MHz
2026/09/22 23:54:14.581, 0, 0 %, 24276 MiB, 65.18 W, 2617 MHz
