timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/04 19:14:38.961, 430.51 W, 2842 MHz, 47, 100 %, 17428 MiB
2026/08/04 19:14:39.961, 429.88 W, 2842 MHz, 47, 100 %, 17428 MiB
2026/08/04 19:14:40.962, 438.51 W, 2760 MHz, 49, 99 %, 17748 MiB
2026/08/04 19:14:41.962, 427.32 W, 2850 MHz, 48, 100 %, 17748 MiB
2026/08/04 19:14:42.964, 422.10 W, 2850 MHz, 48, 100 %, 17748 MiB
2026/08/04 19:14:43.964, 420.94 W, 2850 MHz, 48, 100 %, 17748 MiB
2026/08/04 19:14:44.964, 423.10 W, 2842 MHz, 48, 100 %, 17748 MiB
2026/08/04 19:14:45.964, 441.30 W, 2835 MHz, 50, 100 %, 18068 MiB
2026/08/04 19:14:46.965, 474.13 W, 2835 MHz, 50, 100 %, 18068 MiB
2026/08/04 19:14:47.965, 472.77 W, 2835 MHz, 51, 100 %, 18068 MiB
2026/08/04 19:14:48.965, 475.35 W, 2835 MHz, 51, 100 %, 18068 MiB
2026/08/04 19:14:49.965, 472.93 W, 2842 MHz, 51, 100 %, 18068 MiB
2026/08/04 19:14:50.965, 474.14 W, 2842 MHz, 51, 100 %, 18068 MiB
2026/08/04 19:14:51.965, 476.07 W, 2835 MHz, 51, 100 %, 18068 MiB
2026/08/04 19:14:52.965, 474.47 W, 2835 MHz, 52, 100 %, 18068 MiB
2026/08/04 19:14:53.965, 477.40 W, 2842 MHz, 52, 100 %, 18068 MiB
2026/08/04 19:14:54.965, 475.19 W, 2835 MHz, 52, 100 %, 18068 MiB
2026/08/04 19:14:55.966, 478.07 W, 2842 MHz, 52, 98 %, 18068 MiB
2026/08/04 19:14:56.966, 475.86 W, 2842 MHz, 53, 100 %, 18068 MiB
2026/08/04 19:14:57.966, 475.94 W, 2842 MHz, 53, 100 %, 18068 MiB
2026/08/04 19:14:58.966, 478.19 W, 2842 MHz, 53, 100 %, 18068 MiB
2026/08/04 19:14:59.966, 464.17 W, 2827 MHz, 54, 99 %, 19124 MiB
2026/08/04 19:15:00.966, 531.55 W, 2805 MHz, 55, 100 %, 19124 MiB
2026/08/04 19:15:01.966, 531.22 W, 2805 MHz, 56, 100 %, 19124 MiB
2026/08/04 19:15:02.966, 537.23 W, 2812 MHz, 56, 100 %, 19124 MiB
2026/08/04 19:15:03.967, 534.23 W, 2812 MHz, 56, 100 %, 19143 MiB
2026/08/04 19:15:04.967, 539.01 W, 2812 MHz, 57, 100 %, 19124 MiB
2026/08/04 19:15:05.967, 483.11 W, 2805 MHz, 56, 100 %, 19124 MiB
2026/08/04 19:15:06.968, 537.28 W, 2812 MHz, 57, 100 %, 19124 MiB
2026/08/04 19:15:07.968, 534.71 W, 2812 MHz, 57, 100 %, 19124 MiB
2026/08/04 19:15:08.968, 540.26 W, 2812 MHz, 57, 100 %, 19124 MiB
2026/08/04 19:15:09.968, 539.37 W, 2812 MHz, 58, 100 %, 19124 MiB
2026/08/04 19:15:10.968, 543.69 W, 2812 MHz, 58, 100 %, 19124 MiB
2026/08/04 19:15:11.969, 538.32 W, 2812 MHz, 58, 100 %, 19124 MiB
2026/08/04 19:15:12.969, 539.55 W, 2812 MHz, 58, 95 %, 19156 MiB
2026/08/04 19:15:13.969, 541.48 W, 2812 MHz, 59, 100 %, 19156 MiB
2026/08/04 19:15:14.969, 490.12 W, 2842 MHz, 56, 96 %, 21268 MiB
2026/08/04 19:15:15.969, 521.35 W, 2797 MHz, 59, 100 %, 21268 MiB
2026/08/04 19:15:16.969, 532.32 W, 2797 MHz, 59, 99 %, 21268 MiB
2026/08/04 19:15:17.969, 525.61 W, 2797 MHz, 59, 100 %, 21268 MiB
2026/08/04 19:15:18.969, 534.03 W, 2797 MHz, 59, 100 %, 21268 MiB
2026/08/04 19:15:19.970, 527.24 W, 2805 MHz, 59, 100 %, 21268 MiB
2026/08/04 19:15:20.970, 535.67 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:21.970, 533.19 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:22.970, 529.03 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:23.970, 533.92 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:24.970, 530.00 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:25.971, 536.21 W, 2797 MHz, 60, 100 %, 21300 MiB
2026/08/04 19:15:26.971, 534.27 W, 2797 MHz, 60, 99 %, 21300 MiB
2026/08/04 19:15:27.971, 531.01 W, 2797 MHz, 61, 100 %, 21300 MiB
2026/08/04 19:15:28.971, 536.97 W, 2797 MHz, 61, 100 %, 21300 MiB
2026/08/04 19:15:29.971, 533.03 W, 2797 MHz, 61, 100 %, 21300 MiB
2026/08/04 19:15:30.971, 537.46 W, 2797 MHz, 61, 98 %, 21300 MiB
2026/08/04 19:15:31.971, 529.51 W, 2797 MHz, 59, 89 %, 21300 MiB
2026/08/04 19:15:32.971, 532.89 W, 2797 MHz, 61, 100 %, 21300 MiB
2026/08/04 19:15:33.971, 537.04 W, 2797 MHz, 61, 100 %, 21300 MiB
2026/08/04 19:15:34.972, 483.08 W, 2790 MHz, 61, 100 %, 25556 MiB
2026/08/04 19:15:35.972, 536.57 W, 2797 MHz, 61, 100 %, 25556 MiB
2026/08/04 19:15:36.972, 537.76 W, 2797 MHz, 61, 100 %, 25556 MiB
2026/08/04 19:15:37.972, 537.53 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:38.972, 537.52 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:39.972, 524.02 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:40.972, 537.67 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:41.973, 538.37 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:42.973, 538.10 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:43.973, 538.73 W, 2797 MHz, 62, 99 %, 25556 MiB
2026/08/04 19:15:44.973, 526.75 W, 2790 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:45.973, 540.48 W, 2797 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:15:46.973, 540.59 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:47.973, 539.20 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:48.974, 540.03 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:49.974, 528.86 W, 2790 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:50.974, 540.60 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:51.974, 540.89 W, 2797 MHz, 63, 98 %, 25556 MiB
2026/08/04 19:15:52.974, 539.32 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:53.974, 527.14 W, 2797 MHz, 62, 74 %, 25556 MiB
2026/08/04 19:15:54.974, 540.44 W, 2790 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:55.974, 542.81 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:56.974, 540.86 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:57.975, 540.69 W, 2797 MHz, 63, 99 %, 25556 MiB
2026/08/04 19:15:58.975, 528.97 W, 2805 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:15:59.975, 541.04 W, 2782 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:16:00.975, 542.17 W, 2782 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:16:01.975, 464.81 W, 2835 MHz, 62, 100 %, 25556 MiB
2026/08/04 19:16:03.063, 539.12 W, 2782 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:16:04.063, 527.98 W, 2797 MHz, 63, 100 %, 25556 MiB
2026/08/04 19:16:05.063, 541.57 W, 2797 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:06.063, 543.75 W, 2797 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:07.063, 542.12 W, 2797 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:08.063, 542.59 W, 2797 MHz, 64, 99 %, 25556 MiB
2026/08/04 19:16:09.063, 530.87 W, 2782 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:10.064, 541.50 W, 2790 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:11.064, 541.11 W, 2782 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:12.064, 541.09 W, 2782 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:13.064, 541.33 W, 2782 MHz, 64, 100 %, 25556 MiB
2026/08/04 19:16:14.064, 463.47 W, 2812 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:15.064, 540.68 W, 2790 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:16.064, 542.80 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:17.064, 542.41 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:18.064, 542.15 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:19.065, 542.20 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:20.065, 541.57 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:21.065, 542.86 W, 2782 MHz, 64, 99 %, 34068 MiB
2026/08/04 19:16:22.065, 542.72 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:23.065, 542.86 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:24.065, 517.13 W, 2782 MHz, 64, 100 %, 34068 MiB
2026/08/04 19:16:25.065, 542.24 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:26.066, 542.76 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:27.066, 544.04 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:28.066, 543.75 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:29.066, 544.00 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:30.067, 541.48 W, 2782 MHz, 65, 99 %, 34068 MiB
2026/08/04 19:16:31.067, 543.10 W, 2790 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:32.067, 542.98 W, 2790 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:33.067, 541.93 W, 2782 MHz, 62, 98 %, 34068 MiB
2026/08/04 19:16:34.067, 519.13 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:35.068, 543.87 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:36.068, 544.22 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:37.068, 544.26 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:38.068, 543.17 W, 2782 MHz, 65, 99 %, 34068 MiB
2026/08/04 19:16:39.068, 542.15 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:40.069, 543.47 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:41.069, 543.30 W, 2782 MHz, 65, 99 %, 34068 MiB
2026/08/04 19:16:42.069, 543.70 W, 2782 MHz, 65, 99 %, 34068 MiB
2026/08/04 19:16:43.069, 521.34 W, 2805 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:44.069, 544.97 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:45.069, 546.94 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:46.070, 547.52 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:47.070, 547.65 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:48.070, 546.34 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:49.070, 545.41 W, 2782 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:50.070, 546.42 W, 2782 MHz, 66, 99 %, 34068 MiB
2026/08/04 19:16:51.071, 546.18 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:52.071, 544.94 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:53.071, 522.71 W, 2775 MHz, 65, 100 %, 34068 MiB
2026/08/04 19:16:54.071, 546.28 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:55.071, 548.23 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:56.071, 547.03 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:57.071, 548.04 W, 2782 MHz, 66, 100 %, 34068 MiB
2026/08/04 19:16:58.071, 547.53 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:16:59.072, 546.57 W, 2782 MHz, 66, 99 %, 34100 MiB
2026/08/04 19:17:00.072, 547.49 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:01.072, 546.94 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:02.072, 523.23 W, 2782 MHz, 64, 93 %, 34100 MiB
2026/08/04 19:17:03.072, 523.85 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:04.072, 546.76 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:05.072, 547.25 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:06.073, 546.84 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:07.073, 546.27 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:08.073, 545.61 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:09.073, 546.66 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:10.074, 546.42 W, 2782 MHz, 66, 99 %, 34100 MiB
2026/08/04 19:17:11.074, 546.13 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:12.074, 522.45 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:13.074, 543.71 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:14.074, 545.44 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:15.075, 545.74 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:16.075, 544.95 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:17.075, 545.70 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:18.075, 544.19 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:19.075, 545.03 W, 2782 MHz, 66, 99 %, 34100 MiB
2026/08/04 19:17:20.076, 544.97 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:21.076, 544.95 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:22.076, 517.59 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:23.076, 545.66 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:24.076, 545.86 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:25.077, 546.36 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:26.077, 546.32 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:27.077, 546.37 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:28.077, 546.06 W, 2782 MHz, 66, 99 %, 34100 MiB
2026/08/04 19:17:29.077, 545.06 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:30.078, 545.23 W, 2782 MHz, 66, 99 %, 34100 MiB
2026/08/04 19:17:31.078, 512.79 W, 2782 MHz, 63, 44 %, 34100 MiB
2026/08/04 19:17:32.078, 485.68 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:33.078, 494.95 W, 2812 MHz, 64, 97 %, 34100 MiB
2026/08/04 19:17:34.078, 496.79 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:35.079, 494.45 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:36.079, 496.62 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:37.079, 494.77 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:38.079, 496.02 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:39.079, 493.86 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:40.080, 492.45 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:41.080, 495.22 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:42.080, 492.84 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:43.080, 495.62 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:44.080, 492.95 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:17:45.081, 487.46 W, 2812 MHz, 61, 100 %, 34100 MiB
2026/08/04 19:17:46.081, 510.10 W, 2797 MHz, 65, 100 %, 34100 MiB
2026/08/04 19:17:47.081, 553.86 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:48.081, 545.31 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:49.081, 549.69 W, 2797 MHz, 63, 100 %, 34100 MiB
2026/08/04 19:17:50.082, 504.18 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:51.082, 551.49 W, 2797 MHz, 65, 100 %, 34100 MiB
2026/08/04 19:17:52.082, 550.22 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:53.082, 554.19 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:54.130, 557.07 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:55.130, 553.36 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:56.130, 558.30 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:57.130, 553.05 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:17:58.130, 552.97 W, 2797 MHz, 66, 95 %, 34100 MiB
2026/08/04 19:17:59.131, 552.49 W, 2797 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:00.131, 507.76 W, 2812 MHz, 64, 100 %, 34100 MiB
2026/08/04 19:18:01.131, 530.49 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:02.131, 547.36 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:03.132, 539.56 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:04.132, 546.08 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:05.132, 539.51 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:06.132, 547.81 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:07.133, 547.47 W, 2782 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:08.133, 542.27 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:09.133, 547.96 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:10.133, 542.35 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:11.133, 548.42 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:12.134, 546.63 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:13.134, 541.45 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:14.134, 545.92 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:15.134, 541.65 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:16.134, 548.91 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:17.134, 546.44 W, 2782 MHz, 67, 98 %, 34100 MiB
2026/08/04 19:18:18.134, 543.63 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:19.135, 547.77 W, 2790 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:20.135, 493.23 W, 2812 MHz, 66, 100 %, 34100 MiB
2026/08/04 19:18:21.135, 545.55 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:22.135, 547.07 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:23.135, 546.79 W, 2790 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:24.136, 545.93 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:25.136, 534.68 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:26.136, 547.83 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:27.136, 548.40 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:28.137, 547.47 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:29.137, 548.67 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:30.137, 536.60 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:31.137, 549.22 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:32.137, 548.53 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:33.138, 547.39 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:34.138, 548.47 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:35.138, 535.95 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:36.138, 549.20 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:37.138, 548.99 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:38.139, 547.91 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:39.139, 547.37 W, 2782 MHz, 66, 97 %, 34100 MiB
2026/08/04 19:18:40.139, 535.70 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:41.139, 549.06 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:42.139, 547.41 W, 2782 MHz, 67, 98 %, 34100 MiB
2026/08/04 19:18:43.140, 547.37 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:44.140, 537.19 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:45.140, 546.79 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:46.140, 548.10 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:47.140, 546.83 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:48.141, 547.32 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:49.141, 536.31 W, 2790 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:50.145, 546.95 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:51.145, 547.73 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:52.145, 546.64 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:53.145, 547.61 W, 2782 MHz, 67, 99 %, 34100 MiB
2026/08/04 19:18:54.145, 535.55 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:55.146, 546.97 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:56.146, 547.67 W, 2782 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:57.146, 546.14 W, 2790 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:58.146, 546.01 W, 2790 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:18:59.146, 479.11 W, 2805 MHz, 67, 100 %, 34100 MiB
2026/08/04 19:19:00.146, 546.59 W, 2782 MHz, 67, 100 %, 34100 MiB
