[server] starting; models config = [("step35", "/workspace/models/step-3.7-flash/IQ4_XS/Step-3.7-flash-IQ4_XS-00001-of-00003.gguf", Some("/workspace/models/step-3.7-flash/Step3.7-flash-mtp-Q8_0.gguf"))]
[gpu-watch] Xid source: journalctl -k -f (/dev/kmsg unreadable — kernel.dmesg_restrict)
[gpu-watch] on: every 60s, probe deadline 10s, fatal Xid [48, 64, 79, 94, 95, 119, 120]
[worker] Engine ready (device=1, MEMRA_FAST=true)
[spec-gate] policy disabled by MEMRA_SPEC_GATE=0: always-spec
[spec-k] automatic table: prompt<1024 -> K=3; cold-long -> K=3; prompt>= 1024 and cached>= 1024 -> K=2
[worker] loading model "step35" <- /workspace/models/step-3.7-flash/IQ4_XS/Step-3.7-flash-IQ4_XS-00001-of-00003.gguf
[pp] cross-device transport: stage0=dev0 stage1=dev1 (cudaMemcpyPeerAsync per cross boundary; peer + default-pool access granted all pairs over [0, 1]; weight home: per-stage (sharded loader))
[moe] resident-experts decision (PP dev0): experts 45.72GB + trunk 3.92GB vs free 100.88GB (expert budget 94.97GB) -> RESIDENT
[moe] resident-experts decision (PP dev1): experts 55.35GB + trunk 3.92GB vs free 100.72GB (expert budget 94.81GB) -> RESIDENT
[fa] v4 decode family disabled: gqa 12 > fa_v4_smem capacity 8 (v3 lane serves)
[mtp-draft] step35 MTP geometry blk.45: n_head=96 n_head_kv=8 n_rot=128 rope_base=10000 swa=true window=512
[mtp-draft] external draft head: blk.45, source=nextn.shared_head_head.weight, head_vocab=128896 (full)
[worker] step35: regime draft attached (/workspace/models/step-3.7-flash/Step3.7-flash-mtp-Q8_0.gguf)
[worker]   loaded "step35": 45 layers, eos=128007
[worker] step35: template caps tools=true think=true think_switch=false chat_ok=true effort_levels=true gemma_think=false ctx=262144 tok="deepseek-v3" instruct=Some("chatml") chat_defaults=Some(0.5)/Some(0.9)
[worker] step35: decode chunk cap 8
[server] worker ready; serving models: ["step35"]
[server] listening on http://127.0.0.1:18209
[spec-acc] ctx=1221 burst=19/36 cum=512/1038=0.493
[spec-acc] ctx=1253 burst=18/39 cum=530/1077=0.492
[spec-acc] ctx=1285 burst=18/39 cum=548/1116=0.491
[spec-acc] ctx=1317 burst=18/39 cum=566/1155=0.490
[spec-acc] ctx=1349 burst=21/39 cum=587/1194=0.492
[spec-acc] ctx=1384 burst=18/39 cum=605/1233=0.491
[spec-acc] ctx=1416 burst=20/36 cum=625/1269=0.493
[spec-acc] ctx=1449 burst=19/39 cum=644/1308=0.492
[spec-acc] ctx=1482 burst=17/42 cum=661/1350=0.490
[spec-acc] ctx=1514 burst=20/36 cum=681/1386=0.491
[spec-acc] ctx=1547 burst=20/33 cum=701/1419=0.494
[spec-acc] ctx=1579 burst=16/45 cum=717/1464=0.490
[spec-acc] ctx=1611 burst=17/42 cum=734/1506=0.487
[spec-acc] ctx=1643 burst=19/36 cum=753/1542=0.488
[spec-acc] ctx=1675 burst=19/39 cum=772/1581=0.488
[spec-acc] ctx=1708 burst=17/45 cum=789/1626=0.485
[spec-acc] ctx=1741 burst=21/36 cum=810/1662=0.487
[spec-acc] ctx=1775 burst=16/45 cum=826/1707=0.484
[spec-acc] ctx=1807 burst=17/48 cum=843/1755=0.480
[spec-acc] ctx=1841 burst=17/48 cum=860/1803=0.477
[spec-acc] ctx=1875 burst=18/39 cum=878/1842=0.477
[spec-acc] ctx=1907 burst=20/33 cum=898/1875=0.479
[spec-acc] ctx=1939 burst=19/39 cum=917/1914=0.479
[spec-acc] ctx=1972 burst=20/39 cum=937/1953=0.480
[spec-acc] ctx=2006 burst=19/39 cum=956/1992=0.480
[spec-acc] ctx=2039 burst=20/39 cum=976/2031=0.481
[spec-acc] ctx=2073 burst=22/36 cum=998/2067=0.483
[spec-acc] ctx=2108 burst=19/42 cum=1017/2109=0.482
[spec-acc] ctx=2142 burst=21/36 cum=1038/2145=0.484
[spec-acc] ctx=2176 burst=21/36 cum=1059/2181=0.486
[spec-acc] ctx=2210 burst=20/42 cum=1079/2223=0.485
[spec-acc] ctx=2245 burst=19/45 cum=1098/2268=0.484
[spec-acc] ctx=2280 burst=20/39 cum=1118/2307=0.485
[spec-acc] ctx=2314 burst=16/51 cum=1134/2358=0.481
[spec-acc] ctx=2348 burst=19/39 cum=1153/2397=0.481
[spec-acc] ctx=2381 burst=18/39 cum=1171/2436=0.481
[spec-acc] ctx=2413 burst=20/36 cum=1191/2472=0.482
[spec-acc] ctx=2446 burst=20/36 cum=1211/2508=0.483
[spec-acc] ctx=2479 burst=22/33 cum=1233/2541=0.485
[spec-acc] ctx=2513 burst=21/30 cum=1254/2571=0.488
[spec-acc] ctx=2545 burst=21/39 cum=1275/2610=0.489
[spec-acc] ctx=2580 burst=21/33 cum=1296/2643=0.490
[spec-acc] ctx=2613 burst=22/33 cum=1318/2676=0.493
[spec-acc] ctx=2647 burst=21/30 cum=1339/2706=0.495
[spec-acc] ctx=2679 burst=21/30 cum=1360/2736=0.497
[spec-acc] ctx=2711 burst=21/33 cum=1381/2769=0.499
[spec-acc] ctx=2744 burst=21/33 cum=1402/2802=0.500
[spec-acc] ctx=2777 burst=15/51 cum=1417/2853=0.497
[spec-acc] ctx=2810 burst=19/36 cum=1436/2889=0.497
[spec-acc] ctx=2842 burst=20/33 cum=1456/2922=0.498
[spec-acc] ctx=2874 burst=19/36 cum=1475/2958=0.499
[spec-acc] ctx=2906 burst=20/36 cum=1495/2994=0.499
[spec-acc] ctx=2939 burst=22/33 cum=1517/3027=0.501
[spec-acc] ctx=2973 burst=21/33 cum=1538/3060=0.503
[spec-acc] ctx=3006 burst=20/33 cum=1558/3093=0.504
[spec-acc] ctx=3038 burst=21/33 cum=1579/3126=0.505
[spec-acc] ctx=3071 burst=22/33 cum=1601/3159=0.507
[spec-acc] ctx=3105 burst=23/30 cum=1624/3189=0.509
[spec-acc] ctx=3139 burst=22/30 cum=1646/3219=0.511
[spec-acc] ctx=3172 burst=18/45 cum=1664/3264=0.510
[spec-acc] ctx=3206 burst=16/45 cum=1680/3309=0.508
[spec-acc] ctx=3238 burst=18/42 cum=1698/3351=0.507
[spec-acc] ctx=3271 burst=19/42 cum=1717/3393=0.506
[spec-acc] ctx=3305 burst=20/39 cum=1737/3432=0.506
[spec-acc] ctx=3339 burst=21/30 cum=1758/3462=0.508
[spec-acc] ctx=3371 burst=21/33 cum=1779/3495=0.509
[spec-acc] ctx=3404 burst=20/36 cum=1799/3531=0.509
[spec-acc] ctx=3437 burst=22/30 cum=1821/3561=0.511
[spec-acc] ctx=3470 burst=21/33 cum=1842/3594=0.513
[spec-acc] ctx=3503 burst=22/30 cum=1864/3624=0.514
[spec-acc] ctx=3536 burst=23/33 cum=1887/3657=0.516
[spec-acc] ctx=3571 burst=21/30 cum=1908/3687=0.517
[spec-acc] ctx=3603 burst=15/48 cum=1923/3735=0.515
[spec-acc] ctx=3635 burst=18/42 cum=1941/3777=0.514
[spec-acc] ctx=3668 burst=20/33 cum=1961/3810=0.515
[spec-acc] ctx=3700 burst=20/39 cum=1981/3849=0.515
[spec-acc] ctx=3734 burst=20/33 cum=2001/3882=0.515
[spec-acc] ctx=3766 burst=21/33 cum=2022/3915=0.516
[spec-acc] ctx=3799 burst=21/30 cum=2043/3945=0.518
[spec-acc] ctx=3831 burst=22/33 cum=2065/3978=0.519
[spec-acc] ctx=3865 burst=22/27 cum=2087/4005=0.521
[spec-acc] ctx=3897 burst=22/27 cum=2109/4032=0.523
[spec-acc] ctx=3929 burst=21/30 cum=2130/4062=0.524
[spec-acc] ctx=3961 burst=22/27 cum=2152/4089=0.526
[spec-acc] ctx=3993 burst=19/36 cum=2171/4125=0.526
[spec-acc] ctx=4025 burst=22/33 cum=2193/4158=0.527
[spec-acc] ctx=4059 burst=17/45 cum=2210/4203=0.526
[spec-acc] ctx=4092 burst=20/39 cum=2230/4242=0.526
[spec-acc] ctx=4126 burst=22/33 cum=2252/4275=0.527
[spec-acc] ctx=4160 burst=19/36 cum=2271/4311=0.527
[spec-acc] ctx=4192 burst=20/36 cum=2291/4347=0.527
[spec-acc] ctx=4225 burst=18/39 cum=2309/4386=0.526
[spec-acc] ctx=4257 burst=21/33 cum=2330/4419=0.527
[spec-acc] ctx=4290 burst=20/33 cum=2350/4452=0.528
[spec-acc] ctx=4322 burst=21/30 cum=2371/4482=0.529
[spec-acc] ctx=4354 burst=20/39 cum=2391/4521=0.529
[spec-acc] ctx=4388 burst=18/39 cum=2409/4560=0.528
[spec-acc] ctx=4420 burst=19/39 cum=2428/4599=0.528
[spec-acc] ctx=4453 burst=21/33 cum=2449/4632=0.529
[spec-acc] ctx=4486 burst=21/30 cum=2470/4662=0.530
[spec-acc] ctx=4518 burst=16/45 cum=2486/4707=0.528
[spec-acc] ctx=4550 burst=19/39 cum=2505/4746=0.528
[spec-acc] ctx=4583 burst=21/30 cum=2526/4776=0.529
[spec-acc] ctx=4615 burst=20/33 cum=2546/4809=0.529
[spec-acc] ctx=4647 burst=22/36 cum=2568/4845=0.530
[spec-acc] ctx=4682 burst=23/33 cum=2591/4878=0.531
[spec-acc] ctx=4717 burst=21/30 cum=2612/4908=0.532
[spec-acc] ctx=4749 burst=22/27 cum=2634/4935=0.534
[spec-acc] ctx=4781 burst=19/36 cum=2653/4971=0.534
[spec-acc] ctx=4813 burst=22/30 cum=2675/5001=0.535
[spec-acc] ctx=4846 burst=22/36 cum=2697/5037=0.535
[spec-acc] ctx=4881 burst=22/30 cum=2719/5067=0.537
[spec-acc] ctx=4914 burst=19/36 cum=2738/5103=0.537
[spec-acc] ctx=4946 burst=15/51 cum=2753/5154=0.534
[spec-acc] ctx=4979 burst=23/33 cum=2776/5187=0.535
[spec-acc] ctx=5014 burst=22/33 cum=2798/5220=0.536
[spec-acc] ctx=5048 burst=22/33 cum=2820/5253=0.537
[spec-acc] ctx=5082 burst=20/33 cum=2840/5286=0.537
[spec-acc] ctx=5114 burst=22/33 cum=2862/5319=0.538
[spec-acc] ctx=5148 burst=21/33 cum=2883/5352=0.539
[spec-acc] ctx=5181 burst=21/33 cum=2904/5385=0.539
[spec-acc] ctx=5214 burst=20/33 cum=2924/5418=0.540
[spec-acc] ctx=5246 burst=21/39 cum=2945/5457=0.540
[spec-acc] ctx=5281 burst=23/30 cum=2968/5487=0.541
[spec-acc] ctx=5315 burst=16/45 cum=2984/5532=0.539
[spec-acc] ctx=5347 burst=18/42 cum=3002/5574=0.539
[spec-acc] ctx=5380 burst=22/33 cum=3024/5607=0.539
[spec-acc] ctx=5414 burst=20/36 cum=3044/5643=0.539
[spec-acc] ctx=5447 burst=19/39 cum=3063/5682=0.539
[spec-acc] ctx=5480 burst=21/33 cum=3084/5715=0.540
[spec-acc] ctx=5513 burst=21/33 cum=3105/5748=0.540
[spec-acc] ctx=5546 burst=22/30 cum=3127/5778=0.541
[spec-acc] ctx=5579 burst=20/33 cum=3147/5811=0.542
[spec-acc] ctx=5611 burst=24/30 cum=3171/5841=0.543
[spec-acc] ctx=5646 burst=22/30 cum=3193/5871=0.544
[spec-acc] ctx=5679 burst=20/36 cum=3213/5907=0.544
[spec-acc] ctx=5712 burst=21/30 cum=3234/5937=0.545
[spec-acc] ctx=5744 burst=17/42 cum=3251/5979=0.544
[spec-acc] ctx=5776 burst=17/45 cum=3268/6024=0.542
[spec-acc] ctx=5809 burst=21/33 cum=3289/6057=0.543
[spec-acc] ctx=5842 burst=20/36 cum=3309/6093=0.543
[spec-acc] ctx=5875 burst=22/33 cum=3331/6126=0.544
[spec-acc] ctx=5909 burst=20/36 cum=3351/6162=0.544
[spec-acc] ctx=5942 burst=20/36 cum=3371/6198=0.544
[spec-acc] ctx=5975 burst=18/39 cum=3389/6237=0.543
[spec-acc] ctx=6007 burst=21/33 cum=3410/6270=0.544
[spec-acc] ctx=6040 burst=19/36 cum=3429/6306=0.544
[spec-acc] ctx=6072 burst=22/33 cum=3451/6339=0.544
[spec-acc] ctx=6106 burst=21/30 cum=3472/6369=0.545
[spec-acc] ctx=6138 burst=20/36 cum=3492/6405=0.545
[spec-acc] ctx=6171 burst=14/51 cum=3506/6456=0.543
[spec-acc] ctx=6203 burst=19/42 cum=3525/6498=0.542
[spec-acc] ctx=6237 burst=21/30 cum=3546/6528=0.543
[spec-acc] ctx=6269 burst=18/42 cum=3564/6570=0.542
[spec-acc] ctx=6302 burst=21/36 cum=3585/6606=0.543
[spec-acc] ctx=6336 burst=22/30 cum=3607/6636=0.544
[spec-acc] ctx=6369 burst=22/33 cum=3629/6669=0.544
[spec-acc] ctx=6403 burst=23/30 cum=3652/6699=0.545
[spec-acc] ctx=6437 burst=21/30 cum=3673/6729=0.546
[spec-acc] ctx=6469 burst=21/33 cum=3694/6762=0.546
[spec-acc] ctx=6502 burst=20/33 cum=3714/6795=0.547
[spec-acc] ctx=6534 burst=23/33 cum=3737/6828=0.547
[spec-acc] ctx=6569 burst=18/39 cum=3755/6867=0.547
[spec-acc] ctx=6601 burst=18/39 cum=3773/6906=0.546
[spec-acc] ctx=6633 burst=20/33 cum=3793/6939=0.547
[spec-acc] ctx=6665 burst=19/39 cum=3812/6978=0.546
[spec-acc] ctx=6698 burst=21/39 cum=3833/7017=0.546
[spec-acc] ctx=6733 burst=21/33 cum=3854/7050=0.547
[spec-acc] ctx=6766 burst=21/36 cum=3875/7086=0.547
[spec-acc] ctx=6800 burst=22/33 cum=3897/7119=0.547
[spec-acc] ctx=6834 burst=22/33 cum=3919/7152=0.548
[spec-acc] ctx=6868 burst=22/27 cum=3941/7179=0.549
[spec-acc] ctx=6900 burst=20/39 cum=3961/7218=0.549
[spec-acc] ctx=6934 burst=21/36 cum=3982/7254=0.549
[spec-acc] ctx=6968 burst=20/33 cum=4002/7287=0.549
[spec-acc] ctx=7000 burst=17/42 cum=4019/7329=0.548
[spec-acc] ctx=7032 burst=19/36 cum=4038/7365=0.548
[spec-acc] ctx=7064 burst=18/39 cum=4056/7404=0.548
[spec-acc] ctx=7096 burst=19/36 cum=4075/7440=0.548
[spec-acc] ctx=7128 burst=20/36 cum=4095/7476=0.548
[spec-acc] ctx=7161 burst=21/30 cum=4116/7506=0.548
[spec-acc] ctx=7193 burst=23/30 cum=4139/7536=0.549
[spec-acc] ctx=7227 burst=21/33 cum=4160/7569=0.550
[spec-acc] ctx=7260 burst=22/30 cum=4182/7599=0.550
[spec-acc] ctx=7293 burst=22/30 cum=4204/7629=0.551
[spec-acc] ctx=7326 burst=21/33 cum=4225/7662=0.551
[spec-acc] ctx=7359 burst=21/36 cum=4246/7698=0.552
[spec-acc] ctx=7393 burst=20/33 cum=4266/7731=0.552
[spec-acc] ctx=7425 burst=17/42 cum=4283/7773=0.551
[spec-acc] ctx=7457 burst=20/39 cum=4303/7812=0.551
[spec-acc] ctx=7491 burst=20/36 cum=4323/7848=0.551
[spec-acc] ctx=7524 burst=18/39 cum=4341/7887=0.550
[spec-acc] ctx=7556 burst=23/30 cum=4364/7917=0.551
[spec-acc] ctx=7590 burst=19/36 cum=4383/7953=0.551
[spec-acc] ctx=7622 burst=22/33 cum=4405/7986=0.552
[spec-acc] ctx=7656 burst=21/33 cum=4426/8019=0.552
[spec-acc] ctx=7689 burst=23/33 cum=4449/8052=0.553
[spec-acc] ctx=7724 burst=21/36 cum=4470/8088=0.553
[spec-acc] ctx=7758 burst=20/33 cum=4490/8121=0.553
[spec-acc] ctx=7790 burst=22/27 cum=4512/8148=0.554
[spec-acc] ctx=7822 burst=18/39 cum=4530/8187=0.553
[spec-acc] ctx=7854 burst=19/39 cum=4549/8226=0.553
[spec-acc] ctx=7887 burst=18/39 cum=4567/8265=0.553
[spec-acc] ctx=7919 burst=20/36 cum=4587/8301=0.553
[spec-acc] ctx=7952 burst=21/33 cum=4608/8334=0.553
[spec-acc] ctx=7985 burst=20/33 cum=4628/8367=0.553
[spec-acc] ctx=8017 burst=22/33 cum=4650/8400=0.554
[spec-acc] ctx=8051 burst=21/33 cum=4671/8433=0.554
[spec-acc] ctx=8084 burst=22/30 cum=4693/8463=0.555
[spec-acc] ctx=8117 burst=20/33 cum=4713/8496=0.555
[spec-acc] ctx=8149 burst=20/36 cum=4733/8532=0.555
[spec-acc] ctx=8182 burst=20/36 cum=4753/8568=0.555
[spec-acc] ctx=8215 burst=21/30 cum=4774/8598=0.555
[spec-acc] ctx=8247 burst=13/54 cum=4787/8652=0.553
[spec-acc] ctx=8279 burst=18/39 cum=4805/8691=0.553
[spec-acc] ctx=8311 burst=18/39 cum=4823/8730=0.552
[spec-acc] ctx=8343 burst=21/36 cum=4844/8766=0.553
[spec-acc] ctx=8377 burst=21/33 cum=4865/8799=0.553
[spec-acc] ctx=8410 burst=19/36 cum=4884/8835=0.553
[spec-acc] ctx=8442 burst=22/33 cum=4906/8868=0.553
[spec-acc] ctx=8476 burst=21/33 cum=4927/8901=0.554
[spec-acc] ctx=8509 burst=19/36 cum=4946/8937=0.553
[spec-acc] ctx=8541 burst=21/33 cum=4967/8970=0.554
[spec-acc] ctx=8574 burst=21/33 cum=4988/9003=0.554
[spec-acc] ctx=8607 burst=18/42 cum=5006/9045=0.553
[spec-acc] ctx=8640 burst=21/30 cum=5027/9075=0.554
[spec-acc] ctx=8672 burst=17/48 cum=5044/9123=0.553
[spec-acc] ctx=8706 burst=19/42 cum=5063/9165=0.552
[spec-acc] ctx=8740 burst=19/36 cum=5082/9201=0.552
[spec-acc] ctx=8772 burst=19/36 cum=5101/9237=0.552
[spec-acc] ctx=8804 burst=21/36 cum=5122/9273=0.552
[spec-acc] ctx=8838 burst=20/33 cum=5142/9306=0.553
[spec-acc] ctx=8870 burst=22/30 cum=5164/9336=0.553
[spec-acc] ctx=8903 burst=21/33 cum=5185/9369=0.553
[spec-acc] ctx=8936 burst=20/33 cum=5205/9402=0.554
[spec-acc] ctx=8968 burst=19/39 cum=5224/9441=0.553
[spec-acc] ctx=9001 burst=20/36 cum=5244/9477=0.553
[spec-acc] ctx=9034 burst=21/33 cum=5265/9510=0.554
[spec-acc] ctx=9067 burst=22/33 cum=5287/9543=0.554
[spec-acc] ctx=9101 burst=17/42 cum=5304/9585=0.553
[spec-acc] ctx=9133 burst=21/39 cum=5325/9624=0.553
[spec-acc] ctx=9168 burst=20/39 cum=5345/9663=0.553
[spec-acc] ctx=9202 burst=21/36 cum=5366/9699=0.553
[spec-acc] ctx=9236 burst=21/33 cum=5387/9732=0.554
[spec-acc] ctx=9269 burst=22/30 cum=5409/9762=0.554
[spec-acc] ctx=9302 burst=22/33 cum=5431/9795=0.554
[spec-acc] ctx=9336 burst=20/36 cum=5451/9831=0.554
[spec-acc] ctx=9369 burst=19/36 cum=5470/9867=0.554
[spec-acc] ctx=9401 burst=21/36 cum=5491/9903=0.554
[spec-acc] ctx=9435 burst=19/36 cum=5510/9939=0.554
[spec-acc] ctx=9467 burst=20/33 cum=5530/9972=0.555
[spec-acc] ctx=9499 burst=21/30 cum=5551/10002=0.555
[spec-acc] ctx=9531 burst=16/45 cum=5567/10047=0.554
[spec-acc] ctx=9563 burst=17/45 cum=5584/10092=0.553
[spec-acc] ctx=9596 burst=21/33 cum=5605/10125=0.554
[spec-acc] ctx=9629 burst=19/36 cum=5624/10161=0.553
[spec-acc] ctx=9661 burst=21/33 cum=5645/10194=0.554
[spec-acc] ctx=9694 burst=19/36 cum=5664/10230=0.554
[spec-acc] ctx=9726 burst=23/30 cum=5687/10260=0.554
[spec-acc] ctx=9760 burst=22/30 cum=5709/10290=0.555
[spec-acc] ctx=9793 burst=20/33 cum=5729/10323=0.555
[spec-acc] ctx=9825 burst=22/30 cum=5751/10353=0.555
[spec-acc] ctx=9858 burst=19/39 cum=5770/10392=0.555
[spec-acc] ctx=9891 burst=21/33 cum=5791/10425=0.555
[spec-acc] ctx=9924 burst=21/33 cum=5812/10458=0.556
[spec-acc] ctx=9957 burst=16/51 cum=5828/10509=0.555
[spec-acc] ctx=9991 burst=20/36 cum=5848/10545=0.555
[spec-acc] ctx=10024 burst=21/36 cum=5869/10581=0.555
[spec-acc] ctx=10058 burst=19/36 cum=5888/10617=0.555
[spec-acc] ctx=10090 burst=21/30 cum=5909/10647=0.555
[spec-acc] ctx=10122 burst=23/30 cum=5932/10677=0.556
[spec-acc] ctx=10156 burst=21/33 cum=5953/10710=0.556
[spec-acc] ctx=10189 burst=21/33 cum=5974/10743=0.556
[spec-acc] ctx=10222 burst=21/30 cum=5995/10773=0.556
[spec-acc] ctx=10254 burst=22/33 cum=6017/10806=0.557
[spec-acc] ctx=10288 burst=22/33 cum=6039/10839=0.557
[spec-acc] ctx=10322 burst=21/30 cum=6060/10869=0.558
[spec-acc] ctx=10354 burst=20/36 cum=6080/10905=0.558
[spec-acc] ctx=10387 burst=20/39 cum=6100/10944=0.557
[spec-acc] ctx=10421 burst=20/33 cum=6120/10977=0.558
[spec-acc] ctx=10453 burst=20/36 cum=6140/11013=0.558
[spec-acc] ctx=10486 burst=19/36 cum=6159/11049=0.557
[spec-acc] ctx=10518 burst=23/30 cum=6182/11079=0.558
[spec-acc] ctx=10552 burst=22/30 cum=6204/11109=0.558
[spec-acc] ctx=10585 burst=22/30 cum=6226/11139=0.559
[spec-acc] ctx=10618 burst=24/30 cum=6250/11169=0.560
[spec-acc] ctx=10653 burst=24/30 cum=6274/11199=0.560
[spec-acc] ctx=10688 burst=22/30 cum=6296/11229=0.561
[spec-acc] ctx=10721 burst=20/33 cum=6316/11262=0.561
[spec-acc] ctx=10753 burst=22/33 cum=6338/11295=0.561
[spec-acc] ctx=10787 burst=18/42 cum=6356/11337=0.561
[spec-acc] ctx=10820 burst=20/33 cum=6376/11370=0.561
[spec-acc] ctx=10852 burst=18/39 cum=6394/11409=0.560
[spec-acc] ctx=10884 burst=19/39 cum=6413/11448=0.560
[spec-acc] ctx=10917 burst=21/36 cum=6434/11484=0.560
[spec-acc] ctx=10951 burst=20/33 cum=6454/11517=0.560
[spec-acc] ctx=10983 burst=20/33 cum=6474/11550=0.561
[spec-acc] ctx=11015 burst=21/30 cum=6495/11580=0.561
[spec-acc] ctx=11047 burst=20/33 cum=6515/11613=0.561
[spec-acc] ctx=11079 burst=20/33 cum=6535/11646=0.561
[spec-acc] ctx=11111 burst=21/30 cum=6556/11676=0.561
[spec-acc] ctx=11143 burst=20/39 cum=6576/11715=0.561
[spec-acc] ctx=11177 burst=22/30 cum=6598/11745=0.562
[spec-acc] ctx=11210 burst=19/39 cum=6617/11784=0.562
[spec-acc] ctx=11243 burst=18/39 cum=6635/11823=0.561
[spec-acc] ctx=11275 burst=19/39 cum=6654/11862=0.561
[spec-acc] ctx=11308 burst=20/36 cum=6674/11898=0.561
[spec-acc] ctx=11341 burst=22/30 cum=6696/11928=0.561
[spec-acc] ctx=11374 burst=20/33 cum=6716/11961=0.561
[spec-acc] ctx=11406 burst=21/33 cum=6737/11994=0.562
[spec-acc] ctx=11439 burst=22/30 cum=6759/12024=0.562
[spec-acc] ctx=11472 burst=21/33 cum=6780/12057=0.562
[spec-acc] ctx=11505 burst=21/30 cum=6801/12087=0.563
[spec-acc] ctx=11537 burst=22/30 cum=6823/12117=0.563
[spec-acc] ctx=11570 burst=21/36 cum=6844/12153=0.563
[spec-acc] ctx=11604 burst=22/33 cum=6866/12186=0.563
[spec-acc] ctx=11638 burst=19/36 cum=6885/12222=0.563
[spec-acc] ctx=11670 burst=19/36 cum=6904/12258=0.563
[spec-acc] ctx=11702 burst=20/36 cum=6924/12294=0.563
[spec-acc] ctx=11735 burst=21/33 cum=6945/12327=0.563
[spec-acc] ctx=11768 burst=20/33 cum=6965/12360=0.564
[spec-acc] ctx=11800 burst=21/30 cum=6986/12390=0.564
[spec-acc] ctx=11832 burst=23/33 cum=7009/12423=0.564
[spec-acc] ctx=11867 burst=22/30 cum=7031/12453=0.565
