
NOTICE: Existing SQLite export found: /tmp/memra-fa3softmax-20260813/q35-nsys-r1.sqlite
        It is assumed file was previously exported from: /tmp/memra-fa3softmax-20260813/q35-nsys-r1.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/memra-fa3softmax-20260813/q35-nsys-r1.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.1,1184603,40,29615.1,29615.5,29024,30592,342.1, 764    1    1, 256    1    1,moe_router_topk_f32
0.1,1173078,40,29327.0,29264.0,28352,30207,352.5,1528    1    1,1024    1    1,add_scaled_rows_f32
0.0,977947,10,97794.7,97584.0,95647,101760,1689.8,  16 4096    1,  32    1    1,append_quantize_kv_q8_0_q5_1_rows
0.0,902361,10,90236.1,90111.0,89279,92256,850.3,65536    1    1, 128    1    1,rope_neox_f32
0.0,857493,10,85749.3,85614.5,85086,87295,707.4,3056    1    1,1024    1    1,q_gate_split_f32
0.0,811514,10,81151.4,81007.5,80032,83007,869.6,19440    1    1, 256    1    1,fa_dequant_kv_ws_bf16
0.0,786358,40,19659.0,19520.0,18592,21408,596.8, 512    1    1,1024    1    1,silu_mul_f32
0.0,659129,10,65912.9,65440.0,64191,67679,1156.0,3056    1    1,1024    1    1,sigmoid_f32
0.0,638971,10,63897.1,63600.0,63231,64576,527.5,16384    1    1, 256    1    1,fa_dequant_kv_ws_bf16
0.0,549050,40,13726.3,13616.0,12992,14592,369.9, 764    8    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.0,470494,10,47049.4,47055.5,46240,47872,499.2,12224    1    1, 256    1    1,rms_norm_f32
0.0,455645,10,45564.5,45568.0,45344,45823,136.7,3056    1    1,1024    1    1,mul_f32
0.0,414078,40,10352.0,10272.0,9824,11456,297.8,4096    1    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.0,385309,10,38530.9,38544.0,37823,39167,477.3,8192    1    1, 256    1    1,rms_norm_f32
0.0,306461,60,5107.7,5056.0,4960,5440,97.9, 256    1    1, 256    1    1,argmax_partial_f32
0.0,301438,40,7535.9,7551.5,6848,8032,272.7, 764    1    1,  32    8    1,sigmoid_dot_rows_f32
0.0,293566,30,9785.5,9792.0,9632,9952,82.5, 128   32    1,  32    1    1,gdn_chunk_cumgate_f32
0.0,235839,40,5896.0,5872.0,5696,6176,99.8,  96    1    1,1024    1    1,silu_mul_f32
0.0,201534,10,20153.4,20096.0,19296,21120,515.4,12224    1    1, 128    1    1,rope_neox_f32
0.0,191263,10,19126.3,19344.0,17952,19904,588.6,  16  764    1,  32    1    1,append_quantize_kv_q8_0_q5_1_rows
0.0,165568,30,5518.9,5488.0,5216,5952,190.8, 128    1    1,1024    1    1,gdn_glog_f32
0.0,164510,30,5483.7,5456.0,4704,6112,345.9, 128    1    1,1024    1    1,sigmoid_f32
0.0,156158,60,2602.6,2592.0,2560,2624,18.3,   1    1    1, 256    1    1,argmax_final_f32
0.0,153984,60,2566.4,2560.0,2528,2880,60.6,  24    1    1,1024    1    1,ssm_conv_ring_update_f32
0.0,140896,40,3522.4,3520.0,3392,3584,43.7, 764    1    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.0,140189,10,14018.9,14095.5,13696,14272,217.3,8192    1    1, 128    1    1,rope_neox_f32
0.0,126749,30,4225.0,4224.0,3840,4608,169.9,  24   32    1,  32    1    1,gdn_chunk_cumgate_f32
0.0,124927,30,4164.2,4096.0,3808,4704,257.3,  24    1    1,1024    1    1,sigmoid_f32
0.0,124800,30,4160.0,4128.0,3840,4704,203.3,  24    1    1,1024    1    1,gdn_glog_f32
0.0,103679,1,103679.0,103679.0,103679,103679,0.0,   8 4096    1, 256    1    1,embed_gather_u32_t
0.0,94911,10,9491.1,9520.0,9216,9728,181.9,1528    1    1, 256    1    1,rms_norm_f32
0.0,47584,10,4758.4,4768.0,4704,4864,45.4,1528    1    1, 128    1    1,rope_neox_f32
0.0,23871,1,23871.0,23871.0,23871,23871,0.0,   8  764    1, 256    1    1,embed_gather_u32_t
