arm,model,shape,phase,relative_pc,sass,instructions_executed,conflict_degree,actual_wavefronts,ideal_wavefronts,excess_wavefronts
baseline,q27,4096,v_ldmatrix_trans,0x006050,"LDSM.16.MT88.4 R120, [R120]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006180,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006190,"LDSM.16.MT88.4 R136, [R136]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x0062c0,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x0062d0,"LDSM.16.MT88.4 R132, [R132]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006400,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006410,"LDSM.16.MT88.4 R120, [R120]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006540,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006550,"LDSM.16.MT88.4 R136, [R136]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006680,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006690,"LDSM.16.MT88.4 R132, [R132]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x0067c0,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x0067d0,"LDSM.16.MT88.4 R120, [R120]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006900,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006910,"LDSM.16.MT88.4 R136, [R136]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006a40,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006a50,"LDSM.16.MT88.4 R132, [R132]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006b80,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006b90,"LDSM.16.MT88.4 R120, [R120]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006cc0,"LDSM.16.MT88.4 R40, [R112]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006cd0,"LDSM.16.MT88.4 R112, [R114]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006db0,"LDSM.16.MT88.4 R112, [R112]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006e90,"LDSM.16.MT88.4 R112, [R113]",399360,32,12779520,1597440,11182080
baseline,q27,4096,other_shared,0x000b50,"STS.U16 [R5+0x40], R17",196608,1,196608,196608,0
baseline,q27,4096,other_shared,0x000b90,"STS.U16 [R5+0x80], R6",196608,1,196608,196608,0
baseline,q27,4096,other_shared,0x000ba0,"STS.U16 [R5], R3",196608,1,196608,196608,0
baseline,q27,4096,other_shared,0x000bb0,"STS.U16 [R5+0xc0], R7",196608,1,196608,196608,0
baseline,q27,4096,other_shared,0x001980,"LDGSTS.E.BYPASS.128 desc[UR8][R10.64], [R9]",49152,4,196608,196608,0
baseline,q27,4096,other_shared,0x001990,"LDGSTS.E.BYPASS.128 desc[UR8][R14.64], [R9+0x8000]",49152,4,196608,196608,0
baseline,q27,4096,other_shared,0x002ad0,"@!P2  LDGSTS.E.BYPASS.128 desc[UR8][R36.64], [R129]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002b50,"@!P2  LDGSTS.E.BYPASS.128 desc[UR8][R40.64], [R125]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002cf0,"@!P0  LDGSTS.E.BYPASS.128 desc[UR8][R36.64], [R128]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002d10,"@!P0  LDGSTS.E.BYPASS.128 desc[UR8][R42.64], [R124]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002e40,"@!P1  LDGSTS.E.BYPASS.128 desc[UR8][R36.64], [R126]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002e80,"@!P1  LDGSTS.E.BYPASS.128 desc[UR8][R40.64], [R122]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002fb0,"@!P0  LDGSTS.E.BYPASS.128 desc[UR8][R36.64], [R127]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x002fc0,"@!P0  LDGSTS.E.BYPASS.128 desc[UR8][R42.64], [R123]",786432,4,3145728,3145728,0
baseline,q27,4096,other_shared,0x0070c0,"@!P0  STS [R33+0x11000], R34",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0070f0,"@!P0  STS [R33+0x11020], R32",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007190,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0072d0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007530,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0076b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0077f0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007950,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007ad0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007c10,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007d70,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x007ef0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008030,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008190,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008310,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008450,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0085b0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008730,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008870,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0089d0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008b50,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008c90,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008df0,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x008f70,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0090b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009210,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009390,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0094d0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009630,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0097b0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x0098f0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009a50,"LDS R30, [R33+0x11020]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009bd0,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
baseline,q27,4096,other_shared,0x009d10,"LDS R30, [R33+0x11000]",6144,1,6144,6144,0
