name	dtype	shape	nbytes	shard
model.layers.1.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00001-of-00016.safetensors
model.layers.1.post_attention_layernorm.weight	BF16	4096	8192	model-00001-of-00016.safetensors
model.layers.1.self_attn.k_norm.weight	BF16	128	256	model-00001-of-00016.safetensors
model.layers.1.self_attn.k_proj.biases	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.1.self_attn.k_proj.scales	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.1.self_attn.k_proj.weight	U32	1024x512	2097152	model-00001-of-00016.safetensors
model.layers.1.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00001-of-00016.safetensors
model.layers.1.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00001-of-00016.safetensors
model.layers.1.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00001-of-00016.safetensors
model.layers.1.self_attn.q_norm.weight	BF16	128	256	model-00001-of-00016.safetensors
model.layers.1.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00001-of-00016.safetensors
model.layers.1.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00001-of-00016.safetensors
model.layers.1.self_attn.q_proj.weight	U32	8192x512	16777216	model-00001-of-00016.safetensors
model.layers.1.self_attn.v_proj.biases	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.1.self_attn.v_proj.scales	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.1.self_attn.v_proj.weight	U32	1024x512	2097152	model-00001-of-00016.safetensors
model.layers.10.input_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.10.mlp.router.expert_bias	F32	96	384	model-00003-of-00016.safetensors
model.layers.10.mlp.router.gate.biases	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.10.mlp.router.gate.scales	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.10.mlp.router.gate.weight	U32	96x1024	393216	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.10.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.10.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.10.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00002-of-00016.safetensors
model.layers.10.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.10.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.10.post_attention_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.10.self_attn.k_norm.weight	BF16	128	256	model-00002-of-00016.safetensors
model.layers.10.self_attn.k_proj.biases	BF16	1024x64	131072	model-00002-of-00016.safetensors
model.layers.10.self_attn.k_proj.scales	BF16	1024x64	131072	model-00002-of-00016.safetensors
model.layers.10.self_attn.k_proj.weight	U32	1024x512	2097152	model-00002-of-00016.safetensors
model.layers.10.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00002-of-00016.safetensors
model.layers.10.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00002-of-00016.safetensors
model.layers.10.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00002-of-00016.safetensors
model.layers.10.self_attn.q_norm.weight	BF16	128	256	model-00002-of-00016.safetensors
model.layers.10.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00002-of-00016.safetensors
model.layers.10.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00002-of-00016.safetensors
model.layers.10.self_attn.q_proj.weight	U32	8192x512	16777216	model-00002-of-00016.safetensors
model.layers.10.self_attn.v_proj.biases	BF16	1024x64	131072	model-00002-of-00016.safetensors
model.layers.10.self_attn.v_proj.scales	BF16	1024x64	131072	model-00002-of-00016.safetensors
model.layers.10.self_attn.v_proj.weight	U32	1024x512	2097152	model-00002-of-00016.safetensors
model.layers.11.input_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.11.mlp.router.expert_bias	F32	96	384	model-00003-of-00016.safetensors
model.layers.11.mlp.router.gate.biases	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.11.mlp.router.gate.scales	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.11.mlp.router.gate.weight	U32	96x1024	393216	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.11.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.11.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.11.post_attention_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.11.self_attn.k_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.11.self_attn.k_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.11.self_attn.k_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.11.self_attn.k_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.11.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.11.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.11.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00003-of-00016.safetensors
model.layers.11.self_attn.q_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.11.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.11.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.11.self_attn.q_proj.weight	U32	8192x512	16777216	model-00003-of-00016.safetensors
model.layers.11.self_attn.v_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.11.self_attn.v_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.11.self_attn.v_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.12.input_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.12.mlp.router.expert_bias	F32	96	384	model-00003-of-00016.safetensors
model.layers.12.mlp.router.gate.biases	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.12.mlp.router.gate.scales	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.12.mlp.router.gate.weight	U32	96x1024	393216	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.12.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.12.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.12.post_attention_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.12.self_attn.k_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.12.self_attn.k_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.12.self_attn.k_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.12.self_attn.k_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.12.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.12.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.12.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00003-of-00016.safetensors
model.layers.12.self_attn.q_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.12.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.12.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.12.self_attn.q_proj.weight	U32	8192x512	16777216	model-00003-of-00016.safetensors
model.layers.12.self_attn.v_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.12.self_attn.v_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.12.self_attn.v_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.13.input_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.13.mlp.router.expert_bias	F32	96	384	model-00003-of-00016.safetensors
model.layers.13.mlp.router.gate.biases	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.13.mlp.router.gate.scales	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.13.mlp.router.gate.weight	U32	96x1024	393216	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.13.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.13.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.13.post_attention_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.13.self_attn.k_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.13.self_attn.k_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.13.self_attn.k_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.13.self_attn.k_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.13.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.13.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.13.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00003-of-00016.safetensors
model.layers.13.self_attn.q_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.13.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.13.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.13.self_attn.q_proj.weight	U32	8192x512	16777216	model-00003-of-00016.safetensors
model.layers.13.self_attn.v_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.13.self_attn.v_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.13.self_attn.v_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.14.input_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.14.mlp.router.expert_bias	F32	96	384	model-00003-of-00016.safetensors
model.layers.14.mlp.router.gate.biases	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.14.mlp.router.gate.scales	BF16	96x64	12288	model-00003-of-00016.safetensors
model.layers.14.mlp.router.gate.weight	U32	96x1024	393216	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00003-of-00016.safetensors
model.layers.14.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.14.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.14.post_attention_layernorm.weight	BF16	4096	8192	model-00003-of-00016.safetensors
model.layers.14.self_attn.k_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.14.self_attn.k_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.14.self_attn.k_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.14.self_attn.k_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.14.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.14.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00003-of-00016.safetensors
model.layers.14.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00003-of-00016.safetensors
model.layers.14.self_attn.q_norm.weight	BF16	128	256	model-00003-of-00016.safetensors
model.layers.14.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.14.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00003-of-00016.safetensors
model.layers.14.self_attn.q_proj.weight	U32	8192x512	16777216	model-00003-of-00016.safetensors
model.layers.14.self_attn.v_proj.biases	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.14.self_attn.v_proj.scales	BF16	1024x64	131072	model-00003-of-00016.safetensors
model.layers.14.self_attn.v_proj.weight	U32	1024x512	2097152	model-00003-of-00016.safetensors
model.layers.15.input_layernorm.weight	BF16	4096	8192	model-00004-of-00016.safetensors
model.layers.15.mlp.router.expert_bias	F32	96	384	model-00004-of-00016.safetensors
model.layers.15.mlp.router.gate.biases	BF16	96x64	12288	model-00004-of-00016.safetensors
model.layers.15.mlp.router.gate.scales	BF16	96x64	12288	model-00004-of-00016.safetensors
model.layers.15.mlp.router.gate.weight	U32	96x1024	393216	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00004-of-00016.safetensors
model.layers.15.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00004-of-00016.safetensors
model.layers.15.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00004-of-00016.safetensors
model.layers.15.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00004-of-00016.safetensors
model.layers.15.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00004-of-00016.safetensors
model.layers.15.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.15.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00003-of-00016.safetensors
model.layers.15.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00003-of-00016.safetensors
model.layers.15.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00004-of-00016.safetensors
model.layers.15.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00004-of-00016.safetensors
