model.embed_tokens.weight	TokenEmbedding
model.layers.40.share_expert.down_proj.weight	Layer { index: 40, tensor: SharedMlpDown }
model.layers.41.input_layernorm.weight	Layer { index: 41, tensor: PreAttentionNorm }
model.layers.41.self_attn.q_proj.weight	Layer { index: 41, tensor: Query }
model.layers.41.self_attn.k_proj.weight	Layer { index: 41, tensor: Key }
model.layers.41.self_attn.o_proj.weight	Layer { index: 41, tensor: AttentionOutput }
model.layers.41.self_attn.v_proj.weight	Layer { index: 41, tensor: Value }
model.layers.41.self_attn.q_norm.weight	Layer { index: 41, tensor: QueryNorm }
model.layers.41.self_attn.k_norm.weight	Layer { index: 41, tensor: KeyNorm }
model.layers.41.self_attn.g_proj.weight	Layer { index: 41, tensor: AttentionGate }
model.layers.41.post_attention_layernorm.weight	Layer { index: 41, tensor: PreMlpNorm }
model.layers.41.moe.gate.weight	Layer { index: 41, tensor: MoeRouter }
model.layers.41.moe.router_bias	Layer { index: 41, tensor: MoeRouterBias }
model.layers.41.moe.gate_proj.weight	Layer { index: 41, tensor: MoeExpertGateBank }
model.layers.41.moe.up_proj.weight	Layer { index: 41, tensor: MoeExpertUpBank }
model.layers.41.moe.down_proj.weight	Layer { index: 41, tensor: MoeExpertDownBank }
model.layers.41.share_expert.gate_proj.weight	Layer { index: 41, tensor: SharedMlpGate }
model.layers.41.share_expert.up_proj.weight	Layer { index: 41, tensor: SharedMlpUp }
model.layers.41.share_expert.down_proj.weight	Layer { index: 41, tensor: SharedMlpDown }
model.layers.42.input_layernorm.weight	Layer { index: 42, tensor: PreAttentionNorm }
model.layers.42.self_attn.q_proj.weight	Layer { index: 42, tensor: Query }
model.layers.42.self_attn.k_proj.weight	Layer { index: 42, tensor: Key }
model.layers.42.self_attn.o_proj.weight	Layer { index: 42, tensor: AttentionOutput }
model.layers.42.self_attn.v_proj.weight	Layer { index: 42, tensor: Value }
model.layers.42.self_attn.q_norm.weight	Layer { index: 42, tensor: QueryNorm }
model.layers.42.self_attn.k_norm.weight	Layer { index: 42, tensor: KeyNorm }
model.layers.42.self_attn.g_proj.weight	Layer { index: 42, tensor: AttentionGate }
model.layers.42.post_attention_layernorm.weight	Layer { index: 42, tensor: PreMlpNorm }
model.layers.42.moe.gate.weight	Layer { index: 42, tensor: MoeRouter }
model.layers.42.moe.router_bias	Layer { index: 42, tensor: MoeRouterBias }
model.layers.42.moe.gate_proj.weight	Layer { index: 42, tensor: MoeExpertGateBank }
model.layers.42.moe.up_proj.weight	Layer { index: 42, tensor: MoeExpertUpBank }
model.layers.42.moe.down_proj.weight	Layer { index: 42, tensor: MoeExpertDownBank }
model.layers.42.share_expert.gate_proj.weight	Layer { index: 42, tensor: SharedMlpGate }
model.layers.42.share_expert.up_proj.weight	Layer { index: 42, tensor: SharedMlpUp }
model.layers.42.share_expert.down_proj.weight	Layer { index: 42, tensor: SharedMlpDown }
model.layers.43.input_layernorm.weight	Layer { index: 43, tensor: PreAttentionNorm }
model.layers.43.self_attn.q_proj.weight	Layer { index: 43, tensor: Query }
model.layers.43.self_attn.k_proj.weight	Layer { index: 43, tensor: Key }
model.layers.43.self_attn.o_proj.weight	Layer { index: 43, tensor: AttentionOutput }
model.layers.43.self_attn.v_proj.weight	Layer { index: 43, tensor: Value }
model.layers.43.self_attn.q_norm.weight	Layer { index: 43, tensor: QueryNorm }
model.layers.43.self_attn.k_norm.weight	Layer { index: 43, tensor: KeyNorm }
model.layers.43.self_attn.g_proj.weight	Layer { index: 43, tensor: AttentionGate }
model.layers.43.post_attention_layernorm.weight	Layer { index: 43, tensor: PreMlpNorm }
model.layers.43.moe.gate.weight	Layer { index: 43, tensor: MoeRouter }
model.layers.43.moe.router_bias	Layer { index: 43, tensor: MoeRouterBias }
model.layers.43.moe.gate_proj.weight	Layer { index: 43, tensor: MoeExpertGateBank }
model.layers.43.moe.up_proj.weight	Layer { index: 43, tensor: MoeExpertUpBank }
model.layers.43.moe.down_proj.weight	Layer { index: 43, tensor: MoeExpertDownBank }
model.layers.43.share_expert.gate_proj.weight	Layer { index: 43, tensor: SharedMlpGate }
model.layers.43.share_expert.up_proj.weight	Layer { index: 43, tensor: SharedMlpUp }
model.layers.43.share_expert.down_proj.weight	Layer { index: 43, tensor: SharedMlpDown }
model.layers.44.input_layernorm.weight	Layer { index: 44, tensor: PreAttentionNorm }
model.layers.44.self_attn.q_proj.weight	Layer { index: 44, tensor: Query }
model.layers.44.self_attn.k_proj.weight	Layer { index: 44, tensor: Key }
model.layers.44.self_attn.o_proj.weight	Layer { index: 44, tensor: AttentionOutput }
model.layers.44.self_attn.v_proj.weight	Layer { index: 44, tensor: Value }
model.layers.44.self_attn.q_norm.weight	Layer { index: 44, tensor: QueryNorm }
model.layers.44.self_attn.k_norm.weight	Layer { index: 44, tensor: KeyNorm }
model.layers.44.self_attn.g_proj.weight	Layer { index: 44, tensor: AttentionGate }
model.layers.44.post_attention_layernorm.weight	Layer { index: 44, tensor: PreMlpNorm }
model.layers.44.moe.gate.weight	Layer { index: 44, tensor: MoeRouter }
model.layers.44.moe.router_bias	Layer { index: 44, tensor: MoeRouterBias }
model.layers.44.moe.gate_proj.weight	Layer { index: 44, tensor: MoeExpertGateBank }
model.layers.44.moe.up_proj.weight	Layer { index: 44, tensor: MoeExpertUpBank }
model.layers.44.moe.down_proj.weight	Layer { index: 44, tensor: MoeExpertDownBank }
model.layers.44.share_expert.gate_proj.weight	Layer { index: 44, tensor: SharedMlpGate }
model.layers.44.share_expert.up_proj.weight	Layer { index: 44, tensor: SharedMlpUp }
model.layers.44.share_expert.down_proj.weight	Layer { index: 44, tensor: SharedMlpDown }
model.layers.45.input_layernorm.weight	Layer { index: 45, tensor: PreAttentionNorm }
model.layers.45.self_attn.q_proj.weight	Layer { index: 45, tensor: Query }
model.layers.45.self_attn.k_proj.weight	Layer { index: 45, tensor: Key }
model.layers.45.self_attn.o_proj.weight	Layer { index: 45, tensor: AttentionOutput }
model.layers.45.self_attn.v_proj.weight	Layer { index: 45, tensor: Value }
model.layers.45.self_attn.q_norm.weight	Layer { index: 45, tensor: QueryNorm }
model.layers.45.self_attn.k_norm.weight	Layer { index: 45, tensor: KeyNorm }
model.layers.45.self_attn.g_proj.weight	Layer { index: 45, tensor: AttentionGate }
model.layers.45.post_attention_layernorm.weight	Layer { index: 45, tensor: PreMlpNorm }
model.layers.45.mlp.gate_proj.weight	Layer { index: 45, tensor: MlpGate }
model.layers.45.mlp.up_proj.weight	Layer { index: 45, tensor: MlpUp }
model.layers.45.mlp.down_proj.weight	Layer { index: 45, tensor: MlpDown }
model.layers.45.enorm.weight	Mtp { depth: 0, tensor: EmbeddingNorm }
model.layers.45.hnorm.weight	Mtp { depth: 0, tensor: HiddenNorm }
model.layers.45.eh_proj.weight	Mtp { depth: 0, tensor: FusionProjection }
model.layers.45.transformer.shared_head.norm.weight	Mtp { depth: 0, tensor: OutputNorm }
model.layers.46.input_layernorm.weight	Layer { index: 46, tensor: PreAttentionNorm }
model.layers.46.self_attn.q_proj.weight	Layer { index: 46, tensor: Query }
model.layers.46.self_attn.k_proj.weight	Layer { index: 46, tensor: Key }
model.layers.46.self_attn.o_proj.weight	Layer { index: 46, tensor: AttentionOutput }
model.layers.46.self_attn.v_proj.weight	Layer { index: 46, tensor: Value }
model.layers.46.self_attn.q_norm.weight	Layer { index: 46, tensor: QueryNorm }
model.layers.46.self_attn.k_norm.weight	Layer { index: 46, tensor: KeyNorm }
model.layers.46.self_attn.g_proj.weight	Layer { index: 46, tensor: AttentionGate }
model.layers.46.post_attention_layernorm.weight	Layer { index: 46, tensor: PreMlpNorm }
model.layers.46.mlp.gate_proj.weight	Layer { index: 46, tensor: MlpGate }
model.layers.46.mlp.up_proj.weight	Layer { index: 46, tensor: MlpUp }
model.layers.46.mlp.down_proj.weight	Layer { index: 46, tensor: MlpDown }
model.layers.46.enorm.weight	Mtp { depth: 1, tensor: EmbeddingNorm }
model.layers.46.hnorm.weight	Mtp { depth: 1, tensor: HiddenNorm }
model.layers.46.eh_proj.weight	Mtp { depth: 1, tensor: FusionProjection }
model.layers.46.transformer.shared_head.norm.weight	Mtp { depth: 1, tensor: OutputNorm }
model.layers.47.input_layernorm.weight	Layer { index: 47, tensor: PreAttentionNorm }
model.layers.47.self_attn.q_proj.weight	Layer { index: 47, tensor: Query }
model.layers.47.self_attn.k_proj.weight	Layer { index: 47, tensor: Key }
model.layers.47.self_attn.o_proj.weight	Layer { index: 47, tensor: AttentionOutput }
model.layers.47.self_attn.v_proj.weight	Layer { index: 47, tensor: Value }
model.layers.47.self_attn.q_norm.weight	Layer { index: 47, tensor: QueryNorm }
model.layers.47.self_attn.k_norm.weight	Layer { index: 47, tensor: KeyNorm }
model.layers.47.self_attn.g_proj.weight	Layer { index: 47, tensor: AttentionGate }
model.layers.47.post_attention_layernorm.weight	Layer { index: 47, tensor: PreMlpNorm }
model.layers.47.mlp.gate_proj.weight	Layer { index: 47, tensor: MlpGate }
model.layers.47.mlp.up_proj.weight	Layer { index: 47, tensor: MlpUp }
model.layers.47.mlp.down_proj.weight	Layer { index: 47, tensor: MlpDown }
model.layers.47.enorm.weight	Mtp { depth: 2, tensor: EmbeddingNorm }
model.layers.47.hnorm.weight	Mtp { depth: 2, tensor: HiddenNorm }
model.layers.47.eh_proj.weight	Mtp { depth: 2, tensor: FusionProjection }
model.layers.47.transformer.shared_head.norm.weight	Mtp { depth: 2, tensor: OutputNorm }
model.layers.45.transformer.shared_head.output.weight	Mtp { depth: 0, tensor: OutputProjection }
model.layers.46.transformer.shared_head.output.weight	Mtp { depth: 1, tensor: OutputProjection }
model.layers.47.transformer.shared_head.output.weight	Mtp { depth: 2, tensor: OutputProjection }
