model.embed_tokens.weight	TokenEmbedding
model.layers.6.moe.up_proj.weight	Layer { index: 6, tensor: MoeExpertUpBank }
model.layers.6.moe.down_proj.weight	Layer { index: 6, tensor: MoeExpertDownBank }
model.layers.6.share_expert.gate_proj.weight	Layer { index: 6, tensor: SharedMlpGate }
model.layers.6.share_expert.up_proj.weight	Layer { index: 6, tensor: SharedMlpUp }
model.layers.6.share_expert.down_proj.weight	Layer { index: 6, tensor: SharedMlpDown }
model.layers.7.input_layernorm.weight	Layer { index: 7, tensor: PreAttentionNorm }
model.layers.7.self_attn.q_proj.weight	Layer { index: 7, tensor: Query }
model.layers.7.self_attn.k_proj.weight	Layer { index: 7, tensor: Key }
model.layers.7.self_attn.o_proj.weight	Layer { index: 7, tensor: AttentionOutput }
model.layers.7.self_attn.v_proj.weight	Layer { index: 7, tensor: Value }
model.layers.7.self_attn.q_norm.weight	Layer { index: 7, tensor: QueryNorm }
model.layers.7.self_attn.k_norm.weight	Layer { index: 7, tensor: KeyNorm }
model.layers.7.self_attn.g_proj.weight	Layer { index: 7, tensor: AttentionGate }
model.layers.7.post_attention_layernorm.weight	Layer { index: 7, tensor: PreMlpNorm }
model.layers.7.moe.gate.weight	Layer { index: 7, tensor: MoeRouter }
model.layers.7.moe.router_bias	Layer { index: 7, tensor: MoeRouterBias }
model.layers.7.moe.gate_proj.weight	Layer { index: 7, tensor: MoeExpertGateBank }
model.layers.7.moe.up_proj.weight	Layer { index: 7, tensor: MoeExpertUpBank }
model.layers.7.moe.down_proj.weight	Layer { index: 7, tensor: MoeExpertDownBank }
model.layers.7.share_expert.gate_proj.weight	Layer { index: 7, tensor: SharedMlpGate }
model.layers.7.share_expert.up_proj.weight	Layer { index: 7, tensor: SharedMlpUp }
model.layers.7.share_expert.down_proj.weight	Layer { index: 7, tensor: SharedMlpDown }
model.layers.8.input_layernorm.weight	Layer { index: 8, tensor: PreAttentionNorm }
model.layers.8.self_attn.q_proj.weight	Layer { index: 8, tensor: Query }
model.layers.8.self_attn.k_proj.weight	Layer { index: 8, tensor: Key }
model.layers.8.self_attn.o_proj.weight	Layer { index: 8, tensor: AttentionOutput }
model.layers.8.self_attn.v_proj.weight	Layer { index: 8, tensor: Value }
model.layers.8.self_attn.q_norm.weight	Layer { index: 8, tensor: QueryNorm }
model.layers.8.self_attn.k_norm.weight	Layer { index: 8, tensor: KeyNorm }
model.layers.8.self_attn.g_proj.weight	Layer { index: 8, tensor: AttentionGate }
model.layers.8.post_attention_layernorm.weight	Layer { index: 8, tensor: PreMlpNorm }
model.layers.8.moe.gate.weight	Layer { index: 8, tensor: MoeRouter }
model.layers.8.moe.router_bias	Layer { index: 8, tensor: MoeRouterBias }
model.layers.8.moe.gate_proj.weight	Layer { index: 8, tensor: MoeExpertGateBank }
model.layers.8.moe.up_proj.weight	Layer { index: 8, tensor: MoeExpertUpBank }
model.layers.8.moe.down_proj.weight	Layer { index: 8, tensor: MoeExpertDownBank }
model.layers.8.share_expert.gate_proj.weight	Layer { index: 8, tensor: SharedMlpGate }
model.layers.8.share_expert.up_proj.weight	Layer { index: 8, tensor: SharedMlpUp }
model.layers.8.share_expert.down_proj.weight	Layer { index: 8, tensor: SharedMlpDown }
model.layers.9.input_layernorm.weight	Layer { index: 9, tensor: PreAttentionNorm }
model.layers.9.self_attn.q_proj.weight	Layer { index: 9, tensor: Query }
model.layers.9.self_attn.k_proj.weight	Layer { index: 9, tensor: Key }
model.layers.9.self_attn.o_proj.weight	Layer { index: 9, tensor: AttentionOutput }
model.layers.9.self_attn.v_proj.weight	Layer { index: 9, tensor: Value }
model.layers.9.self_attn.q_norm.weight	Layer { index: 9, tensor: QueryNorm }
model.layers.9.self_attn.k_norm.weight	Layer { index: 9, tensor: KeyNorm }
model.layers.9.self_attn.g_proj.weight	Layer { index: 9, tensor: AttentionGate }
model.layers.9.post_attention_layernorm.weight	Layer { index: 9, tensor: PreMlpNorm }
model.layers.9.moe.gate.weight	Layer { index: 9, tensor: MoeRouter }
model.layers.9.moe.router_bias	Layer { index: 9, tensor: MoeRouterBias }
model.layers.9.moe.gate_proj.weight	Layer { index: 9, tensor: MoeExpertGateBank }
model.layers.9.moe.up_proj.weight	Layer { index: 9, tensor: MoeExpertUpBank }
model.layers.9.moe.down_proj.weight	Layer { index: 9, tensor: MoeExpertDownBank }
model.layers.9.share_expert.gate_proj.weight	Layer { index: 9, tensor: SharedMlpGate }
model.layers.9.share_expert.up_proj.weight	Layer { index: 9, tensor: SharedMlpUp }
model.layers.9.share_expert.down_proj.weight	Layer { index: 9, tensor: SharedMlpDown }
model.layers.10.input_layernorm.weight	Layer { index: 10, tensor: PreAttentionNorm }
model.layers.10.self_attn.q_proj.weight	Layer { index: 10, tensor: Query }
model.layers.10.self_attn.k_proj.weight	Layer { index: 10, tensor: Key }
model.layers.10.self_attn.o_proj.weight	Layer { index: 10, tensor: AttentionOutput }
model.layers.10.self_attn.v_proj.weight	Layer { index: 10, tensor: Value }
model.layers.10.self_attn.q_norm.weight	Layer { index: 10, tensor: QueryNorm }
model.layers.10.self_attn.k_norm.weight	Layer { index: 10, tensor: KeyNorm }
model.layers.10.self_attn.g_proj.weight	Layer { index: 10, tensor: AttentionGate }
model.layers.10.post_attention_layernorm.weight	Layer { index: 10, tensor: PreMlpNorm }
model.layers.10.moe.gate.weight	Layer { index: 10, tensor: MoeRouter }
model.layers.10.moe.router_bias	Layer { index: 10, tensor: MoeRouterBias }
model.layers.10.moe.gate_proj.weight	Layer { index: 10, tensor: MoeExpertGateBank }
model.layers.10.moe.up_proj.weight	Layer { index: 10, tensor: MoeExpertUpBank }
model.layers.10.moe.down_proj.weight	Layer { index: 10, tensor: MoeExpertDownBank }
model.layers.10.share_expert.gate_proj.weight	Layer { index: 10, tensor: SharedMlpGate }
model.layers.10.share_expert.up_proj.weight	Layer { index: 10, tensor: SharedMlpUp }
model.layers.10.share_expert.down_proj.weight	Layer { index: 10, tensor: SharedMlpDown }
model.layers.11.input_layernorm.weight	Layer { index: 11, tensor: PreAttentionNorm }
model.layers.11.self_attn.q_proj.weight	Layer { index: 11, tensor: Query }
model.layers.11.self_attn.k_proj.weight	Layer { index: 11, tensor: Key }
model.layers.11.self_attn.o_proj.weight	Layer { index: 11, tensor: AttentionOutput }
model.layers.11.self_attn.v_proj.weight	Layer { index: 11, tensor: Value }
model.layers.11.self_attn.q_norm.weight	Layer { index: 11, tensor: QueryNorm }
model.layers.11.self_attn.k_norm.weight	Layer { index: 11, tensor: KeyNorm }
model.layers.11.self_attn.g_proj.weight	Layer { index: 11, tensor: AttentionGate }
model.layers.11.post_attention_layernorm.weight	Layer { index: 11, tensor: PreMlpNorm }
model.layers.11.moe.gate.weight	Layer { index: 11, tensor: MoeRouter }
model.layers.11.moe.router_bias	Layer { index: 11, tensor: MoeRouterBias }
model.layers.11.moe.gate_proj.weight	Layer { index: 11, tensor: MoeExpertGateBank }
model.layers.11.moe.up_proj.weight	Layer { index: 11, tensor: MoeExpertUpBank }
model.layers.11.moe.down_proj.weight	Layer { index: 11, tensor: MoeExpertDownBank }
model.layers.11.share_expert.gate_proj.weight	Layer { index: 11, tensor: SharedMlpGate }
model.layers.11.share_expert.up_proj.weight	Layer { index: 11, tensor: SharedMlpUp }
model.layers.11.share_expert.down_proj.weight	Layer { index: 11, tensor: SharedMlpDown }
model.layers.12.input_layernorm.weight	Layer { index: 12, tensor: PreAttentionNorm }
model.layers.12.self_attn.q_proj.weight	Layer { index: 12, tensor: Query }
model.layers.12.self_attn.k_proj.weight	Layer { index: 12, tensor: Key }
model.layers.12.self_attn.o_proj.weight	Layer { index: 12, tensor: AttentionOutput }
model.layers.12.self_attn.v_proj.weight	Layer { index: 12, tensor: Value }
model.layers.12.self_attn.q_norm.weight	Layer { index: 12, tensor: QueryNorm }
model.layers.12.self_attn.k_norm.weight	Layer { index: 12, tensor: KeyNorm }
model.layers.12.self_attn.g_proj.weight	Layer { index: 12, tensor: AttentionGate }
model.layers.12.post_attention_layernorm.weight	Layer { index: 12, tensor: PreMlpNorm }
model.layers.12.moe.gate.weight	Layer { index: 12, tensor: MoeRouter }
model.layers.12.moe.router_bias	Layer { index: 12, tensor: MoeRouterBias }
model.layers.12.moe.gate_proj.weight	Layer { index: 12, tensor: MoeExpertGateBank }
model.layers.12.moe.up_proj.weight	Layer { index: 12, tensor: MoeExpertUpBank }
model.layers.12.moe.down_proj.weight	Layer { index: 12, tensor: MoeExpertDownBank }
model.layers.12.share_expert.gate_proj.weight	Layer { index: 12, tensor: SharedMlpGate }
model.layers.12.share_expert.up_proj.weight	Layer { index: 12, tensor: SharedMlpUp }
model.layers.12.share_expert.down_proj.weight	Layer { index: 12, tensor: SharedMlpDown }
model.layers.13.input_layernorm.weight	Layer { index: 13, tensor: PreAttentionNorm }
model.layers.13.self_attn.q_proj.weight	Layer { index: 13, tensor: Query }
model.layers.13.self_attn.k_proj.weight	Layer { index: 13, tensor: Key }
model.layers.13.self_attn.o_proj.weight	Layer { index: 13, tensor: AttentionOutput }
model.layers.13.self_attn.v_proj.weight	Layer { index: 13, tensor: Value }
model.layers.13.self_attn.q_norm.weight	Layer { index: 13, tensor: QueryNorm }
model.layers.13.self_attn.k_norm.weight	Layer { index: 13, tensor: KeyNorm }
model.layers.13.self_attn.g_proj.weight	Layer { index: 13, tensor: AttentionGate }
model.layers.13.post_attention_layernorm.weight	Layer { index: 13, tensor: PreMlpNorm }
model.layers.13.moe.gate.weight	Layer { index: 13, tensor: MoeRouter }
model.layers.13.moe.router_bias	Layer { index: 13, tensor: MoeRouterBias }
model.layers.13.moe.gate_proj.weight	Layer { index: 13, tensor: MoeExpertGateBank }
model.layers.13.moe.up_proj.weight	Layer { index: 13, tensor: MoeExpertUpBank }
model.layers.13.moe.down_proj.weight	Layer { index: 13, tensor: MoeExpertDownBank }
model.layers.13.share_expert.gate_proj.weight	Layer { index: 13, tensor: SharedMlpGate }
model.layers.13.share_expert.up_proj.weight	Layer { index: 13, tensor: SharedMlpUp }
model.layers.13.share_expert.down_proj.weight	Layer { index: 13, tensor: SharedMlpDown }
model.layers.14.input_layernorm.weight	Layer { index: 14, tensor: PreAttentionNorm }
model.layers.14.self_attn.q_proj.weight	Layer { index: 14, tensor: Query }
model.layers.14.self_attn.k_proj.weight	Layer { index: 14, tensor: Key }
model.layers.14.self_attn.o_proj.weight	Layer { index: 14, tensor: AttentionOutput }
model.layers.14.self_attn.v_proj.weight	Layer { index: 14, tensor: Value }
model.layers.14.self_attn.q_norm.weight	Layer { index: 14, tensor: QueryNorm }
model.layers.14.self_attn.k_norm.weight	Layer { index: 14, tensor: KeyNorm }
model.layers.14.self_attn.g_proj.weight	Layer { index: 14, tensor: AttentionGate }
model.layers.14.post_attention_layernorm.weight	Layer { index: 14, tensor: PreMlpNorm }
model.layers.14.moe.gate.weight	Layer { index: 14, tensor: MoeRouter }
model.layers.14.moe.router_bias	Layer { index: 14, tensor: MoeRouterBias }
model.layers.14.moe.gate_proj.weight	Layer { index: 14, tensor: MoeExpertGateBank }
model.layers.14.moe.up_proj.weight	Layer { index: 14, tensor: MoeExpertUpBank }
model.layers.14.moe.down_proj.weight	Layer { index: 14, tensor: MoeExpertDownBank }
model.layers.14.share_expert.gate_proj.weight	Layer { index: 14, tensor: SharedMlpGate }
model.layers.14.share_expert.up_proj.weight	Layer { index: 14, tensor: SharedMlpUp }
model.layers.14.share_expert.down_proj.weight	Layer { index: 14, tensor: SharedMlpDown }
model.layers.15.input_layernorm.weight	Layer { index: 15, tensor: PreAttentionNorm }
model.layers.15.self_attn.q_proj.weight	Layer { index: 15, tensor: Query }
model.layers.15.self_attn.k_proj.weight	Layer { index: 15, tensor: Key }
model.layers.15.self_attn.o_proj.weight	Layer { index: 15, tensor: AttentionOutput }
model.layers.15.self_attn.v_proj.weight	Layer { index: 15, tensor: Value }
model.layers.15.self_attn.q_norm.weight	Layer { index: 15, tensor: QueryNorm }
model.layers.15.self_attn.k_norm.weight	Layer { index: 15, tensor: KeyNorm }
model.layers.15.self_attn.g_proj.weight	Layer { index: 15, tensor: AttentionGate }
model.layers.15.post_attention_layernorm.weight	Layer { index: 15, tensor: PreMlpNorm }
model.layers.15.moe.gate.weight	Layer { index: 15, tensor: MoeRouter }
model.layers.15.moe.router_bias	Layer { index: 15, tensor: MoeRouterBias }
model.layers.15.moe.gate_proj.weight	Layer { index: 15, tensor: MoeExpertGateBank }
model.layers.15.moe.up_proj.weight	Layer { index: 15, tensor: MoeExpertUpBank }
