timestamp, pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/11 22:03:18.821, P0, 80, 2310 MHz, 149.69 W, 3166 MiB
2026/08/11 22:03:19.022, P0, 80, 2310 MHz, 149.69 W, 3166 MiB
2026/08/11 22:03:19.222, P0, 78, 1747 MHz, 174.20 W, 157 MiB
2026/08/11 22:03:19.436, P0, 78, 1747 MHz, 174.20 W, 3166 MiB
2026/08/11 22:03:19.636, P0, 78, 1747 MHz, 174.20 W, 3166 MiB
2026/08/11 22:03:19.837, P0, 80, 1800 MHz, 134.20 W, 3166 MiB
2026/08/11 22:03:20.037, P0, 80, 1800 MHz, 134.20 W, 3166 MiB
2026/08/11 22:03:20.237, P0, 81, 2032 MHz, 152.45 W, 3166 MiB
2026/08/11 22:03:20.437, P0, 81, 2032 MHz, 152.45 W, 3166 MiB
2026/08/11 22:03:20.637, P0, 81, 2032 MHz, 152.45 W, 3166 MiB
2026/08/11 22:03:20.838, P0, 80, 1710 MHz, 174.68 W, 3166 MiB
2026/08/11 22:03:21.038, P0, 80, 1710 MHz, 174.68 W, 418 MiB
2026/08/11 22:03:21.239, P0, 75, 2025 MHz, 153.21 W, 172 MiB
2026/08/11 22:03:21.439, P0, 75, 2025 MHz, 153.21 W, 3166 MiB
2026/08/11 22:03:21.640, P0, 75, 2025 MHz, 153.21 W, 3166 MiB
2026/08/11 22:03:21.840, P0, 81, 1995 MHz, 146.32 W, 3166 MiB
2026/08/11 22:03:22.040, P0, 81, 1995 MHz, 146.32 W, 3166 MiB
2026/08/11 22:03:22.240, P0, 81, 2002 MHz, 151.74 W, 3166 MiB
2026/08/11 22:03:22.441, P0, 81, 2002 MHz, 151.74 W, 3166 MiB
2026/08/11 22:03:22.641, P0, 81, 2002 MHz, 151.74 W, 3166 MiB
2026/08/11 22:03:22.841, P0, 82, 1852 MHz, 173.75 W, 3166 MiB
2026/08/11 22:03:23.041, P0, 82, 1852 MHz, 173.75 W, 157 MiB
2026/08/11 22:03:23.242, P0, 74, 1890 MHz, 140.51 W, 3166 MiB
2026/08/11 22:03:23.442, P0, 74, 1890 MHz, 140.51 W, 3166 MiB
2026/08/11 22:03:23.642, P0, 74, 1890 MHz, 140.51 W, 3166 MiB
2026/08/11 22:03:23.842, P0, 82, 2295 MHz, 154.80 W, 3166 MiB
2026/08/11 22:03:24.043, P0, 82, 2295 MHz, 154.80 W, 3166 MiB
2026/08/11 22:03:24.243, P0, 79, 2182 MHz, 163.80 W, 3166 MiB
2026/08/11 22:03:24.443, P0, 79, 2182 MHz, 163.80 W, 157 MiB
2026/08/11 22:03:24.644, P0, 79, 2182 MHz, 163.80 W, 3166 MiB
2026/08/11 22:03:24.844, P0, 78, 1777 MHz, 136.72 W, 3166 MiB
2026/08/11 22:03:25.045, P0, 78, 1777 MHz, 136.72 W, 3166 MiB
2026/08/11 22:03:25.245, P0, 83, 2295 MHz, 149.35 W, 3166 MiB
2026/08/11 22:03:25.445, P0, 83, 2295 MHz, 149.35 W, 3166 MiB
2026/08/11 22:03:25.645, P0, 83, 2295 MHz, 149.35 W, 3166 MiB
2026/08/11 22:03:25.846, P0, 79, 1942 MHz, 173.14 W, 157 MiB
2026/08/11 22:03:26.046, P0, 79, 1942 MHz, 173.14 W, 3166 MiB
2026/08/11 22:03:26.246, P0, 81, 1642 MHz, 136.23 W, 3166 MiB
2026/08/11 22:03:26.446, P0, 81, 1642 MHz, 136.23 W, 3166 MiB
2026/08/11 22:03:26.647, P0, 81, 1642 MHz, 136.23 W, 3166 MiB
2026/08/11 22:03:26.847, P0, 83, 2017 MHz, 150.31 W, 3166 MiB
2026/08/11 22:03:27.047, P0, 83, 2017 MHz, 150.31 W, 3166 MiB
2026/08/11 22:03:27.248, P0, 82, 1710 MHz, 175.49 W, 3166 MiB
2026/08/11 22:03:27.448, P0, 82, 1710 MHz, 175.49 W, 3166 MiB
2026/08/11 22:03:27.648, P0, 82, 1710 MHz, 175.49 W, 418 MiB
