timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 22:16:50.892, 0, P0, 2422 MHz, 12481 MHz, 88.04 W, 600.00 W, 44, 14739 MiB, 0 %
2026/09/22 22:16:51.892, 0, P0, 2422 MHz, 12481 MHz, 299.91 W, 600.00 W, 56, 19571 MiB, 100 %
2026/09/22 22:16:52.893, 0, P0, 2422 MHz, 12481 MHz, 426.15 W, 600.00 W, 50, 19571 MiB, 97 %
2026/09/22 22:16:53.893, 0, P0, 2422 MHz, 12481 MHz, 314.14 W, 600.00 W, 49, 19571 MiB, 97 %
2026/09/22 22:16:54.894, 0, P0, 2422 MHz, 12481 MHz, 321.63 W, 600.00 W, 48, 19571 MiB, 92 %
2026/09/22 22:16:55.895, 0, P0, 2415 MHz, 12481 MHz, 420.24 W, 600.00 W, 54, 19571 MiB, 99 %
2026/09/22 22:16:56.896, 0, P0, 2415 MHz, 12481 MHz, 450.69 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:57.896, 0, P0, 2422 MHz, 12481 MHz, 318.19 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:16:58.897, 0, P0, 2422 MHz, 12481 MHz, 321.40 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:16:59.898, 0, P0, 2422 MHz, 12481 MHz, 317.36 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:17:00.899, 0, P0, 2422 MHz, 12481 MHz, 322.57 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:17:01.900, 0, P0, 2415 MHz, 12481 MHz, 427.83 W, 600.00 W, 56, 19573 MiB, 99 %
2026/09/22 22:17:02.900, 0, P0, 2422 MHz, 12481 MHz, 445.42 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:03.901, 0, P0, 2422 MHz, 12481 MHz, 319.86 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:04.902, 0, P0, 2422 MHz, 12481 MHz, 319.40 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:17:05.903, 0, P0, 2422 MHz, 12481 MHz, 316.64 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:17:06.904, 0, P0, 2422 MHz, 12481 MHz, 322.45 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:17:07.905, 0, P0, 2415 MHz, 12481 MHz, 431.93 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:17:08.905, 0, P0, 2415 MHz, 12481 MHz, 439.99 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:09.906, 0, P0, 2422 MHz, 12481 MHz, 321.14 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:10.907, 0, P0, 2422 MHz, 12481 MHz, 322.28 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:11.908, 0, P0, 2422 MHz, 12481 MHz, 317.93 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:12.909, 0, P0, 2422 MHz, 12481 MHz, 323.33 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:13.909, 0, P0, 2415 MHz, 12481 MHz, 438.22 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:14.910, 0, P0, 2422 MHz, 12481 MHz, 433.02 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:15.911, 0, P0, 2422 MHz, 12481 MHz, 321.66 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:16.912, 0, P0, 2422 MHz, 12481 MHz, 321.19 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:17.913, 0, P0, 2422 MHz, 12481 MHz, 318.17 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:18.914, 0, P0, 2422 MHz, 12481 MHz, 323.49 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:19.914, 0, P0, 2415 MHz, 12481 MHz, 446.41 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:20.915, 0, P0, 2422 MHz, 12481 MHz, 426.48 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:21.916, 0, P0, 2422 MHz, 12481 MHz, 323.07 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:22.917, 0, P0, 2422 MHz, 12481 MHz, 339.45 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:17:23.917, 0, P0, 2415 MHz, 12481 MHz, 475.95 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:17:24.918, 0, P0, 2422 MHz, 12481 MHz, 375.78 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:25.919, 0, P0, 2422 MHz, 12481 MHz, 328.21 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:26.920, 0, P0, 2422 MHz, 12481 MHz, 317.97 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:27.920, 0, P0, 2422 MHz, 12481 MHz, 322.58 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:28.921, 0, P0, 2422 MHz, 12481 MHz, 342.90 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:17:29.922, 0, P0, 2415 MHz, 12481 MHz, 473.85 W, 600.00 W, 56, 19573 MiB, 99 %
2026/09/22 22:17:30.923, 0, P0, 2422 MHz, 12481 MHz, 373.77 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:31.924, 0, P0, 2422 MHz, 12481 MHz, 328.87 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:32.924, 0, P0, 2422 MHz, 12481 MHz, 315.91 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:17:33.925, 0, P0, 2422 MHz, 12481 MHz, 324.22 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:17:34.926, 0, P0, 2422 MHz, 12481 MHz, 352.59 W, 600.00 W, 57, 19573 MiB, 99 %
