#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:12:29       0    504     65      -    100     26      0      0      0      0  12481   2422  27987  27986      0 
 20260812    18:12:30       0    501     66      -    100     28      0      0      0      0  12481   2422  27987  27986      0 
 20260812    18:12:31       0    486     65      -    100     24      0      0      0      0  12481   2415  27987  27986      0 
 20260812    18:12:32       0    415     60      -    100     67      0      0      0      0  12481   2407  27987  27986      0 
 20260812    18:12:33       0    408     65      -    100     28      0      0      0      0  12481   2422  27987  27986      0 
 20260812    18:12:34       0    511     66      -    100     29      0      0      0      0  12481   2422  28819  28818      0 
 20260812    18:12:35       0    514     66      -    100     28      0      0      0      0  12481   2422  28819  28818      0 
 20260812    18:12:36       0    507     65      -    100     29      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:37       0    511     67      -     99     31      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:38       0    517     67      -    100     29      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:39       0    510     65      -    100     28      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:40       0    506     66      -     97     30      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:41       0    508     67      -    100     28      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:42       0    509     67      -    100     28      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:43       0    500     66      -    100     26      0      0      0      0  12481   2422  28915  28914      0 
 20260812    18:12:44       0    503     66      -    100     27      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:45       0    501     65      -    100     23      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:46       0    488     67      -    100     25      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:12:47       0    499     66      -    100     27      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:48       0    480     65      -    100     24      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:12:49       0    397     61      -     99     48      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:12:50       0    376     61      -     99     48      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:12:51       0    465     67      -    100     29      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:52       0    516     67      -    100     29      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:53       0    510     65      -    100     30      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:54       0    509     67      -    100     28      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:55       0    508     66      -    100     26      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:56       0    505     66      -    100     27      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:57       0    503     67      -    100     26      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:58       0    497     66      -    100     26      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:12:59       0    496     66      -     99     29      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:00       0    482     66      -    100     26      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:01       0    448     61      -     99     60      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:02       0    376     60      -     99     60      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:03       0    472     66      -    100     33      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:04       0    423     59      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:05       0    453     65      -    100     34      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:06       0    448     59      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:07       0    427     65      -    100     33      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:08       0    473     60      -    100     25      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:09       0    400     64      -    100     34      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:10       0    492     64      -    100     33      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:11       0    382     63      -     95     77      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:12       0    502     65      -    100     34      0      0      0      0  12481   2422  29555  29554      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:13:13       0    382     58      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:14       0    490     65      -    100     36      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:15       0    393     58      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:16       0    481     66      -    100     34      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:17       0    418     58      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:18       0    455     65      -    100     34      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:19       0    440     58      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:20       0    408     64      -    100     29      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:21       0    459     63      -    100     25      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:22       0    380     59      -     99     48      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:23       0    374     59      -     99     48      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:24       0    463     64      -    100     29      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:25       0    416     59      -     99     60      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:26       0    352     56      -     84     67      0      0      0      0  12481   2385  29555  29554      0 
 20260812    18:13:27       0    347     57      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:28       0    353     57      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:29       0    353     56      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:30       0    352     56      -     99     80      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:31       0    352     56      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:32       0    352     56      -    100     81      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:33       0    461     63      -    100     29      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:34       0    484     62      -    100     26      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:35       0    470     63      -    100     24      0      0      0      0  12481   2415  29555  29554      0 
 20260812    18:13:36       0    374     58      -     99     44      0      0      0      0  12481   2400  29555  29554      0 
 20260812    18:13:37       0    373     58      -     99     44      0      0      0      0  12481   2400  29555  29554      0 
 20260812    18:13:38       0    369     57      -     99     67      0      0      0      0  12481   2407  29555  29554      0 
 20260812    18:13:39       0    413     63      -    100     30      0      0      0      0  12481   2422  29555  29554      0 
 20260812    18:13:40       0    509     64      -    100     29      0      0      0      0  12481   2422  30579  30578      0 
 20260812    18:13:41       0    509     65      -    100     29      0      0      0      0  12481   2422  30579  30578      0 
 20260812    18:13:42       0    514     65      -    100     29      0      0      0      0  12481   2422  30579  30578      0 
 20260812    18:13:43       0    510     65      -    100     28      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:44       0    505     65      -    100     28      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:45       0    515     66      -    100     29      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:46       0    516     66      -    100     29      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:47       0    509     64      -    100     28      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:48       0    500     65      -    100     28      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:49       0    505     65      -    100     28      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:50       0    508     66      -     99     30      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:51       0    506     65      -    100     27      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:52       0    493     65      -    100     25      0      0      0      0  12481   2422  30707  30706      0 
 20260812    18:13:53       0    495     66      -    100     28      0      0      0      0  12481   2422  30867  30866      0 
 20260812    18:13:54       0    500     65      -     99     29      0      0      0      0  12481   2422  30867  30866      0 
 20260812    18:13:55       0    502     66      -    100     26      0      0      0      0  12481   2422  30867  30866      0 
 20260812    18:13:56       0    484     65      -    100     26      0      0      0      0  12481   2415  30867  30866      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:13:57       0    495     65      -    100     28      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:13:58       0    503     66      -    100     28      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:13:59       0    483     66      -    100     26      0      0      0      0  12481   2415  31091  31090      0 
 20260812    18:14:00       0    415     61      -    100     44      0      0      0      0  12481   2400  31091  31090      0 
 20260812    18:14:01       0    377     60      -     99     44      0      0      0      0  12481   2400  31091  31090      0 
 20260812    18:14:02       0    374     60      -     99     44      0      0      0      0  12481   2400  31091  31090      0 
 20260812    18:14:03       0    516     66      -    100     30      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:14:04       0    511     66      -    100     29      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:14:05       0    504     65      -    100     27      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:14:06       0    502     66      -    100     28      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:14:07       0    482     65      -    100     24      0      0      0      0  12481   2415  31091  31090      0 
 20260812    18:14:08       0    395     60      -    100     67      0      0      0      0  12481   2407  31091  31090      0 
 20260812    18:14:09       0    454     66      -    100     30      0      0      0      0  12481   2422  31091  31090      0 
 20260812    18:14:10       0    515     66      -    100     29      0      0      0      0  12481   2422  32371  32370      0 
 20260812    18:14:11       0    517     64      -    100     29      0      0      0      0  12481   2422  32403  32402      0 
 20260812    18:14:12       0    521     67      -    100     29      0      0      0      0  12481   2422  32403  32402      0 
 20260812    18:14:13       0    513     66      -    100     28      0      0      0      0  12481   2422  32403  32402      0 
 20260812    18:14:14       0    510     67      -    100     28      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:15       0    509     66      -     99     30      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:16       0    512     67      -    100     29      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:17       0    512     67      -    100     29      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:18       0    521     67      -    100     29      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:19       0    509     66      -    100     28      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:20       0    503     66      -    100     27      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:21       0    509     67      -    100     28      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:22       0    507     66      -    100     28      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:23       0    511     67      -    100     28      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:24       0    508     67      -    100     27      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:25       0    497     67      -    100     27      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:26       0    494     67      -    100     26      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:27       0    503     68      -    100     26      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:28       0    504     67      -    100     26      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:29       0    503     67      -    100     26      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:30       0    493     67      -    100     25      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:14:31       0    485     66      -    100     26      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:14:32       0    491     67      -    100     25      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:14:33       0    495     67      -    100     27      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:34       0    483     66      -    100     26      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:14:35       0    417     61      -    100     51      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:14:36       0    378     61      -     99     52      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:14:37       0    377     61      -     99     50      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:14:38       0    376     60      -     98     48      0      0      0      0  12481   2400  32915  32914      0 
 20260812    18:14:40       0    467     65      -    100     35      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:41       0    414     59      -    100     81      0      0      0      0  12481   2422  32915  32914      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:14:42       0    459     65      -    100     33      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:43       0    438     59      -    100     81      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:44       0    435     64      -    100     34      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:45       0    450     59      -    100     81      0      0      0      0  12481   2415  32915  32914      0 
 20260812    18:14:46       0    423     64      -    100     33      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:47       0    474     60      -    100     25      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:48       0    397     64      -    100     35      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:49       0    492     64      -    100     31      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:50       0    381     64      -     95     75      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:51       0    501     64      -    100     33      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:52       0    379     58      -    100     81      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:53       0    493     63      -    100     34      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:54       0    405     58      -    100     81      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:55       0    465     64      -    100     33      0      0      0      0  12481   2422  32915  32914      0 
 20260812    18:14:56       0    430     58      -    100     81      0      0      0      0  12481   2422  32915  32914      0 
