timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 14:58:10.952, 76, 174.81 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:11.202, 76, 174.81 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:11.452, 76, 174.75 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:11.703, 76, 174.75 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:11.953, 76, 174.92 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:12.203, 76, 174.92 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:12.453, 76, 174.66 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:12.704, 76, 174.66 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:12.954, 77, 174.78 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:13.204, 77, 174.78 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:13.454, 77, 174.68 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:13.705, 77, 174.68 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:13.955, 77, 174.76 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:14.205, 77, 174.76 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:14.455, 77, 174.82 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:14.706, 77, 174.82 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:14.956, 77, 174.74 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:15.207, 77, 174.74 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:15.457, 77, 174.85 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:15.708, 77, 174.85 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:15.958, 77, 174.80 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:16.208, 77, 174.80 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:16.458, 77, 174.82 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:16.708, 77, 174.82 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:16.959, 77, 174.71 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:17.209, 77, 174.71 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:17.459, 77, 174.72 W, 2595 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:17.709, 77, 174.72 W, 2595 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:17.960, 77, 174.70 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:18.210, 77, 174.70 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:18.460, 77, 174.69 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:18.710, 77, 174.69 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:18.960, 78, 174.73 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:19.211, 78, 174.73 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:19.461, 78, 174.72 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:19.711, 78, 174.72 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:19.961, 78, 174.71 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:20.212, 78, 174.71 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:20.462, 78, 174.76 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:20.712, 78, 174.76 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:20.963, 78, 174.73 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:21.213, 78, 174.73 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:21.464, 78, 174.72 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:21.714, 78, 174.72 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:21.964, 78, 174.75 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:22.214, 78, 174.75 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:22.465, 78, 174.80 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:22.715, 78, 174.80 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:22.965, 78, 174.76 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:23.216, 78, 174.76 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:23.467, 78, 174.82 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:23.717, 78, 174.82 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:23.967, 78, 174.61 W, 2580 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:24.218, 78, 174.61 W, 2580 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:24.468, 78, 174.78 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:24.718, 78, 174.78 W, 2587 MHz, 14001 MHz, 831 MiB, 100 %
2026/09/24 14:58:24.968, 79, 174.78 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:25.235, 79, 174.78 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:25.485, 79, 174.85 W, 2587 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:25.735, 79, 174.85 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:25.985, 79, 174.76 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:26.235, 79, 174.76 W, 2572 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:26.486, 79, 174.68 W, 2587 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:26.736, 79, 174.68 W, 2587 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:26.986, 79, 174.72 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:27.236, 79, 174.72 W, 2572 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:27.486, 79, 174.66 W, 2580 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:27.737, 79, 174.66 W, 2580 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:27.987, 79, 174.78 W, 2580 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:28.237, 79, 174.78 W, 2580 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:28.487, 79, 174.74 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:28.737, 79, 174.74 W, 2572 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:28.988, 79, 174.79 W, 2580 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:29.238, 79, 174.79 W, 2580 MHz, 14001 MHz, 823 MiB, 100 %
2026/09/24 14:58:29.488, 79, 174.68 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:29.738, 79, 174.68 W, 2572 MHz, 14001 MHz, 855 MiB, 100 %
2026/09/24 14:58:29.989, 79, 174.85 W, 2587 MHz, 14001 MHz, 855 MiB, 100 %
