t	layer	projection	row	bit_diffs	current_argmax	fused_argmax	status
2	30	4	1	0	19	19	PASS
2	30	5	0	0	49	49	PASS
2	30	5	1	0	61	61	PASS
2	32	0	0	0	305	305	PASS
2	32	0	1	0	1361	1361	PASS
2	32	1	0	0	489	489	PASS
2	32	1	1	0	489	489	PASS
2	32	2	0	0	666	666	PASS
2	32	2	1	0	551	551	PASS
2	32	3	0	0	73	73	PASS
2	32	3	1	0	73	73	PASS
2	32	4	0	0	78	78	PASS
2	32	4	1	0	25	25	PASS
2	32	5	0	0	17	17	PASS
2	32	5	1	0	9	9	PASS
2	33	0	0	0	4898	4898	PASS
2	33	0	1	0	4898	4898	PASS
2	33	1	0	0	4898	4898	PASS
2	33	1	1	0	4881	4881	PASS
2	33	2	0	0	6249	6249	PASS
2	33	2	1	0	6249	6249	PASS
2	33	3	0	0	21	21	PASS
2	33	3	1	0	86	86	PASS
2	33	4	0	0	53	53	PASS
2	33	4	1	0	53	53	PASS
2	33	5	0	0	38	38	PASS
2	33	5	1	0	38	38	PASS
2	34	0	0	0	4678	4678	PASS
2	34	0	1	0	4678	4678	PASS
2	34	1	0	0	2301	2301	PASS
2	34	1	1	0	2301	2301	PASS
2	34	2	0	0	4610	4610	PASS
2	34	2	1	0	4610	4610	PASS
2	34	3	0	0	118	118	PASS
2	34	3	1	0	118	118	PASS
2	34	4	0	0	110	110	PASS
2	34	4	1	0	110	110	PASS
2	34	5	0	0	17	17	PASS
2	34	5	1	0	17	17	PASS
2	36	0	0	0	643	643	PASS
2	36	0	1	0	643	643	PASS
2	36	1	0	0	4110	4110	PASS
2	36	1	1	0	4110	4110	PASS
2	36	2	0	0	4680	4680	PASS
2	36	2	1	0	4680	4680	PASS
2	36	3	0	0	88	88	PASS
2	36	3	1	0	27	27	PASS
2	36	4	0	0	27	27	PASS
2	36	4	1	0	27	27	PASS
2	36	5	0	0	40	40	PASS
2	36	5	1	0	3	3	PASS
2	37	0	0	0	7407	7407	PASS
2	37	0	1	0	7407	7407	PASS
2	37	1	0	0	2546	2546	PASS
2	37	1	1	0	5472	5472	PASS
2	37	2	0	0	5220	5220	PASS
2	37	2	1	0	5436	5436	PASS
2	37	3	0	0	29	29	PASS
2	37	3	1	0	46	46	PASS
2	37	4	0	0	53	53	PASS
2	37	4	1	0	87	87	PASS
2	37	5	0	0	62	62	PASS
2	37	5	1	0	38	38	PASS
2	38	0	0	0	1793	1793	PASS
2	38	0	1	0	5071	5071	PASS
2	38	1	0	0	4743	4743	PASS
2	38	1	1	0	4743	4743	PASS
2	38	2	0	0	4784	4784	PASS
2	38	2	1	0	4018	4018	PASS
2	38	3	0	0	28	28	PASS
2	38	3	1	0	47	47	PASS
2	38	4	0	0	17	17	PASS
2	38	4	1	0	17	17	PASS
2	38	5	0	0	0	0	PASS
2	38	5	1	0	0	0	PASS
2	40	0	0	0	448	448	PASS
2	40	0	1	0	448	448	PASS
2	40	1	0	0	389	389	PASS
2	40	1	1	0	389	389	PASS
2	40	2	0	0	7980	7980	PASS
2	40	2	1	0	598	598	PASS
2	40	3	0	0	15	15	PASS
2	40	3	1	0	87	87	PASS
2	40	4	0	0	3	3	PASS
2	40	4	1	0	10	10	PASS
2	40	5	0	0	45	45	PASS
2	40	5	1	0	13	13	PASS
2	41	0	0	0	4568	4568	PASS
2	41	0	1	0	3875	3875	PASS
2	41	1	0	0	667	667	PASS
2	41	1	1	0	667	667	PASS
2	41	2	0	0	6129	6129	PASS
2	41	2	1	0	6129	6129	PASS
2	41	3	0	0	28	28	PASS
2	41	3	1	0	28	28	PASS
2	41	4	0	0	61	61	PASS
2	41	4	1	0	33	33	PASS
2	41	5	0	0	15	15	PASS
2	41	5	1	0	15	15	PASS
2	42	0	0	0	3271	3271	PASS
2	42	0	1	0	1895	1895	PASS
2	42	1	0	0	6622	6622	PASS
2	42	1	1	0	6622	6622	PASS
2	42	2	0	0	5168	5168	PASS
2	42	2	1	0	6613	6613	PASS
2	42	3	0	0	93	93	PASS
2	42	3	1	0	100	100	PASS
2	42	4	0	0	122	122	PASS
2	42	4	1	0	122	122	PASS
2	42	5	0	0	7	7	PASS
2	42	5	1	0	7	7	PASS
2	44	0	0	0	7039	7039	PASS
2	44	0	1	0	7039	7039	PASS
2	44	1	0	0	2917	2917	PASS
2	44	1	1	0	2917	2917	PASS
2	44	2	0	0	5971	5971	PASS
2	44	2	1	0	5971	5971	PASS
2	44	3	0	0	71	71	PASS
2	44	3	1	0	117	117	PASS
2	44	4	0	0	70	70	PASS
2	44	4	1	0	88	88	PASS
2	44	5	0	0	1	1	PASS
2	44	5	1	0	9	9	PASS
4	0	0	0	0	191	191	PASS
4	0	0	1	0	1646	1646	PASS
4	0	0	2	0	290	290	PASS
4	0	0	3	0	6779	6779	PASS
4	0	1	0	0	7581	7581	PASS
4	0	1	1	0	7581	7581	PASS
4	0	1	2	0	7581	7581	PASS
4	0	1	3	0	7581	7581	PASS
4	0	2	0	0	3067	3067	PASS
4	0	2	1	0	4650	4650	PASS
4	0	2	2	0	2491	2491	PASS
4	0	2	3	0	6976	6976	PASS
4	0	3	0	0	88	88	PASS
4	0	3	1	0	32	32	PASS
4	0	3	2	0	125	125	PASS
4	0	3	3	0	102	102	PASS
4	0	4	0	0	59	59	PASS
4	0	4	1	0	5	5	PASS
4	0	4	2	0	118	118	PASS
4	0	4	3	0	64	64	PASS
4	0	5	0	0	46	46	PASS
4	0	5	1	0	21	21	PASS
4	0	5	2	0	43	43	PASS
4	0	5	3	0	46	46	PASS
4	1	0	0	0	1402	1402	PASS
4	1	0	1	0	1402	1402	PASS
4	1	0	2	0	1402	1402	PASS
4	1	0	3	0	1402	1402	PASS
4	1	1	0	0	6422	6422	PASS
4	1	1	1	0	6422	6422	PASS
4	1	1	2	0	6422	6422	PASS
4	1	1	3	0	6422	6422	PASS
4	1	2	0	0	1335	1335	PASS
4	1	2	1	0	1335	1335	PASS
4	1	2	2	0	1335	1335	PASS
4	1	2	3	0	1335	1335	PASS
4	1	3	0	0	24	24	PASS
4	1	3	1	0	93	93	PASS
4	1	3	2	0	93	93	PASS
4	1	3	3	0	33	33	PASS
4	1	4	0	0	111	111	PASS
4	1	4	1	0	62	62	PASS
4	1	4	2	0	118	118	PASS
4	1	4	3	0	1	1	PASS
4	1	5	0	0	22	22	PASS
4	1	5	1	0	6	6	PASS
4	1	5	2	0	25	25	PASS
4	1	5	3	0	50	50	PASS
4	2	0	0	0	7295	7295	PASS
4	2	0	1	0	7295	7295	PASS
4	2	0	2	0	7295	7295	PASS
4	2	0	3	0	7295	7295	PASS
4	2	1	0	0	4492	4492	PASS
4	2	1	1	0	4492	4492	PASS
4	2	1	2	0	4492	4492	PASS
4	2	1	3	0	4492	4492	PASS
4	2	2	0	0	7173	7173	PASS
4	2	2	1	0	5336	5336	PASS
4	2	2	2	0	5336	5336	PASS
4	2	2	3	0	3959	3959	PASS
4	2	3	0	0	13	13	PASS
4	2	3	1	0	103	103	PASS
4	2	3	2	0	49	49	PASS
4	2	3	3	0	5	5	PASS
4	2	4	0	0	105	105	PASS
4	2	4	1	0	62	62	PASS
4	2	4	2	0	62	62	PASS
4	2	4	3	0	101	101	PASS
4	2	5	0	0	25	25	PASS
4	2	5	1	0	47	47	PASS
4	2	5	2	0	11	11	PASS
4	2	5	3	0	45	45	PASS
4	4	0	0	0	6586	6586	PASS
4	4	0	1	0	6586	6586	PASS
4	4	0	2	0	6586	6586	PASS
4	4	0	3	0	6586	6586	PASS
4	4	1	0	0	3518	3518	PASS
4	4	1	1	0	3518	3518	PASS
