procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32533952 1582312 382311080    0    0     0     0 3367 2440  2  1 98  0  0  0
 1  0      0 32507404 1582320 382311080    0    0     0    16 3096 2399  1  1 97  0  0  0
 1  0      0 32510268 1582320 382311084    0    0     0     0 2950 2414  1  1 98  0  0  0
 1  0      0 32525376 1582320 382311084    0    0     0     0 3176 2507  2  1 98  0  0  0
 1  0      0 32493120 1582320 382311084    0    0     0     0 2935 2343  2  1 98  0  0  0
 1  0      0 32514248 1582320 382311088    0    0     0     0 3100 2472  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32518124 1582328 382311096    0    0     0   100 3222 2457  1  1 98  0  0  0
 1  0      0 32530724 1582328 382311104    0    0     0     0 2988 2444  2  1 98  0  0  0
 1  0      0 32552252 1582328 382311104    0    0     0     0 2988 2392  1  1 98  0  0  0
 1  0      0 32541568 1582328 382311104    0    0     0     0 2894 2373  1  1 98  0  0  0
 2  0      0 32534284 1582328 382311108    0    0     0     0 3134 2435  2  1 97  0  0  0
 1  0      0 32541224 1582332 382311108    0    0     0    40 3102 2489  1  1 98  0  0  0
 1  0      0 32545540 1582332 382311112    0    0     0     0 3007 2383  1  1 98  0  0  0
 1  0      0 32520404 1582332 382311112    0    0     0     0 3079 2467  2  1 98  0  0  0
 1  0      0 32505020 1582332 382311116    0    0     0     0 2966 2345  2  1 98  0  0  0
 2  0      0 32521912 1582332 382311116    0    0     0     0 3279 2518  1  1 98  0  0  0
 1  0      0 32556296 1582332 382311120    0    0     0    16 5062 3517  1  1 97  0  0  0
 1  0      0 32545652 1582336 382311116    0    0     0    96 3298 2477  2  1 98  0  0  0
 1  0      0 32554404 1582336 382311128    0    0     0     0 3026 2347  1  1 98  0  0  0
 1  0      0 32519492 1582336 382311132    0    0     0     0 3097 2517  1  1 98  0  0  0
 1  0      0 32545832 1582336 382311136    0    0     0     0 3037 2394  2  1 98  0  0  0
 2  0      0 32556632 1582336 382311136    0    0     0  5800 3244 2495  2  1 97  0  0  0
 1  0      0 32576432 1582336 382311140    0    0     0     0 3387 2478  1  1 98  0  0  0
 1  0      0 32542052 1582336 382311140    0    0     0     0 3179 2469  2  1 98  0  0  0
 1  0      0 32522908 1582336 382311144    0    0     0     0 3767 2358  2  1 97  0  0  0
 1  0      0 32502544 1582336 382311152    0    0     0     0 3769 3003  1  1 98  0  0  0
 2  0      0 32529336 1582336 382311152    0    0     0     0 3535 2574  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32532336 1582340 382311156    0    0     0    16 3660 2926  2  1 97  0  0  0
 1  0      0 32554124 1582340 382311156    0    0     0     0 3648 4205  2  0 98  0  0  0
 1  0      0 32535472 1582340 382311160    0    0     0     0 3475 2571  1  1 98  0  0  0
 1  0      0 32500088 1582340 382311168    0    0     0     0 3320 2556  1  1 98  0  0  0
 2  0      0 32458484 1582340 382311168    0    0     0     0 3526 2780  1  1 98  0  0  0
 1  0      0 32454704 1582344 382311168    0    0     0    40 3509 2882  1  1 97  0  0  0
 1  0      0 32475836 1582344 382311168    0    0     0     0 3579 2626  1  1 98  0  0  0
 2  0      0 32490280 1582344 382311172    0    0     0     0 3611 3759  2  1 98  0  0  0
 1  0      0 32510040 1582344 382311172    0    0     0     0 3471 3390  2  1 98  0  0  0
 1  0      0 32521208 1582348 382311168    0    0     0    60 3387 2539  1  1 98  0  0  0
 2  0      0 32507828 1582352 382311172    0    0     0    40 3588 2642  1  1 97  0  0  0
 1  0      0 32540260 1582352 382311176    0    0     0     0 3614 2740  2  1 98  0  0  0
 1  0      0 32548476 1582352 382311180    0    0     0     0 3344 3393  2  1 98  0  0  0
 1  0      0 32545884 1582352 382311180    0    0     0     0 3591 3632  2  1 98  0  0  0
 1  0      0 32546168 1582356 382311184    0    0     0    12 3453 2629  1  1 98  0  0  0
 1  0      0 32534808 1582364 382311188    0    0     0    32 3564 4178  2  0 97  0  0  0
 1  0      0 32550536 1582364 382311188    0    0     0     0 3901 2899  1  1 97  0  0  0
 1  0      0 32550288 1582364 382311192    0    0     0     0 3549 3426  2  1 98  0  0  0
 1  0      0 32545780 1582364 382311320    0    0     0     0 3919 4489  2  0 98  0  0  0
 1  0      0 32520288 1582364 382311324    0    0     0     0 3591 4708  2  0 98  0  0  0
 1  0      0 32495844 1582368 382311324    0    0     0  2656 3658 2960  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 32477092 1582368 382311328    0    0     0    44 3433 2578  1  1 97  0  0  0
 1  0      0 32482080 1582368 382311332    0    0     0     0 3511 2601  1  1 98  0  0  0
 1  0      0 32456804 1582368 382311332    0    0     0     0 3351 2533  1  1 98  0  0  0
 1  0      0 32428640 1582368 382311332    0    0     0     0 3355 2631  1  1 98  0  0  0
 1  0      0 32436712 1582372 382311340    0    0     0    28 3556 4042  2  1 98  0  0  0
 1  0      0 32469740 1582372 382311348    0    0     0     0 3711 3789  2  1 98  0  0  0
 2  0      0 32448844 1582372 382311352    0    0     0     0 3767 2663  1  1 97  0  0  0
 1  0      0 32465648 1582372 382311352    0    0     0     0 3744 2746  1  1 98  0  0  0
 1  0      0 32461248 1582372 382311352    0    0     0     0 4137 4135  2  1 97  0  0  0
 1  0      0 32446692 1582380 382311352    0    0     0   164 3588 3654  2  1 98  0  0  0
 1  0      0 32434260 1582380 382311352    0    0     0     0 3335 2766  2  1 98  0  0  0
 2  0      0 32429120 1582380 382311356    0    0     0     0 3732 4636  2  0 97  0  0  0
 1  0      0 32406440 1582380 382311368    0    0     0     0 3942 3201  1  1 98  0  0  0
 1  0      0 32399680 1582380 382311464    0    0     0     0 3625 2703  1  1 97  0  0  0
 1  0      0 32416404 1582384 382311464    0    0     0    40 3539 2595  1  1 98  0  0  0
 1  0      0 32422428 1582384 382311464    0    0     0     0 3421 2671  1  1 98  0  0  0
 1  0      0 32437884 1582384 382311464    0    0     0     0 3608 4456  2  0 98  0  0  0
 2  0      0 32435460 1582384 382311468    0    0     0     0 3839 3726  1  1 97  0  0  0
 1  0      0 32407676 1582384 382311468    0    0     0     0 3459 2621  1  1 98  0  0  0
 1  0      0 32377564 1582388 382311468    0    0     0    72 3470 2702  1  1 98  0  0  0
 1  0      0 32361436 1582388 382311472    0    0     0    48 3450 2671  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 32352960 1582388 382311488    0    0     0     4 4581 3115  2  1 97  0  0  0
 2  0      0 32320536 1582388 382311516    0    0     0     0 5566 3293  1  1 97  0  0  0
 2  0      0 32342976 1582388 382311520    0    0     0     0 3469 2767  1  1 97  0  0  0
 1  0      0 32398020 1582396 382311520    0    0     0    52 3454 2612  1  1 98  0  0  0
 1  0      0 32404724 1582396 382311520    0    0     0     0 3498 3667  2  1 98  0  0  0
 1  0      0 32437484 1582396 382311524    0    0     0     0 3695 4454  2  1 98  0  0  0
 2  0      0 32410364 1582396 382311524    0    0     0     0 3486 2706  1  1 98  0  0  0
 2  0      0 32400376 1582396 382311532    0    0     0     0 3418 2615  1  1 98  0  0  0
 1  0      0 32453068 1582404 382311532    0    0     0    36 3893 2840  1  1 97  0  0  0
 1  0      0 32431612 1582404 382311536    0    0     0     0 3507 2641  1  1 98  0  0  0
 1  0      0 32435188 1582404 382311540    0    0     0     0 3562 2720  1  1 98  0  0  0
 1  0      0 32437088 1582404 382311544    0    0     0     0 3470 4501  2  0 98  0  0  0
 1  0      0 32423004 1582404 382311544    0    0     0     0 3553 3296  2  1 98  0  0  0
 2  0      0 32447068 1582412 382311544    0    0     0    36 3788 2844  2  1 97  0  0  0
 1  0      0 32481332 1582412 382311544    0    0     0     0 3705 2767  2  1 98  0  0  0
 2  0      0 32478632 1582412 382311548    0    0     0     0 3434 3202  2  1 98  0  0  0
 1  0      0 32493680 1582412 382311708    0    0     0     0 3701 3401  1  1 98  0  0  0
 1  0      0 32499700 1582412 382311708    0    0     0     0 3336 2547  1  1 98  0  0  0
 2  0      0 32492640 1582416 382311708    0    0     0    36 3470 2689  1  1 98  0  0  0
 1  0      0 32513852 1582416 382311716    0    0     0     0 3530 2579  1  1 97  0  0  0
 1  0      0 32511596 1582416 382311724    0    0     0     0 4161 2621  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32493260 1582416 382311724    0    0     0     0 3510 2605  1  1 98  0  0  0
 1  0      0 32486060 1582416 382311724    0    0     0     0 3434 2639  1  1 98  0  0  0
 1  0      0 32499588 1582416 382311724    0    0     0    12 3382 2566  1  1 98  0  0  0
 2  0      0 32485716 1582416 382311724    0    0     0   276 3658 2636  1  1 97  0  0  0
 1  0      0 32508220 1582416 382311728    0    0     0     0 3518 3688  2  1 98  0  0  0
 1  0      0 32543844 1582416 382311728    0    0     0     0 3919 5475  2  0 98  0  0  0
 1  0      0 32527312 1582416 382311728    0    0     0     0 3307 2530  1  1 98  0  0  0
 1  0      0 32575148 1582416 382311728    0    0     0    44 3483 2586  1  1 98  0  0  0
 2  0      0 32556056 1582420 382311724    0    0     0    52 3566 2591  1  2 98  0  0  0
 1  0      0 32575560 1582420 382311740    0    0     0     0 3606 2693  1  1 97  0  0  0
 1  0      0 32581652 1582420 382311740    0    0     0  8404 3591 2812  1  2 98  0  0  0
 1  0      0 32556332 1582420 382311740    0    0     0     0 3269 2547  1  1 98  0  0  0
 1  0      0 32530628 1582424 382311740    0    0     0    44 3391 2573  1  2 98  0  0  0
 2  0      0 32548268 1582424 382311740    0    0     0    84 3637 2679  1  1 98  0  0  0
 1  0      0 32524040 1582424 382311748    0    0     0     0 3522 2616  1  2 97  0  0  0
 2  0      0 32509632 1582424 382311748    0    0     0     0 3616 5010  2  0 98  0  0  0
 1  0      0 32486636 1582424 382311748    0    0     0     0 3615 4228  2  1 98  0  0  0
 1  0      0 32469420 1582428 382311748    0    0     0    28 3533 2669  1  2 98  0  0  0
 1  0      0 32480032 1582428 382311748    0    0     0     0 3415 2550  1  1 98  0  0  0
 2  0      0 32464044 1582428 382311752    0    0     0     0 3398 2590  1  1 98  0  0  0
