epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790274867701,83,572.28,2677,29780,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274867951,83,572.28,2677,30420,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274868201,82,561.92,2685,31092,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274868451,82,561.92,2685,31668,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274868701,77,506.53,2737,31668,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274868951,77,506.53,2737,31668,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274869201,79,465.19,2805,31668,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274869451,79,465.19,2805,31668,70915522560,27166119516,30433869824,3267750308,9,3415048192,0,0,0,0,0,0,0
1790274869701,79,460.19,2805,31668,68768038912,32504759080,32581353472,76594392,16,4813586432,0,0,0,0,0,0,0
1790274869951,79,460.19,2805,31668,68768038912,32504759080,32581353472,76594392,16,4813586432,0,0,0,0,0,0,0
1790274870201,79,474.21,2805,31668,68768038912,32504759080,32581353472,76594392,16,4813586432,0,0,0,0,0,0,0
1790274870451,79,474.21,2805,31700,68768038912,32504759080,32581353472,76594392,16,4813586432,0,0,0,0,0,0,0
1790274870701,79,472.52,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274870951,79,472.52,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274871201,78,456.45,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274871451,78,456.45,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274871701,78,438.67,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274871951,78,438.67,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274872201,78,438.32,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274872451,78,438.32,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274872701,78,437.86,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274872951,78,437.86,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274873201,78,437.71,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274873451,78,437.71,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274873701,78,437.66,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274873951,78,437.66,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274874201,78,437.18,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274874451,78,437.18,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274874701,78,437.27,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274874951,78,437.27,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
1790274875201,78,437.07,2805,31700,68734484480,32504759080,32614907904,110148824,16,4813586432,0,0,0,0,0,0,0
