RETRIEVED_UTC	2026-08-12T22:08:39.570638+00:00
API	https://huggingface.co/api/models?search=qwen3next&filter=gguf&limit=100&expand[]=gguf&expand[]=sha&expand[]=siblings&expand[]=lastModified
HF_QWEN3NEXT_REPOS	74
repo	revision	file	architecture	expert_count	status
lovedheart/Qwen3-Next-REAP-25B-A3B-Instruct-GGUF	12bf71a7b4c21d31ecb2273f950cb3168791334a	Qwen3-Next-25B-A3B-Instruct-BF16.gguf	qwen3next	160	ok
lovedheart/Qwen3-Next-REAP-25B-A3B-Thinking-GGUF	9e68201be0790bf77fafaadff3ca97ae522fe9aa	Qwen3-Next-REAP-25B-A3B-Thinking-BF16.gguf	qwen3next	160	ok
lovedheart/Qwen3-Next-REAP-30B-A3B-Instruct-GGUF	7c78f23a44a98d5833351cef7cac3151cfc02ac6	BF16/Qwen3-Next-30B-A3B-Instruct-BF16-00001-of-00004.gguf	qwen3next	192	ok
lovedheart/Qwen3-Next-REAP-40B-A3B-Instruct-GGUF	c0d40da9fa9b39947d1d18ee1684af36c3ab503b	BF16/Qwen3-Next-REAP-40B-A3B-BF16-00001-of-00005.gguf	qwen3next	256	ok
lovedheart/Qwen3-Next-REAP-40B-A3B-Thinking-GGUF	0ad003af722e313ffce695928ce5e4567bd7e2cd	BF16/Qwen3-Next-REAP-40B-A3B-00001-of-00009.gguf	qwen3next	256	ok
lovedheart/Qwen3-Next-REAP-60B-A3B-Instruct-GGUF	83c90b6bce5d808065d146244e6c3149db687d32	Qwen3-Next-REAP-60B-A3B-Q2_K.gguf	qwen3next	384	ok
meshllm/Qwen3-Next-80B-A3B-Instruct-UD-Q4_K_XL-layers	5bb8f62bd15a00616a324e718d3b7ac547d92a17	layers/layer-000.gguf	qwen3next	512	ok
meshllm/Qwen3-Next-80B-A3B-Thinking-UD-Q4_K_XL-layers	57dc5821d93ee3fa545d0edd556d024915da4532	layers/layer-000.gguf	qwen3next	512	ok
moxin-org/Qwen3-Next-80B-A3B-Instruct-GGUF	d0b587cf5a189bc7626985b28a2e2a4e930554c8	Q8_0/Qwen3-Next-80B-A3B-Instruct-Q8_0-00001-of-00004.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-256E-Abliterated-Instruct-GGUF	6bd225597a93c11564f2c0027244d34069e80ae6	Qwen3-Next-256E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	256	ok
mradermacher/Qwen3-Next-256E-Abliterated-Instruct-i1-GGUF	bd30a587f9f1d3757bac12cd549944dbe88e0bc5	Qwen3-Next-256E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	256	ok
mradermacher/Qwen3-Next-352E-Abliterated-Instruct-GGUF	0f7a3bf25bcd1363ad854653d5bfda425eacac12	Qwen3-Next-352E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	352	ok
mradermacher/Qwen3-Next-352E-Abliterated-Instruct-i1-GGUF	947628129c4a652d9c95f7565424b39f0527b368	Qwen3-Next-352E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	352	ok
mradermacher/Qwen3-Next-384E-Abliterated-Instruct-GGUF	7a07146f1e35b29b94ce3d7f2fb1b071e845cd3b	Qwen3-Next-384E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	384	ok
mradermacher/Qwen3-Next-384E-Abliterated-Instruct-i1-GGUF	3eddd352390789cb997a9a5d81bd69b4d2369655	Qwen3-Next-384E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	384	ok
mradermacher/Qwen3-Next-40B-REAP-ptbr-GGUF	b91da13b35449f2e83e5a5d37a45a8b1a2728888	Qwen3-Next-40B-REAP-ptbr.IQ4_XS.gguf	qwen3next	256	ok
mradermacher/Qwen3-Next-416E-Abliterated-Instruct-GGUF	6b79d69c0f3a62b85ec0157a83fd5fd00272ba63	Qwen3-Next-416E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	416	ok
mradermacher/Qwen3-Next-416E-Abliterated-Instruct-i1-GGUF	a0a0080f97c01c9bbf122141bc4fb020b7fa06a9	Qwen3-Next-416E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	416	ok
mradermacher/Qwen3-Next-448E-Abliterated-Instruct-GGUF	8385ba5f6f289bc3ade2a4bdfee78b44e7325ae9	Qwen3-Next-448E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	448	ok
mradermacher/Qwen3-Next-448E-Abliterated-Instruct-i1-GGUF	f5933f57388999dce2d2a556887f323fece33a11	Qwen3-Next-448E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	448	ok
mradermacher/Qwen3-Next-480E-Abliterated-Instruct-GGUF	531b3eb018a119ed8ac9f579e87b215f4ddc6f3f	Qwen3-Next-480E-Abliterated-Instruct.IQ4_XS.gguf	qwen3next	480	ok
mradermacher/Qwen3-Next-480E-Abliterated-Instruct-i1-GGUF	8bec2bb193427f3a06d4b260cfd62a10ab650df8	Qwen3-Next-480E-Abliterated-Instruct.i1-IQ1_M.gguf	qwen3next	480	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-Decensored-GGUF	d127e011eec9b6610b57461af4b22238261732e0	Qwen3-Next-80B-A3B-Instruct-Decensored.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-Decensored-i1-GGUF	8f8386de050d1c679c80fbc37ae7f74e7592f117	Qwen3-Next-80B-A3B-Instruct-Decensored.i1-IQ1_M.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-GGUF	bba0b37cdb1d96bdfc311a0a5615f2988fe91383	Qwen3-Next-80B-A3B-Instruct.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-REAP-GGUF	be36a7a58f89bf1e1482c946d69930eb9801068a	Qwen3-Next-80B-A3B-Instruct-REAP.IQ4_XS.gguf	qwen3next	384	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-REAP-i1-GGUF	5ce29e6945c137e79b6540dc39f90250ab3c66f7	Qwen3-Next-80B-A3B-Instruct-REAP.i1-IQ1_M.gguf	qwen3next	384	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-abliterated-GGUF	73618a5befccf6d5d3e24be234a49da6dfed02aa	Qwen3-Next-80B-A3B-Instruct-abliterated.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-abliterated-i1-GGUF	d7df63d8560646a0567f6c2e01a4f7c639869338	Qwen3-Next-80B-A3B-Instruct-abliterated.i1-IQ1_M.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Instruct-i1-GGUF	896f5e4ecc717f10a220446c1aaf50801fb9863f	Qwen3-Next-80B-A3B-Instruct.i1-IQ1_M.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-GGUF	1bbd8cca87cb30e9f99065c3b4dd9fe73dce7f73	Qwen3-Next-80B-A3B-Thinking.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-GGUF	eef14b2eb3e676632408b40c198d68af7250f27d	Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-i1-GGUF	3f5ddf37ded6d94558d441749bfdc5b0a4263e51	Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored.i1-IQ1_M.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-SFT-Uncensored-GGUF	873d053855e394e6b62222a310902ea2b0879f4c	Qwen3-Next-80B-A3B-Thinking-SFT-Uncensored.IQ4_XS.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-SFT-Uncensored-i1-GGUF	5945eb87366d0174b49d7f1a36a1548a87455a80	Qwen3-Next-80B-A3B-Thinking-SFT-Uncensored.i1-IQ1_M.gguf	qwen3next	512	ok
mradermacher/Qwen3-Next-80B-A3B-Thinking-i1-GGUF	43ba29c81f37dfc0fcd2d5a0584daed1e2e235ee	Qwen3-Next-80B-A3B-Thinking.i1-IQ1_M.gguf	qwen3next	512	ok
ngxson/qwen3_next_fixed	12366f121dbf810dafbb81a8d6369bd2d8d27297	model-Q2_K.gguf	qwen3next	512	ok
ngxson/qwen3_next_tiny_test	a25d30a9cc91b927bea7926fbcac269fa2486ccb	model-orig.gguf	qwen3next	4	ok
noctrex/Qwen3-Next-80B-A3B-Instruct-MXFP4_MOE-GGUF	353c622cd226355308bef34f2bf0db9c41092a59	Qwen3-Next-80B-A3B-Instruct-MXFP4_MOE-00001-of-00003.gguf	qwen3next	512	ok
noctrex/Qwen3-Next-80B-A3B-Thinking-MXFP4_MOE-GGUF	ac84e21f86722d6df3d83b385fd0f372b5585a54	Qwen3-Next-80B-A3B-Thinking-MXFP4_MOE-00001-of-00003.gguf	qwen3next	512	ok
puwaer/Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-gguf	3de22c64e835d06c3729f6a239b6c924c0cd58b4	Qwen3-Next-80B-A3B-Thinking-GRPO-Uncensored-Q2_K.gguf	None	None	ERROR HTTP Error 401: Unauthorized
salvepilo/llama-cpp-qwen3next-modulo-zero-poc	29a828dfc5e450914fdadb1dc15911ad766d4090	poc_qwen3next_modulo_zero.gguf	qwen3next	None	ok
unsloth/Qwen3-Next-80B-A3B-Instruct-GGUF	6688872b7a4e5eb8a121ceea08009530a024ba1d	BF16/Qwen3-Next-80B-A3B-Instruct-BF16-00001-of-00004.gguf	qwen3next	512	ok
unsloth/Qwen3-Next-80B-A3B-Thinking-GGUF	6e6e89e27c5a838dba47ba7b14501183b3d76e10	BF16/Qwen3-Next-80B-A3B-Thinking-BF16-00001-of-00004.gguf	qwen3next	512	ok
xande-p/Qwen3-Next-40B-REAP-ptbr-Q8_0-GGUF	0f0716cecd7168836cad121b453060847e245abf	qwen3-next-40b-reap-ptbr-q8_0.gguf	qwen3next	256	ok
yomaytk/Qwen3-Next-80B-A3B-Instruct-MTP-HEAD-GGUF	9a9f5bd10789751ca0c591bbdcf287678255e8ca	Qwen3-Next-80B-A3B-Instruct-MTP-only-BF16.gguf	qwen3next	512	ok
EXPERT_COUNT_HISTOGRAM	{"128": 1, "160": 2, "192": 1, "256": 7, "352": 3, "384": 6, "4": 1, "416": 3, "448": 3, "480": 3, "512": 41, "96": 1, "None": 1, "error": 1}
