#Date, Time, gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, fb, bar1, ccpm, smutil, dram
 20260809, 23:15:55, 0, 175, 80, -, 100, 43, 0, 0, 0, 0, 14001, 1905, 12678, 12679, 0, 54, 15
 20260809, 23:15:56, 0, 174, 81, -, 100, 44, 0, 0, 0, 0, 14001, 1882, 12678, 12679, 0, 94, 29
 20260809, 23:15:57, 0, 174, 79, -, 100, 43, 0, 0, 0, 0, 14001, 1867, 12678, 12679, 0, 91, 30
 20260809, 23:15:58, 0, 85, 69, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 93, 37
 20260809, 23:15:59, 0, 30, 68, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 19, 14
 20260809, 23:16:00, 0, 130, 81, -, 100, 44, 0, 0, 0, 0, 14001, 2010, 12678, 12679, 0, 0, 0
 20260809, 23:16:01, 0, 172, 79, -, 100, 44, 0, 0, 0, 0, 14001, 1980, 12678, 12679, 0, 78, 25
 20260809, 23:16:02, 0, 74, 70, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 87, 39
 20260809, 23:16:03, 0, 30, 69, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 7, 2
 20260809, 23:16:04, 0, 165, 78, -, 100, 46, 0, 0, 0, 0, 14001, 2010, 12678, 12679, 0, 81, 30
 20260809, 23:16:05, 0, 45, 69, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 0, 0
 20260809, 23:16:06, 0, 30, 68, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 28, 7
 20260809, 23:16:07, 0, 174, 78, -, 94, 51, 0, 0, 0, 0, 14001, 1987, 12678, 12679, 0, 94, 30
 20260809, 23:16:08, 0, 157, 74, -, 89, 81, 0, 0, 0, 0, 14001, 1995, 12678, 12679, 0, 94, 30
 20260809, 23:16:09, 0, 31, 69, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 58, 26
 20260809, 23:16:10, 0, 45, 77, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12678, 12679, 0, 0, 0
 20260809, 23:16:11, 0, 176, 80, -, 100, 42, 0, 0, 0, 0, 14001, 1710, 12678, 12679, 0, 43, 12
 20260809, 23:16:12, 0, 174, 80, -, 100, 39, 0, 0, 0, 0, 14001, 1725, 12678, 12679, 0, 93, 30
 20260809, 23:16:13, 0, 174, 82, -, 100, 42, 0, 0, 0, 0, 14001, 1770, 12710, 12711, 0, 94, 29
 20260809, 23:16:14, 0, 118, 72, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12710, 12711, 0, 92, 31
 20260809, 23:16:15, 0, 30, 70, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12710, 12711, 0, 31, 24
 20260809, 23:16:16, 0, 93, 82, -, 100, 46, 0, 0, 0, 0, 14001, 2010, 12710, 12711, 0, 0, 0
 20260809, 23:16:17, 0, 108, 71, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12710, 12711, 0, 20, 11
 20260809, 23:16:18, 0, 31, 70, -, 0, 0, 0, 0, 0, 0, 14001, 1590, 12710, 12711, 0, 0, 0
