timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 11:35:39.855, 0, 42, 2422 MHz, 71.62 W, 14112 MiB
2026/08/03 11:35:40.855, 0, 42, 2422 MHz, 71.66 W, 19904 MiB
2026/08/03 11:35:41.856, 0, 42, 2422 MHz, 71.81 W, 25600 MiB
2026/08/03 11:35:42.856, 0, 42, 2415 MHz, 69.85 W, 28768 MiB
2026/08/03 11:35:43.856, 0, 55, 2707 MHz, 352.98 W, 31776 MiB
2026/08/03 11:35:44.856, 0, 56, 2700 MHz, 575.01 W, 31776 MiB
2026/08/03 11:35:45.857, 0, 56, 2700 MHz, 575.19 W, 31808 MiB
2026/08/03 11:35:46.857, 0, 51, 2872 MHz, 533.36 W, 31808 MiB
2026/08/03 11:35:47.857, 0, 51, 2872 MHz, 447.42 W, 31808 MiB
2026/08/03 11:35:48.857, 0, 51, 2872 MHz, 447.67 W, 31808 MiB
2026/08/03 11:35:49.857, 0, 58, 2700 MHz, 564.13 W, 31840 MiB
2026/08/03 11:35:50.858, 0, 54, 2902 MHz, 518.22 W, 31872 MiB
2026/08/03 11:35:51.858, 0, 54, 2895 MHz, 463.21 W, 31872 MiB
2026/08/03 11:35:52.858, 0, 46, 2925 MHz, 134.73 W, 31872 MiB
2026/08/03 11:35:53.858, 0, 45, 2745 MHz, 93.31 W, 31872 MiB
2026/08/03 11:35:54.859, 0, 45, 2437 MHz, 75.74 W, 544 MiB
2026/08/03 11:35:55.859, 0, 44, 2407 MHz, 69.09 W, 1856 MiB
2026/08/03 11:35:56.859, 0, 44, 2422 MHz, 71.69 W, 6400 MiB
2026/08/03 11:35:57.859, 0, 44, 2422 MHz, 72.23 W, 12256 MiB
2026/08/03 11:35:58.860, 0, 44, 2422 MHz, 72.32 W, 18272 MiB
2026/08/03 11:35:59.860, 0, 44, 2422 MHz, 72.05 W, 23904 MiB
2026/08/03 11:36:00.860, 0, 44, 2400 MHz, 71.10 W, 26880 MiB
2026/08/03 11:36:01.860, 0, 56, 2737 MHz, 227.60 W, 31776 MiB
2026/08/03 11:36:02.861, 0, 57, 2692 MHz, 576.45 W, 31776 MiB
2026/08/03 11:36:03.861, 0, 58, 2700 MHz, 575.38 W, 31808 MiB
2026/08/03 11:36:04.861, 0, 54, 2752 MHz, 565.25 W, 31808 MiB
2026/08/03 11:36:05.861, 0, 53, 2872 MHz, 452.08 W, 31808 MiB
2026/08/03 11:36:06.862, 0, 53, 2872 MHz, 451.49 W, 31808 MiB
2026/08/03 11:36:07.862, 0, 58, 2700 MHz, 533.47 W, 31840 MiB
2026/08/03 11:36:08.862, 0, 56, 2737 MHz, 558.16 W, 31872 MiB
2026/08/03 11:36:09.862, 0, 55, 2895 MHz, 451.53 W, 31872 MiB
2026/08/03 11:36:10.862, 0, 48, 2925 MHz, 227.08 W, 31872 MiB
2026/08/03 11:36:11.863, 0, 47, 2925 MHz, 96.32 W, 31872 MiB
2026/08/03 11:36:12.863, 0, 46, 2400 MHz, 79.11 W, 21 MiB
2026/08/03 11:36:13.866, 0, 46, 2400 MHz, 70.08 W, 544 MiB
2026/08/03 11:36:14.866, 0, 46, 2422 MHz, 71.01 W, 4608 MiB
2026/08/03 11:36:15.866, 0, 46, 2422 MHz, 72.58 W, 10624 MiB
2026/08/03 11:36:16.867, 0, 45, 2422 MHz, 72.67 W, 16576 MiB
2026/08/03 11:36:17.867, 0, 45, 2422 MHz, 72.70 W, 22304 MiB
2026/08/03 11:36:18.867, 0, 45, 2407 MHz, 72.05 W, 26880 MiB
2026/08/03 11:36:19.868, 0, 48, 2475 MHz, 92.03 W, 31776 MiB
2026/08/03 11:36:20.868, 0, 58, 2700 MHz, 555.30 W, 31776 MiB
2026/08/03 11:36:21.868, 0, 59, 2700 MHz, 575.32 W, 31808 MiB
2026/08/03 11:36:22.868, 0, 59, 2685 MHz, 574.96 W, 31808 MiB
2026/08/03 11:36:23.869, 0, 54, 2872 MHz, 477.24 W, 31808 MiB
2026/08/03 11:36:24.869, 0, 54, 2872 MHz, 453.06 W, 31808 MiB
2026/08/03 11:36:25.869, 0, 60, 2872 MHz, 452.96 W, 31840 MiB
2026/08/03 11:36:26.869, 0, 60, 2685 MHz, 576.06 W, 31840 MiB
2026/08/03 11:36:27.870, 0, 56, 2895 MHz, 475.90 W, 31872 MiB
2026/08/03 11:36:28.870, 0, 50, 2925 MHz, 326.25 W, 31872 MiB
2026/08/03 11:36:29.870, 0, 49, 2925 MHz, 97.50 W, 31872 MiB
