#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    03:12:03       1     95     42      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:04       0    495     61      -    100     37      0      0      0      0  12481   2422  22867  22866      0 
 20260812    03:12:04       1     92     41      -      0      0      0      0      0      0  12481   2370  22351  22350      0 
 20260812    03:12:05       0    472     60      -    100     36      0      0      0      0  12481   2422  23155  23154      0 
 20260812    03:12:05       1     93     41      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:06       0    453     55      -    100     86      0      0      0      0  12481   2415  23155  23154      0 
 20260812    03:12:06       1     93     40      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:07       0    408     60      -    100     38      0      0      0      0  12481   2422  23187  23186      0 
 20260812    03:12:07       1     92     40      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    03:12:08       0    466     56      -    100     28      0      0      0      0  12481   2415  23187  23186      0 
 20260812    03:12:08       1     92     40      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:09       0    397     61      -    100     36      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:09       1     92     40      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:10       0    486     61      -    100     30      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:10       1     92     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:11       0    377     61      -     95     62      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:11       1     91     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:12       0    497     61      -    100     37      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:12       1     91     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:13       0    372     55      -    100     86      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:13       1     92     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
 20260812    03:12:14       0    493     63      -    100     36      0      0      0      0  12481   2422  23219  23218      0 
 20260812    03:12:14       1     92     39      -      0      0      0      0      0      0  12481   2362  22351  22350      0 
