2026-09-24T12:24:29Z label=pool tree=ba5da705d81d89cc25ac141eed3952ce5c6b1c66 binary=3d2b8c34d51eb877 runs_per_arm=100
2026-09-24T12:24:29Z hold taken (fd 9)
2026-09-24T12:30:10Z all run 46 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.30s
2026-09-24T12:30:13Z all run 47 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.20s
2026-09-24T12:30:16Z all run 48 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:30:18Z all run 49 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.18s
2026-09-24T12:30:21Z all run 50 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:30:24Z all run 51 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:30:27Z all run 52 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.28s
2026-09-24T12:30:30Z all run 53 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.26s
2026-09-24T12:30:33Z all run 54 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.35s
2026-09-24T12:30:36Z all run 55 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:30:39Z all run 56 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.27s
2026-09-24T12:30:42Z all run 57 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.38s
2026-09-24T12:30:45Z all run 58 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.12s
2026-09-24T12:30:48Z all run 59 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.27s
2026-09-24T12:30:51Z all run 60 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:30:54Z all run 61 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:30:57Z all run 62 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.47s
2026-09-24T12:31:00Z all run 63 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.24s
2026-09-24T12:31:03Z all run 64 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.78s
2026-09-24T12:31:06Z all run 65 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:31:09Z all run 66 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.39s
2026-09-24T12:31:12Z all run 67 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.27s
2026-09-24T12:31:15Z all run 68 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:31:18Z all run 69 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:31:21Z all run 70 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.34s
2026-09-24T12:31:24Z all run 71 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.43s
2026-09-24T12:31:27Z all run 72 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.33s
2026-09-24T12:31:31Z all run 73 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.79s
2026-09-24T12:31:34Z all run 74 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:31:37Z all run 75 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.30s
2026-09-24T12:31:39Z all run 76 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.12s
2026-09-24T12:31:42Z all run 77 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
2026-09-24T12:31:45Z all run 78 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.05s
2026-09-24T12:31:48Z all run 79 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.39s
2026-09-24T12:31:51Z all run 80 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.33s
2026-09-24T12:31:54Z all run 81 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.31s
2026-09-24T12:31:57Z all run 82 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.35s
2026-09-24T12:32:00Z all run 83 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.64s
2026-09-24T12:32:03Z all run 84 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.12s
2026-09-24T12:32:07Z all run 85 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.86s
2026-09-24T12:32:10Z all run 86 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.39s
2026-09-24T12:32:13Z all run 87 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.06s
2026-09-24T12:32:16Z all run 88 rc=0 test result: ok. 11 passed; 0 failed; 0 ignored; 0 measured; 576 filtered out; finished in 2.32s
