t	layer	current_us	dual_us	saving_us
7	10	410.52966	410.58361	-0.05395000000004302
7	11	410.60198	410.63878	-0.03679999999997108
7	12	409.53965	409.61327	-0.07362000000000535
7	13	409.967895	409.93262500000003	0.035269999999968604
7	14	409.992905	409.94241	0.05049500000001217
7	15	409.555335	409.588935	-0.033599999999978536
7	16	409.890855	409.77402	0.11683499999998048
7	17	409.248025	409.21187999999995	0.03614500000003318
7	18	409.627635	409.704725	-0.07708999999999833
7	19	409.388135	409.35145	0.03668499999997721
7	20	408.94138	408.90836	0.033019999999964966
7	21	408.518815	408.50976	0.009054999999989377
7	22	409.818705	409.79122	0.02748500000001286
7	23	409.74129	409.77603999999997	-0.03474999999997408
7	24	409.3401	409.31802000000005	0.02207999999995991
7	25	409.48419	409.48062500000003	0.0035649999999805004
7	26	409.776905	409.762495	0.014409999999998035
7	27	409.39395	409.395255	-0.00130500000000211
7	28	409.776135	409.790115	-0.013980000000003656
7	29	409.55900499999996	409.637565	-0.0785600000000386
7	30	410.00889	409.96576000000005	0.043129999999962365
7	31	409.685925	409.73825	-0.05232499999999618
7	32	409.53198499999996	409.377225	0.15475999999995338
7	33	409.954965	409.97073	-0.015764999999987594
7	34	409.70238	409.717985	-0.015604999999993652
7	35	410.151075	410.155955	-0.004880000000014206
7	36	409.443055	409.403765	0.03928999999999405
7	37	409.43021999999996	409.3654	0.06481999999994059
7	38	410.051685	410.06391499999995	-0.012229999999931351
7	39	409.727165	409.71688	0.010285000000010314
7	40	409.42638999999997	409.476665	-0.050275000000056025
7	41	409.46356000000003	409.56752	-0.1039599999999723
7	42	410.33300499999996	410.29701	0.035994999999957145
7	43	409.643725	409.57446500000003	0.06925999999998567
7	44	409.962725	409.981215	-0.018490000000042528
