timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:25:43.008, 0 %, 544 MiB, 237.13 W, 2917 MHz, 47
2026/09/13 18:25:43.258, 0 %, 3168 MiB, 237.13 W, 2917 MHz, 47
2026/09/13 18:25:43.508, 26 %, 5664 MiB, 94.85 W, 2917 MHz, 47
2026/09/13 18:25:43.758, 26 %, 10304 MiB, 94.85 W, 2917 MHz, 47
2026/09/13 18:25:44.008, 60 %, 10400 MiB, 100.72 W, 2917 MHz, 47
2026/09/13 18:25:44.258, 60 %, 10400 MiB, 100.72 W, 2917 MHz, 47
2026/09/13 18:25:44.509, 99 %, 10400 MiB, 166.89 W, 2880 MHz, 53
2026/09/13 18:25:44.759, 99 %, 10400 MiB, 166.89 W, 2880 MHz, 53
2026/09/13 18:25:45.009, 99 %, 10656 MiB, 312.27 W, 2902 MHz, 55
2026/09/13 18:25:45.259, 99 %, 10656 MiB, 312.27 W, 2902 MHz, 55
2026/09/13 18:25:45.509, 90 %, 10656 MiB, 419.83 W, 2872 MHz, 57
2026/09/13 18:25:45.759, 90 %, 2 MiB, 419.83 W, 2872 MHz, 57
2026/09/13 18:25:46.012, 0 %, 544 MiB, 325.46 W, 2910 MHz, 49
2026/09/13 18:25:46.262, 0 %, 544 MiB, 325.46 W, 2910 MHz, 49
2026/09/13 18:25:46.512, 0 %, 2048 MiB, 187.08 W, 2917 MHz, 47
2026/09/13 18:25:46.762, 0 %, 4576 MiB, 187.08 W, 2917 MHz, 47
2026/09/13 18:25:47.012, 26 %, 7008 MiB, 94.59 W, 2917 MHz, 47
2026/09/13 18:25:47.263, 26 %, 10304 MiB, 94.59 W, 2917 MHz, 47
2026/09/13 18:25:47.513, 5 %, 10400 MiB, 101.88 W, 2917 MHz, 47
2026/09/13 18:25:47.763, 5 %, 10400 MiB, 101.88 W, 2917 MHz, 47
2026/09/13 18:25:48.013, 99 %, 10400 MiB, 216.64 W, 2880 MHz, 54
2026/09/13 18:25:48.263, 99 %, 10656 MiB, 216.64 W, 2880 MHz, 54
2026/09/13 18:25:48.513, 93 %, 10656 MiB, 362.92 W, 2902 MHz, 55
2026/09/13 18:25:48.763, 93 %, 10656 MiB, 362.92 W, 2902 MHz, 55
2026/09/13 18:25:49.013, 99 %, 10656 MiB, 424.40 W, 2887 MHz, 57
2026/09/13 18:25:49.264, 99 %, 2 MiB, 424.40 W, 2887 MHz, 57
2026/09/13 18:25:49.514, 18 %, 544 MiB, 319.94 W, 2910 MHz, 49
2026/09/13 18:25:49.764, 18 %, 544 MiB, 319.94 W, 2910 MHz, 49
2026/09/13 18:25:50.014, 0 %, 2368 MiB, 172.18 W, 2917 MHz, 47
2026/09/13 18:25:50.264, 0 %, 4928 MiB, 172.18 W, 2917 MHz, 47
2026/09/13 18:25:50.514, 26 %, 8000 MiB, 95.92 W, 2917 MHz, 47
2026/09/13 18:25:50.765, 26 %, 10304 MiB, 95.92 W, 2917 MHz, 47
2026/09/13 18:25:51.015, 4 %, 10400 MiB, 102.17 W, 2917 MHz, 47
2026/09/13 18:25:51.265, 4 %, 10400 MiB, 102.17 W, 2917 MHz, 47
2026/09/13 18:25:51.515, 99 %, 10400 MiB, 226.83 W, 2887 MHz, 54
2026/09/13 18:25:51.765, 99 %, 10400 MiB, 226.83 W, 2887 MHz, 54
2026/09/13 18:25:52.015, 98 %, 10400 MiB, 384.15 W, 2902 MHz, 58
2026/09/13 18:25:52.265, 98 %, 10400 MiB, 384.15 W, 2902 MHz, 58
2026/09/13 18:25:52.515, 99 %, 10400 MiB, 440.50 W, 2887 MHz, 58
2026/09/13 18:25:52.766, 99 %, 30 MiB, 440.50 W, 2887 MHz, 58
2026/09/13 18:25:53.016, 0 %, 544 MiB, 315.29 W, 2917 MHz, 49
2026/09/13 18:25:53.266, 0 %, 1344 MiB, 315.29 W, 2917 MHz, 49
2026/09/13 18:25:53.516, 0 %, 3744 MiB, 116.17 W, 2917 MHz, 48
2026/09/13 18:25:53.767, 0 %, 6208 MiB, 116.17 W, 2917 MHz, 48
2026/09/13 18:25:54.017, 25 %, 10304 MiB, 93.36 W, 2917 MHz, 47
2026/09/13 18:25:54.267, 25 %, 10304 MiB, 93.36 W, 2917 MHz, 47
2026/09/13 18:25:54.517, 14 %, 10304 MiB, 105.12 W, 2917 MHz, 47
2026/09/13 18:25:54.767, 14 %, 10304 MiB, 105.12 W, 2917 MHz, 47
2026/09/13 18:25:55.017, 99 %, 10304 MiB, 252.22 W, 2902 MHz, 55
2026/09/13 18:25:55.267, 99 %, 10304 MiB, 252.22 W, 2902 MHz, 55
2026/09/13 18:25:55.517, 99 %, 10304 MiB, 400.00 W, 2887 MHz, 58
2026/09/13 18:25:55.767, 99 %, 10304 MiB, 400.00 W, 2887 MHz, 58
2026/09/13 18:25:56.018, 4 %, 2 MiB, 415.80 W, 2887 MHz, 53
2026/09/13 18:25:56.268, 4 %, 544 MiB, 415.80 W, 2887 MHz, 53
2026/09/13 18:25:56.518, 1 %, 544 MiB, 266.58 W, 2917 MHz, 49
2026/09/13 18:25:56.768, 1 %, 2528 MiB, 266.58 W, 2917 MHz, 49
2026/09/13 18:25:57.018, 40 %, 5056 MiB, 98.93 W, 2917 MHz, 48
2026/09/13 18:25:57.269, 40 %, 8736 MiB, 98.93 W, 2917 MHz, 48
2026/09/13 18:25:57.519, 25 %, 10304 MiB, 92.47 W, 2917 MHz, 48
2026/09/13 18:25:57.769, 25 %, 10304 MiB, 92.47 W, 2917 MHz, 48
2026/09/13 18:25:58.019, 99 %, 10304 MiB, 151.16 W, 2902 MHz, 53
2026/09/13 18:25:58.269, 99 %, 10304 MiB, 151.16 W, 2902 MHz, 53
2026/09/13 18:25:58.519, 99 %, 10592 MiB, 311.52 W, 2902 MHz, 55
2026/09/13 18:25:58.769, 99 %, 10592 MiB, 311.52 W, 2902 MHz, 55
2026/09/13 18:25:59.019, 99 %, 10592 MiB, 420.08 W, 2880 MHz, 58
2026/09/13 18:25:59.270, 99 %, 10592 MiB, 420.08 W, 2880 MHz, 58
2026/09/13 18:25:59.520, 0 %, 21 MiB, 376.78 W, 2895 MHz, 51
2026/09/13 18:25:59.770, 0 %, 544 MiB, 376.78 W, 2895 MHz, 51
2026/09/13 18:26:00.020, 0 %, 544 MiB, 230.10 W, 2917 MHz, 48
2026/09/13 18:26:00.270, 0 %, 3360 MiB, 230.10 W, 2917 MHz, 48
2026/09/13 18:26:00.521, 27 %, 5856 MiB, 95.61 W, 2917 MHz, 48
2026/09/13 18:26:00.771, 27 %, 10304 MiB, 95.61 W, 2917 MHz, 48
2026/09/13 18:26:01.021, 62 %, 10304 MiB, 101.27 W, 2917 MHz, 48
2026/09/13 18:26:01.271, 62 %, 10304 MiB, 101.27 W, 2917 MHz, 48
2026/09/13 18:26:01.521, 99 %, 10304 MiB, 166.65 W, 2910 MHz, 54
2026/09/13 18:26:01.771, 99 %, 10304 MiB, 166.65 W, 2910 MHz, 54
2026/09/13 18:26:02.021, 99 %, 10592 MiB, 315.49 W, 2902 MHz, 55
2026/09/13 18:26:02.272, 99 %, 10592 MiB, 315.49 W, 2902 MHz, 55
2026/09/13 18:26:02.522, 98 %, 10592 MiB, 408.94 W, 2887 MHz, 57
2026/09/13 18:26:02.772, 98 %, 10592 MiB, 408.94 W, 2887 MHz, 57
2026/09/13 18:26:03.023, 0 %, 24 MiB, 359.09 W, 2895 MHz, 51
2026/09/13 18:26:03.273, 0 %, 544 MiB, 359.09 W, 2895 MHz, 51
2026/09/13 18:26:03.523, 0 %, 1344 MiB, 219.39 W, 2917 MHz, 49
2026/09/13 18:26:03.773, 0 %, 3712 MiB, 219.39 W, 2917 MHz, 49
2026/09/13 18:26:04.024, 26 %, 6176 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:26:04.274, 26 %, 10304 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:26:04.524, 75 %, 10304 MiB, 102.48 W, 2917 MHz, 50
2026/09/13 18:26:04.774, 75 %, 10304 MiB, 102.48 W, 2917 MHz, 50
2026/09/13 18:26:05.024, 99 %, 10304 MiB, 167.94 W, 2895 MHz, 54
2026/09/13 18:26:05.274, 99 %, 10304 MiB, 167.94 W, 2895 MHz, 54
2026/09/13 18:26:05.524, 99 %, 10304 MiB, 324.52 W, 2902 MHz, 56
2026/09/13 18:26:05.775, 99 %, 10304 MiB, 324.52 W, 2902 MHz, 56
2026/09/13 18:26:06.025, 98 %, 10304 MiB, 424.12 W, 2880 MHz, 58
2026/09/13 18:26:06.275, 98 %, 2 MiB, 352.06 W, 2902 MHz, 50
2026/09/13 18:26:06.549, 0 %, 544 MiB, 352.06 W, 2902 MHz, 50
2026/09/13 18:26:06.799, 0 %, 544 MiB, 176.85 W, 2917 MHz, 49
2026/09/13 18:26:07.049, 0 %, 2272 MiB, 176.85 W, 2917 MHz, 49
2026/09/13 18:26:07.299, 27 %, 4800 MiB, 95.89 W, 2917 MHz, 48
2026/09/13 18:26:07.549, 27 %, 8000 MiB, 95.89 W, 2917 MHz, 48
2026/09/13 18:26:07.800, 12 %, 10304 MiB, 102.52 W, 2917 MHz, 49
2026/09/13 18:26:08.050, 12 %, 10304 MiB, 102.52 W, 2917 MHz, 49
2026/09/13 18:26:08.300, 99 %, 10304 MiB, 202.89 W, 2910 MHz, 55
2026/09/13 18:26:08.550, 99 %, 10304 MiB, 202.89 W, 2910 MHz, 55
2026/09/13 18:26:08.800, 98 %, 10304 MiB, 349.96 W, 2902 MHz, 56
2026/09/13 18:26:09.050, 98 %, 10304 MiB, 349.96 W, 2902 MHz, 56
2026/09/13 18:26:09.300, 29 %, 10304 MiB, 404.54 W, 2887 MHz, 55
2026/09/13 18:26:09.551, 29 %, 2 MiB, 404.54 W, 2887 MHz, 55
2026/09/13 18:26:09.801, 1 %, 544 MiB, 263.70 W, 2917 MHz, 49
2026/09/13 18:26:10.051, 1 %, 544 MiB, 263.70 W, 2917 MHz, 49
2026/09/13 18:26:10.301, 40 %, 2560 MiB, 107.69 W, 2917 MHz, 49
2026/09/13 18:26:10.551, 40 %, 5088 MiB, 107.69 W, 2917 MHz, 49
2026/09/13 18:26:10.801, 25 %, 8800 MiB, 93.59 W, 2917 MHz, 48
2026/09/13 18:26:11.052, 25 %, 10304 MiB, 93.59 W, 2917 MHz, 48
2026/09/13 18:26:11.302, 98 %, 10304 MiB, 129.29 W, 2917 MHz, 52
2026/09/13 18:26:11.552, 98 %, 10304 MiB, 129.29 W, 2917 MHz, 52
2026/09/13 18:26:11.802, 99 %, 10304 MiB, 291.60 W, 2902 MHz, 56
2026/09/13 18:26:12.052, 99 %, 10592 MiB, 291.60 W, 2902 MHz, 56
2026/09/13 18:26:12.302, 98 %, 10592 MiB, 409.56 W, 2887 MHz, 58
2026/09/13 18:26:12.552, 98 %, 10592 MiB, 409.56 W, 2887 MHz, 58
2026/09/13 18:26:12.803, 0 %, 2 MiB, 318.30 W, 2902 MHz, 50
2026/09/13 18:26:13.053, 0 %, 544 MiB, 318.30 W, 2902 MHz, 50
2026/09/13 18:26:13.303, 0 %, 544 MiB, 164.12 W, 2917 MHz, 49
2026/09/13 18:26:13.553, 0 %, 2336 MiB, 164.12 W, 2917 MHz, 49
2026/09/13 18:26:13.803, 27 %, 4832 MiB, 96.93 W, 2917 MHz, 49
2026/09/13 18:26:14.053, 27 %, 8000 MiB, 96.93 W, 2917 MHz, 49
2026/09/13 18:26:14.304, 13 %, 10304 MiB, 102.75 W, 2917 MHz, 49
2026/09/13 18:26:14.554, 13 %, 10304 MiB, 102.75 W, 2917 MHz, 49
2026/09/13 18:26:14.804, 99 %, 10304 MiB, 203.48 W, 2910 MHz, 55
2026/09/13 18:26:15.054, 99 %, 10304 MiB, 203.48 W, 2910 MHz, 55
2026/09/13 18:26:15.304, 91 %, 10592 MiB, 322.64 W, 2902 MHz, 56
2026/09/13 18:26:15.554, 91 %, 10592 MiB, 322.64 W, 2902 MHz, 56
2026/09/13 18:26:15.804, 92 %, 10592 MiB, 412.45 W, 2887 MHz, 58
2026/09/13 18:26:16.054, 92 %, 10592 MiB, 412.45 W, 2887 MHz, 58
2026/09/13 18:26:16.305, 18 %, 36 MiB, 297.50 W, 2910 MHz, 50
2026/09/13 18:26:16.555, 18 %, 544 MiB, 297.50 W, 2910 MHz, 50
2026/09/13 18:26:16.805, 0 %, 1344 MiB, 131.08 W, 2917 MHz, 49
2026/09/13 18:26:17.055, 0 %, 3712 MiB, 131.08 W, 2917 MHz, 49
2026/09/13 18:26:17.305, 25 %, 6144 MiB, 94.14 W, 2917 MHz, 49
2026/09/13 18:26:17.556, 25 %, 10304 MiB, 94.14 W, 2917 MHz, 49
2026/09/13 18:26:17.806, 0 %, 10304 MiB, 102.60 W, 2917 MHz, 49
2026/09/13 18:26:18.056, 0 %, 10304 MiB, 102.60 W, 2917 MHz, 49
