2026-08-08T22:34:19Z,0, 430 MiB, 0 %, 56, 180 MHz, 405 MHz, 9.74 W, P8
2026-08-08T22:38:26Z,0, 17526 MiB, 100 %, 82, 1942 MHz, 14001 MHz, 75.11 W, P0
2026-08-08T22:38:32Z,0, 20278 MiB, 100 %, 86, 1912 MHz, 14001 MHz, 173.39 W, P0
2026-08-08T22:38:39Z,0, 20278 MiB, 100 %, 87, 1822 MHz, 14001 MHz, 164.60 W, P0
2026-08-08T22:38:43Z,0, 20278 MiB, 100 %, 84, 1800 MHz, 14001 MHz, 165.10 W, P0
2026-08-08T22:39:01Z,0, 21656 MiB, 100 %, 84, 1725 MHz, 14001 MHz, 166.59 W, P0
2026-08-08T22:39:13Z,0, 21656 MiB, 98 %, 86, 1702 MHz, 14001 MHz, 163.01 W, P0
2026-08-08T22:39:25Z,0, 21656 MiB, 99 %, 85, 1612 MHz, 14001 MHz, 150.20 W, P0
2026-08-08T22:39:30Z,0, 430 MiB, 0 %, 76, 180 MHz, 9001 MHz, 22.24 W, P4
2026-08-08T22:39:38Z,0, 15222 MiB, 0 %, 73, 1590 MHz, 14001 MHz, 32.20 W, P0
2026-08-08T22:39:39Z,0, 17526 MiB, 99 %, 82, 1905 MHz, 14001 MHz, 91.57 W, P0
2026-08-08T22:39:45Z,0, 20278 MiB, 100 %, 86, 1822 MHz, 14001 MHz, 172.76 W, P0
2026-08-08T22:39:53Z,0, 20278 MiB, 100 %, 87, 1807 MHz, 14001 MHz, 160.33 W, P0
2026-08-08T22:39:57Z,0, 20278 MiB, 99 %, 86, 1815 MHz, 14001 MHz, 157.84 W, P0
2026-08-08T22:40:09Z,0, 20374 MiB, 99 %, 85, 1702 MHz, 14001 MHz, 165.98 W, P0
2026-08-08T22:40:27Z,0, 21688 MiB, 100 %, 86, 1710 MHz, 14001 MHz, 166.18 W, P0
2026-08-08T22:40:39Z,0, 21688 MiB, 99 %, 86, 1672 MHz, 14001 MHz, 154.56 W, P0
2026-08-08T22:40:43Z,0, 430 MiB, 0 %, 76, 180 MHz, 9001 MHz, 21.89 W, P4
2026-08-08T22:40:52Z,0, 15222 MiB, 0 %, 73, 1590 MHz, 14001 MHz, 32.20 W, P0
2026-08-08T22:40:53Z,0, 18966 MiB, 100 %, 83, 2092 MHz, 14001 MHz, 165.05 W, P0
2026-08-08T22:40:54Z,0, 18966 MiB, 95 %, 83, 1927 MHz, 14001 MHz, 156.79 W, P0
2026-08-08T22:41:01Z,0, 21590 MiB, 100 %, 87, 1860 MHz, 14001 MHz, 166.03 W, P0
2026-08-08T22:41:05Z,0, 21590 MiB, 92 %, 84, 1785 MHz, 14001 MHz, 155.12 W, P0
2026-08-08T22:41:07Z,0, 21590 MiB, 100 %, 84, 1762 MHz, 14001 MHz, 169.69 W, P0
2026-08-08T22:41:21Z,0, 21590 MiB, 100 %, 85, 1717 MHz, 14001 MHz, 166.29 W, P0
2026-08-08T22:41:37Z,0, 22230 MiB, 100 %, 86, 1657 MHz, 14001 MHz, 164.46 W, P0
2026-08-08T22:42:01Z,0, 22230 MiB, 100 %, 86, 1732 MHz, 14001 MHz, 160.28 W, P0
2026-08-08T22:42:05Z,0, 430 MiB, 0 %, 77, 180 MHz, 9001 MHz, 21.69 W, P4
2026-08-08T22:42:06Z,0, 430 MiB, 0 %, 77, 180 MHz, 9001 MHz, 21.69 W, P4
